route_id_original,service_id,trip_id_original,trip_headsign,direction_id,block_id,shape_id_original,wheelchair_accessible,bikes_allowed,agency_raw_name,original_trip_id,trip_short_name,trip_bikes_allowed,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,route_id,trip_id,shape_id
01,WKDY,23SFO10,Daly City,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,441,1.0
01,WKDY,24SFO10,Daly City,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,453,1.0
01,WKDY,25SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,465,1.0
01,WKDY,26SFO10,Daly City,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,477,1.0
01,WKDY,27SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,489,1.0
01,WKDY,28SFO10,Daly City,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,501,1.0
01,WKDY,29SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,513,1.0
01,WKDY,30SFO10,Daly City,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,525,1.0
01,WKDY,31SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,537,1.0
01,WKDY,32SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,549,1.0
01,WKDY,33SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,561,1.0
01,WKDY,34SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,573,1.0
01,WKDY,35SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,585,1.0
01,WKDY,36SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,597,1.0
01,WKDY,37SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,609,1.0
01,WKDY,38SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,621,1.0
01,WKDY,39SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,633,1.0
01,WKDY,40SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,645,1.0
01,WKDY,41SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,657,1.0
01,WKDY,42SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,669,1.0
01,WKDY,43SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,681,1.0
01,WKDY,44SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,693,1.0
01,WKDY,45SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,705,1.0
01,WKDY,46SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,717,1.0
01,WKDY,47SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,729,1.0
01,WKDY,48SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,741,1.0
01,WKDY,49SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,753,1.0
01,WKDY,50SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,765,1.0
01,WKDY,51SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,777,1.0
01,WKDY,52SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,789,1.0
01,WKDY,53SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,799,1.0
01,WKDY,54SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,809,1.0
01,WKDY,55SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,819,1.0
01,WKDY,56SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,829,1.0
01,WKDY,57SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,839,1.0
01,WKDY,58SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,849,1.0
01,WKDY,59SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,859,1.0
01,WKDY,60SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,867,1.0
01,WKDY,61SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,875,1.0
01,WKDY,62SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,883,1.0
01,WKDY,63SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,891,1.0
01,WKDY,64SFO10,San Francisco Int'l Airport,0.0,,01_shp,1.0,1.0,BART_2015_8_3,,,,,,,,,,,,1,899,1.0
