ORIG_TAZ_N,DEST_TAZ_N,EA_ES_DA,EA_ES_S2,EA_ES_S3,EA_PK_DA,EA_PK_S2,EA_PK_S3,EA_RN_DA,EA_RN_S2,EA_RN_S3,EA_TX_DA,EA_TX_S2,EA_TX_S3,EA_LI_DA,EA_LI_S2,EA_LI_S3,EA_VN_S3,EA_HT_S3,EA_CH_S3,AM_ES_DA,AM_ES_S2,AM_ES_S3,AM_PK_DA,AM_PK_S2,AM_PK_S3,AM_RN_DA,AM_RN_S2,AM_RN_S3,AM_TX_DA,AM_TX_S2,AM_TX_S3,AM_LI_DA,AM_LI_S2,AM_LI_S3,AM_VN_S3,AM_HT_S3,AM_CH_S3,MD_ES_DA,MD_ES_S2,MD_ES_S3,MD_PK_DA,MD_PK_S2,MD_PK_S3,MD_RN_DA,MD_RN_S2,MD_RN_S3,MD_TX_DA,MD_TX_S2,MD_TX_S3,MD_LI_DA,MD_LI_S2,MD_LI_S3,MD_VN_S3,MD_HT_S3,MD_CH_S3,PM_ES_DA,PM_ES_S2,PM_ES_S3,PM_PK_DA,PM_PK_S2,PM_PK_S3,PM_RN_DA,PM_RN_S2,PM_RN_S3,PM_TX_DA,PM_TX_S2,PM_TX_S3,PM_LI_DA,PM_LI_S2,PM_LI_S3,PM_VN_S3,PM_HT_S3,PM_CH_S3,EV_ES_DA,EV_ES_S2,EV_ES_S3,EV_PK_DA,EV_PK_S2,EV_PK_S3,EV_RN_DA,EV_RN_S2,EV_RN_S3,EV_TX_DA,EV_TX_S2,EV_TX_S3,EV_LI_DA,EV_LI_S2,EV_LI_S3,EV_VN_S3,EV_HT_S3,EV_CH_S3
1,200879,0.0,0.00422553812413,0.0,0.0,0.0,0.0,0.00214572811353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633801231842,0.0147882269072,0.00422560391564,0.00211552945666,0.0,0.0,0.00429087309092,0.00214583479436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0190135414824,0.0169013612632,0.00633817295093,0.0021157453806,0.0,0.0,0.00429089793298,0.00214563063142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126761268122,0.0126765393638,0.00633782865346,0.00211571066481,0.0,0.0,0.00214538733618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295772670294,0.00845065259466,0.00211270792209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,200879,0.0,0.00203508663459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00203499195924,0.00610478247348,0.00203511832083,0.00203774553483,0.0,0.0,0.00206655299787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00813975572348,0.00610497410084,0.00203504353469,0.00203795351965,0.0,0.0,0.00206656496221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006105025087,0.00610522377844,0.00203493298859,0.0020379200803,0.0,0.0,0.00206650559792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122099006533,0.00406996923085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,200879,0.0,0.00674794963212,0.0,0.0,0.0,0.0,0.00342660859019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101214535607,0.0236159768026,0.0067480546975,0.00337838301288,0.0,0.0,0.00685228594436,0.00342677895355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303635694395,0.0269905349729,0.0101217100819,0.0033787278314,0.0,0.0,0.00685232561575,0.00342645291668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202430702898,0.0202437291118,0.010121160258,0.00337867239222,0.0,0.0,0.00342606438769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472332522645,0.013495222713,0.00337387717892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,200879,0.0,0.00271499077972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00271486447418,0.00678694616974,0.00271503305205,0.00135926899731,0.0,0.0,0.00137848488601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00814438118853,0.00678715921002,0.00271493328053,0.00135940773265,0.0,0.0,0.00137849286677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054297727148,0.00542994942978,0.00271478580197,0.00135938542708,0.0,0.0,0.00137845326809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135742655585,0.00407228201529,0.00135745610623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,200879,0.0,0.0171452165598,0.00342966243211,0.0034338522566,0.0,0.0,0.0139301446033,0.00348402906248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0205733027256,0.0411453019363,0.0137163868083,0.00343352345738,0.0,0.0,0.0313385663989,0.0104481278843,0.00348655256724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0548607109892,0.0480043590546,0.0171448534514,0.00343387390388,0.0,0.0,0.0313387478339,0.0139295117459,0.00348457764409,0.0,0.0,0.0,0.00344158147602,0.0,0.0,0.0,0.0,0.0,0.0377180256881,0.0377192532423,0.0171439221215,0.00343381755984,0.0,0.0,0.0243738814627,0.00696516227888,0.00348233456314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0857217359186,0.0274309713085,0.00685788816247,0.00343324977651,0.0,0.0,0.00696439413626,0.00348518850129,0.0,0.0,0.0,0.0,0.00344020779896,0.0,0.0,0.0,0.0,0.0
6,200879,0.0,0.0124389559533,0.00248824036599,0.00249128010842,0.0,0.0,0.0101064022458,0.00252768367767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0149260527288,0.0298511597498,0.00995131970202,0.00249104156265,0.0,0.0,0.0227363151533,0.00758017853521,0.00252951449528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0398017700846,0.0348274462306,0.012438692516,0.00249129581365,0.0,0.0,0.0227364467855,0.010105943104,0.00252808167686,0.0,0.0,0.0,0.0024968877028,0.0,0.0,0.0,0.0,0.0,0.0273646505744,0.0273655411722,0.0124380168307,0.00249125493572,0.0,0.0,0.0176833950664,0.00505326640189,0.00252645430838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0621916260792,0.0199013318189,0.00497543839637,0.00249084300556,0.0,0.0,0.00505270910988,0.00252852485738,0.0,0.0,0.0,0.0,0.00249589109197,0.0,0.0,0.0,0.0,0.0
7,200879,0.0,0.020996105713,0.00419997931978,0.00420511019682,0.0,0.0,0.0170589148098,0.00426655692845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0251941547303,0.0503867131706,0.0167971460974,0.00420470754789,0.0,0.0,0.038377342783,0.0127948222058,0.00426964722319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0671826619047,0.0587863439275,0.0209956610489,0.00420513670617,0.0,0.0,0.0383775649691,0.0170581398099,0.00426722872383,0.0,0.0,0.0,0.00421457543206,0.0,0.0,0.0,0.0,0.0,0.0461896559819,0.0461911592501,0.0209945205383,0.00420506770702,0.0,0.0,0.0298483597475,0.00852956759137,0.00426448183728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.104975205357,0.0335920850806,0.00839819924845,0.00420437239711,0.0,0.0,0.00852862692062,0.00426797678218,0.0,0.0,0.0,0.0,0.00421289322125,0.0,0.0,0.0,0.0,0.0
8,200879,0.0,0.00667585890708,0.00166926606146,0.00167130530933,0.0,0.0,0.00169500046126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00834443541985,0.0183571763541,0.00667596285002,0.00167114527802,0.0,0.0,0.00508431041829,0.00169508473291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0233638103393,0.0216955257771,0.00667571752301,0.00167131584537,0.0,0.0,0.00508433985396,0.00169492345606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0166890053607,0.0166895485137,0.00834419361213,0.00167128842192,0.0,0.0,0.00338946253391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0383842422816,0.0116821674294,0.0033378328595,0.0016710120736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,200879,0.0,0.0102099173996,0.00255294020479,0.00255605898735,0.0,0.0,0.00259229785149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0127618030232,0.0280750772109,0.0102100763677,0.00255581423885,0.0,0.0,0.00777583680648,0.00259242673477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0357321173236,0.033180678203,0.0102097011698,0.00255607510095,0.0,0.0,0.00777588182477,0.00259218008137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0255238117799,0.0255246424666,0.0127614332076,0.0025560331601,0.0,0.0,0.00518377230284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0587040482125,0.0178664597563,0.0051048109709,0.00255561051883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,200879,0.0,0.00439329047271,0.00109852092237,0.00109986292321,0.0,0.0,0.00111545637517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00549135761262,0.0120806040249,0.00439335887612,0.00109975760881,0.0,0.0,0.00334591441069,0.00111551183318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0153754006486,0.0142775256373,0.0043931974298,0.00109986985683,0.0,0.0,0.0033459337819,0.00111540569912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109828037516,0.0109831611931,0.00549119848229,0.00109985180984,0.0,0.0,0.00223055844425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252601392967,0.00768787291381,0.00219658166915,0.00109966994883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
