service_id,service_name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1306A2330,Year-round (Mon-Fri),1,1,1,1,1,0,0,20141201,20170101
1307A2330,Year-round (Sat),0,0,0,0,0,1,0,20141201,20170101
1308A2330,Year-round (Sun),0,0,0,0,0,0,1,20141201,20170101
1309A2330,Year-round (Wed),0,0,1,0,0,0,0,20141201,20170101
1310A2330,Year-round (Fri),0,0,0,0,1,0,0,20141201,20170101
1311A2330,"Year-round (Mon-Tues, Thur-Fri)",1,1,0,1,1,0,0,20141201,20170101
1312A2330,Year-round (Mon-Thur),1,1,1,1,0,0,0,20141201,20170101
1420A2567,Beginning 1/31/15 (Mon-Fri),1,1,1,1,1,0,0,20150131,20170101
1421A2567,Beginning 1/31/15 (Sat),0,0,0,0,0,1,0,20150131,20170101
1483A2726,Route 20 Pilot (Mon-Fri),1,1,1,1,1,0,0,20150202,20170101
2935A4387,Beginning 11/22/2015 (Sun),0,0,0,0,0,0,1,20151122,20171231
