stop_id,stop_city
781666,Fairfield
777690,Vallejo
777715,Vallejo
777860,Vallejo
777836,Vallejo
777684,Vallejo
777758,Vallejo
777809,Vallejo
777979,Vallejo
777977,Vallejo
777750,El Cerrito
778004,Vallejo
777867,Vallejo
777738,Vallejo
777883,Vallejo
781671,Vallejo
777712,Vallejo
777947,Vallejo
781649,Vallejo
777919,Vallejo
781665,Fairfield
777866,Vallejo
777948,Vallejo
777700,Vallejo
777745,Benicia
777876,Vallejo
777832,Vallejo
777980,Vallejo
777755,Vallejo
777774,Vallejo
777858,Vallejo
778008,Vallejo
777957,Vallejo
777786,Vallejo
781648,Vallejo
777709,Vallejo
777761,Vallejo
777847,Benicia
778007,Vallejo
777805,Vallejo
777688,Vallejo
777991,Vallejo
777699,Vallejo
777698,Vallejo
777915,Vallejo
777838,Vallejo
777949,Vallejo
781642,Vallejo
777735,Vallejo
777717,Vallejo
778014,Vallejo
777739,Vallejo
781628,Vallejo
777808,Vallejo
777829,Vallejo
788385,
777682,Vallejo
777855,Vallejo
777983,Vallejo
777668,Vallejo
777797,Vallejo
781644,Vallejo
777889,Vallejo
777713,Vallejo
777899,Vallejo
777861,Vallejo
777753,Vallejo
777759,Vallejo
777837,Vallejo
777843,Benicia
777803,Vallejo
777935,Vallejo
777859,Vallejo
777870,Vallejo
777914,Vallejo
777776,Vallejo
777828,Vallejo
777844,Benicia
777834,Vallejo
777918,Vallejo
777968,Vallejo
777788,Vallejo
777787,Vallejo
777992,Vallejo
778024,Vallejo
777950,Vallejo
778002,Vallejo
777841,Vallejo
781637,Vallejo
777897,Benicia
777966,Vallejo
777924,Vallejo
777904,Vallejo
781662,Fairfield
777769,Vallejo
777998,Vallejo
777982,Vallejo
781658,Vallejo
777871,Vallejo
781618,Vallejo
777901,Vallejo
777765,Vallejo
777865,Vallejo
777916,Vallejo
781645,Vallejo
781670,Vallejo
777923,Vallejo
777689,Vallejo
778025,Vallejo
781616,Vallejo
781630,Vallejo
777726,Vallejo
778003,Vallejo
778006,Vallejo
777762,Vallejo
781629,Vallejo
777792,Vallejo
777872,Vallejo
782081,Benicia
777821,Vallejo
778001,Vallejo
777768,Vallejo
781641,Vallejo
777995,Vallejo
777744,Benicia
777721,Benicia
777856,Vallejo
777707,Vallejo
777671,Vallejo
777800,Vallejo
781660,Concord
777896,Benicia
777882,Vallejo
777742,Vallejo
777801,Vallejo
777692,Vallejo
