fare_id,route_id,origin_id,destination_id,contains_id
781_6056,,463,470,
780_6026,,462,471,
785_6093,,470,464,
785_5985,,460,469,
780_5999,,465,461,
780_7455,,584,467,
778_7467,,584,473,
777_6142,,473,473,
779_6153,,470,468,
784_5977,,471,460,
779_7469,,584,468,
779_6046,,463,471,
778_6147,,473,470,
780_5967,,463,460,
781_6027,,472,462,
778_6066,,471,467,
779_6062,,465,467,
780_6139,,469,472,
779_6021,,462,465,
781_6057,,470,463,
784_7450,,462,584,
779_6128,,468,471,
784_5978,,460,471,
784_6108,,470,465,
779_6073,,467,469,
781_6115,,473,466,
779_6022,,465,462,
778_6151,,469,468,
778_7567,,479,464,
778_7569,,464,479,
806_6737,1045,550,550,
780_6132,,470,471,
784_6087,,473,464,
777_6058,,467,467,
778_6065,,467,471,
778_6078,,464,465,
777_6122,,471,471,
779_6146,,469,473,
781_6028,,462,472,
784_6005,,472,461,
780_6024,,466,462,
779_7560,,467,479,
778_5964,,461,460,
779_6152,,468,470,
784_6090,,464,469,
780_6019,,464,462,
781_5970,,460,467,
780_6020,,462,464,
777_6133,,472,472,
779_6074,,469,467,
779_6098,,471,465,
780_6131,,471,470,
779_6145,,473,469,
780_6143,,473,468,
778_6148,,470,473,
778_6079,,465,464,
779_6053,,468,463,
784_6086,,464,473,
780_6076,,470,467,
778_6123,,471,472,
784_5984,,468,460,
779_6140,,472,470,
781_5974,,465,460,
784_6091,,469,464,
781_7453,,584,463,
780_6104,,468,465,
784_6035,,462,470,
778_6072,,468,467,
780_6082,,464,471,
781_7461,,584,466,
779_7464,,472,584,
780_6083,,471,464,
784_7451,,584,462,
777_6157,,470,470,
777_6094,,465,465,
779_5966,,460,462,
781_6051,,473,463,
780_6118,,466,469,
786_5988,,460,470,
778_6038,,463,467,
779_6045,,466,463,
785_7456,,464,584,
781_6102,,473,465,
777_6149,,468,468,
784_5975,,466,460,
780_7454,,467,584,
781_6034,,469,462,
779_6080,,464,466,
784_6011,,469,461,
781_6084,,464,472,
778_6265,,471,466,
780_7462,,471,584,
784_6036,,470,462,
780_6032,,468,462,
786_5987,,470,460,
778_7470,,469,584,
785_7457,,584,464,
777_6037,,463,463,
779_5965,,462,460,
780_6048,,463,472,
779_6067,,467,472,
781_6085,,472,464,
778_6095,,465,466,
781_5997,,464,461,
781_7452,,463,584,
785_6013,,470,461,
779_5993,,463,461,
780_6099,,465,472,
784_5972,,464,460,
779_6052,,463,468,
779_6040,,463,464,
780_5968,,460,463,
780_6130,,469,471,
778_8811,,486,479,
778_6266,,466,471,
778_6124,,472,471,
779_6017,,462,467,
784_7458,,465,584,
779_5992,,461,463,
780_6100,,472,465,
781_6105,,465,469,
780_5994,,461,467,
778_6043,,465,463,
780_6103,,465,468,
777_7564,,479,479,
784_5983,,460,468,
781_6050,,463,473,
779_6068,,472,467,
777_5989,,461,461,
781_6120,,466,470,
780_6144,,468,473,
780_6137,,468,472,
781_7460,,466,584,
785_5980,,460,472,
778_7445,,461,462,
781_6003,,471,461,
781_6089,,468,464,
778_6071,,467,468,
780_6075,,467,470,
778_6042,,463,465,
778_7571,,479,466,
778_7572,,479,466,
779_6117,,468,466,
780_6023,,462,466,
784_6004,,461,472,
780_6031,,462,468,
785_6092,,464,470,
779_7562,,479,467,
779_6061,,467,465,
779_7465,,584,472,
780_6129,,471,469,
779_6041,,464,463,
779_6126,,473,471,
781_6114,,466,473,
778_7565,,479,482,
785_6006,,461,473,
779_6116,,466,468,
777_6109,,466,466,
785_6007,,473,461,
780_6119,,469,466,
779_6125,,471,473,
778_6156,,470,469,
778_6134,,472,473,
780_6136,,472,468,
780_6025,,471,462,
778_6155,,469,470,
785_6012,,461,470,
779_6081,,466,464,
781_6101,,465,473,
778_7471,,584,469,
780_6054,,463,469,
780_6059,,464,467,
779_6141,,470,472,
785_7448,,461,584,
781_6088,,464,468,
778_6135,,473,472,
778_6016,,463,462,
780_5998,,461,465,
779_6018,,467,462,
781_5973,,460,465,
784_5976,,460,466,
781_5969,,467,460,
784_6030,,473,462,
777_7472,,584,584,
778_6063,,467,466,
777_7473,,470,584,
781_6002,,461,471,
778_6096,,466,465,
779_6127,,471,468,
779_7468,,468,584,
777_6014,,462,462,
780_6060,,467,464,
781_5996,,461,464,
784_5971,,460,464,
781_6008,,461,468,
780_6070,,473,467,
780_6055,,469,463,
779_6113,,472,466,
777_6077,,464,464,
779_6112,,466,472,
778_6150,,468,469,
778_6064,,466,467,
780_5995,,467,461,
780_6049,,472,463,
785_5979,,472,460,
785_5986,,469,460,
784_6010,,461,469,
778_7561,,466,479,
778_7568,,482,479,
784_6107,,465,470,
784_7459,,584,465,
786_5981,,460,473,
786_7447,,460,584,
777_7474,,584,470,
786_7446,,584,460,
786_5982,,473,460,
780_6138,,472,469,
781_6001,,461,466,
777_5962,,460,460,
781_6000,,466,461,
778_6039,,467,463,
777_6154,,469,469,
778_9199,,462,461,
781_6033,,462,469,
780_6069,,467,473,
779_6097,,465,471,
781_6106,,469,465,
781_6121,,470,466,
778_7428,,460,461,
781_6009,,468,461,
779_6044,,463,466,
780_7463,,584,471,
778_7466,,473,584,
778_6015,,462,463,
784_6029,,462,473,
779_6047,,471,463,
785_7449,,584,461,
