stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
757950,76610,,Occidental Rd. & Fulton Rd.,,38.42762517,-122.7711045,467,,0,,
757286,15790,,Administration Dr. & Paulin,,38.464191,-122.721779,467,,0,,
757246,13430,,Shiloh Rd. & Skylane Blvd.,,38.52582137,-122.802,463,,0,,
757153,06100,,Geyserville Ave. (Geyserville Park & Ride),,38.70732429,-122.9052184,461,,0,,
757689,51700,,Commerce Blvd. & R.P. Expressway,,38.34761562,-122.7094376,471,,0,,
757611,45200,,Old Redwood Hwy. & Fern Avenue/Highland,,38.30975919,-122.6906597,471,,0,,
757633,47100,,Petaluma Hill Rd. & Dutch Ln.,,38.30445665,-122.6665857,471,,0,,
757223,12010,,Hembree Ln. & Broad Oak Way,,38.53920919,-122.7981025,463,,0,,
757200,10100,,Old Redwood Hwy. & Btwn. Eastside/Limerick,,38.5827618,-122.8461949,462,,0,,
759014,99999,,Country Club Dr. & Daniel Dr.,,38.36054073,-122.694241,471,,0,,
761168,49110,,Petaluma Blvd. & Kent St.,,38.2395887307727,-122.64313352573,472,,0,,
758044,91000,,Los Amigos Rd. & Tabatha Way,,38.5571219755,-122.818033724,463,,0,,
757647,47960,,Rainier Ave. & Maria Dr.,,38.25872677,-122.6325735,472,,0,,
757862,68800,,Hwy. 116 & Old River Rd.,,38.50446796,-122.9927013,464,,0,,
757947,76400,,Sebastopol Rd. & Corporate Ctr. Pkwy.,,38.4260678,-122.7539894,467,,0,,
757636,47400,,McDowell Blvd. & Old Redwood Hwy.,,38.27341725,-122.6656986,472,,0,,
757072,00500,,Mendocino Ave. & Benton St.,,38.44770463,-122.7174964,467,,0,,
757794,62600,,E. Cotati/Lancaster,,38.33073356,-122.6941078,471,,0,,
757439,28900,,Verano Ave. & Main St.,,38.30294243,-122.4779746,470,,0,,
757472,31410,,Hwy. 12 & West Spain St.,,38.29515861,-122.4755738,470,,0,,
757800,62750,,Manchester & Magnolia,,38.32858921,-122.6797018,471,,0,,
757989,85400,,Lakeville Hwy. & Marina Ave.,,38.23336161,-122.6100011,472,,0,,
757861,68700,,River Rd. & Bonita Ave.,,38.50740281,-122.9891434,464,,0,,
757529,36000,,Hwy. 12 & Jack London Dr.,,38.46473019,-122.6615931,467,,0,,
758032,89700,,Hembree Ln. & Foothill Dr.,,38.5581254014,-122.7979329179,463,,0,,
757990,85500,,Lakeville Hwy. & Baywood Dr.,,38.23314703,-122.6134885,472,,0,,
757231,12500,,Old Redwood Hwy. & Donna Drive/Fulton Rd.,,38.51667376,-122.7706368,463,,0,,
757258,14310,,Airport Blvd. & Regional Pkwy.,,38.51101597,-122.7858365,463,,0,,
757749,56400,,Petaluma Hill Rd. & Curtis Dr.,,38.33352119,-122.666654,471,,0,,
757670,50200,,Old Redwood Hwy. & Adobe Rd.,,38.30331586,-122.681021,471,,0,,
757398,25400,,Hwy. 12 & Melita Rd. (East End),,38.45351777,-122.6229557,468,,0,,
757634,47200,,Petaluma Hill Rd. & Adobe Rd.,,38.29960772,-122.6665129,471,,0,,
757312,17800,,Hwy. 116 (Guerneville Park & Ride),,38.50185113,-123.0027351,464,,0,,
757336,19400,,Forestville (Downtown),,38.4735395,-122.8928919,465,,0,,
757460,30530,,2nd St. West & Bettencourt St.,,38.28674937,-122.4621864,470,,0,,
757526,35700,,Hwy. 12 & Mountain Hawk,,38.46269441,-122.6436854,468,,0,,
757541,38400,,Hwy. 12 & Merced Rd.,,38.42114279,-122.7788678,467,,0,,
757924,73760,,Holly Ave. & Hawthorne Circle,,38.37148141,-122.6936598,471,,0,,
