stop_id,stop_city
757510,Kenwood"
757515,Santa Rosa"
757391,Santa Rosa"
757579,Santa Rosa"
757332,Fulton"
757710,Santa Rosa"
757698,Rohnert Park"
757539,Santa Rosa"
757408,Santa Rosa"
757430,Sonoma"
757781,Sebastopol"
757521,Santa Rosa"
757270,Santa Rosa"
757922,Rohnert Park"
757827,Santa Rosa"
757317,Guerneville"
757886,Rohnert Park"
757557,Forestville"
759361,Windsor"
757092,Santa Rosa"
757351,Sebastopol"
757207,Windsor"
757999,Petaluma"
758054,Cloverdale"
757287,Santa Rosa"
759012,Rohnert Park"
757301,Monte Rio"
757548,Sebastopol"
757421,Glen Ellen"
757853,Forestville"
757109,Santa Rosa"
757427,Sonoma"
757874,Rohnert Park"
757354,Sebastopol"
758070,Jenner"
757489,Sonoma"
942,Healdsburg"
757581,Rohnert Park"
757636,Petaluma"
757327,Forestville"
757609,Cotati"
757604,Rohnert Park"
757654,Petaluma"
757221,Windsor"
757914,Rohnert Park"
757276,Santa Rosa"
757093,Santa Rosa"
771475,Sebastopol"
758072,Bodega Bay"
757168,Cloverdale"
757171,Cloverdale"
757286,Santa Rosa"
757291,Santa Rosa"
757412,Kenwood"
757793,Cotati"
757388,Santa Rosa"
758061,Cloverdale"
757411,Santa Rosa"
757224,Windsor"
757161,Cloverdale"
757069,Santa Rosa"
757529,Santa Rosa"
757673,Cotati"
757466,Sonoma"
757501,Glen Ellen"
757616,Penngrove"
757627,Petaluma"
757203,Windsor"
757700,Rohnert Park"
757143,Healdsburg"
757437,Sonoma"
757457,Sonoma"
757127,Windsor"
757534,Santa Rosa"
757091,Santa Rosa"
757152,Geyserville"
757458,Sonoma"
757151,Geyserville"
757349,Sebastopol"
758003,Sonoma"
757506,Glen Ellen"
758745,Santa Rosa"
757425,Glen Ellen"
757154,Geyserville"
757728,Petaluma"
757913,Rohnert Park"
945,Healdsburg"
757285,Santa Rosa"
757164,Cloverdale"
757537,Santa Rosa"
757566,Santa Rosa"
757300,Monte Rio"
757899,Rohnert Park"
757393,Santa Rosa"
757934,Rohnert Park"
757195,Healdsburg"
757916,Rohnert Park"
757279,Santa Rosa"
757415,Kenwood"
757334,Forestville"
757307,Monte Rio"
757719,Petaluma"
757661,Petaluma"
757247,Windsor"
759362,Monte Rio"
757657,Petaluma"
757134,Healdsburg"
757350,Sebastopol"
757484,Sonoma"
759022,Rohnert Park"
757618,Petaluma"
757672,Penngrove"
757976,Sonoma"
757399,Santa Rosa"
758004,Sonoma"
757989,Petaluma"
757890,Rohnert Park"
757442,Sonoma"
757945,Santa Rosa"
757715,Santa Rosa"
757585,Rohnert Park"
757594,Rohnert Park"
757942,Santa Rosa"
757839,Santa Rosa"
757479,Sonoma"
757080,Santa Rosa"
757227,Windsor"
757420,Glen Ellen"
757895,Rohnert Park"
757776,Sebastopol"
757959,Sonoma"
757858,Rio Nido"
757830,Santa Rosa"
758006,Sonoma"
757229,Santa Rosa"
757410,Santa Rosa"
757176,Cloverdale"
757573,Santa Rosa"
757328,Forestville"
757649,Petaluma"
757446,Sonoma"
757937,Rohnert Park"
757302,Duncans Mills"
757403,Santa Rosa"
757311,Guerneville"
757889,Rohnert Park"
757647,Petaluma"
757805,Rohnert Park"
925,Healdsburg"
758068,Duncans Mills"
757720,Petaluma"
757572,Santa Rosa"
757735,Petaluma"
757552,Graton"
936,Healdsburg"
757428,Sonoma"
757902,Rohnert Park"
757642,Petaluma"
757369,Santa Rosa"
758040,Windsor"
757450,Sonoma"
757792,Cotati"
758029,Windsor"
757944,Santa Rosa"
757318,Guerneville"
757775,Sebastopol"
757577,Santa Rosa"
757473,Sonoma"
757293,Santa Rosa"
757459,Sonoma"
757185,Geyserville"
757727,Petaluma"
757883,Rohnert Park"
757245,Santa Rosa"
757129,Windsor"
757619,Petaluma"
757762,Santa Rosa"
927,Healdsburg"
757875,Cotati"
757214,Windsor"
757361,Sebastopol"
757316,Guerneville"
757433,Sonoma"
757973,Sonoma"
757357,Sebastopol"
757530,Santa Rosa"
757463,Sonoma"
931,Healdsburg"
757191,Healdsburg"
757454,Sonoma"
758087,Monte Rio"
758059,Cloverdale"
757968,Sonoma"
758027,Windsor"
758042,Windsor"
757486,Sonoma"
757256,Santa Rosa"
757192,Healdsburg"
757924,Rohnert Park"
757703,Santa Rosa"
757880,Rohnert Park"
757881,Rohnert Park"
757961,Sonoma"
757677,Cotati"
757854,Forestville"
757802,Rohnert Park"
757838,Santa Rosa"
759015,Rohnert Park"
757068,Santa Rosa"
758044,Windsor"
757370,Santa Rosa"
757592,Rohnert Park"
757681,Cotati"
757545,Sebastopol"
757818,Sebastopol"
757865,Guerneville"
757338,Forestville"
757375,Santa Rosa"
757879,Rohnert Park"
757209,Windsor"
757219,Windsor"
921,Healdsburg"
757726,Petaluma"
757184,Geyserville"
757365,Santa Rosa"
757196,Healdsburg"
757857,Forestville"
757090,Santa Rosa"
757901,Rohnert Park"
785279,Cotati"
757306,Monte Rio"
757525,Santa Rosa"
757575,Santa Rosa"
757683,Rohnert Park"
758036,Windsor"
757095,Santa Rosa"
757558,Forestville"
757694,Rohnert Park"
757098,Santa Rosa"
757589,Rohnert Park"
757806,Cotati"
757240,Santa Rosa"
757504,Glen Ellen"
757175,Cloverdale"
757507,Kenwood"
757911,Rohnert Park"
757810,Sebastopol"
757309,Monte Rio"
757877,Cotati"
757157,Cloverdale"
757921,Rohnert Park"
757444,Sonoma"
758084,Duncans Mills"
758016,Windsor"
757330,Forestville"
758038,Windsor"
757503,Glen Ellen"
757876,Cotati"
758079,Sebastopol"
757360,Sebastopol"
757811,Sebastopol"
757975,Sonoma"
757121,Windsor"
757988,Petaluma"
757982,Sonoma"
757807,Sebastopol"
757096,Fulton"
757648,Petaluma"
757275,Santa Rosa"
757599,Rohnert Park"
757864,Guerneville"
757110,Santa Rosa"
757373,Santa Rosa"
757570,Santa Rosa"
757770,Sebastopol"
757690,Rohnert Park"
757794,Cotati"
757559,Santa Rosa"
758037,Windsor"
757246,Windsor"
757513,Santa Rosa"
757298,Monte Rio"
757523,Santa Rosa"
757740,Petaluma"
757578,Santa Rosa"
757215,Windsor"
757623,Petaluma"
757897,Rohnert Park"
757940,Rohnert Park"
757771,Sebastopol"
757554,Graton"
757321,Guerneville"
757952,Santa Rosa"
757634,Penngrove"
758085,Duncans Mills"
757106,Santa Rosa"
757695,Rohnert Park"
757347,Sebastopol"
757232,Santa Rosa"
757598,Rohnert Park"
757077,Santa Rosa"
757481,Sonoma"
757746,Penngrove"
757600,Rohnert Park"
757779,Sebastopol"
938,Healdsburg"
757440,Sonoma"
757716,Santa Rosa"
757768,Rohnert Park"
757820,Sebastopol"
758021,Windsor"
757400,Santa Rosa"
