route_id,direction_id,direction_name
1027,1,West
1028,0,East
1080,0,East
1026,1,West
1033,1,South
1050,0,East
1031,0,East
1049,0,East
1036,1,South
1029,1,West
1051,1,West
1037,0,North
1053,1,South
1040,0,Loop
1046,0,Loop
1044,0,Loop
1079,0,Loop
1081,1,West
1043,0,North
1081,0,East
1030,0,North
1053,0,North
1037,1,South
1038,0,Loop
1033,0,North
1035,1,South
1041,0,Loop
1052,1,South
1036,0,North
1042,0,Loop
1045,0,Loop
1027,0,East
1028,1,West
1035,0,North
1047,0,Loop
1026,0,East
1080,1,West
1031,1,West
1052,0,North
1050,1,West
1049,1,West
1039,0,Loop
1034,1,South
1029,0,East
1032,0,North
1043,1,South
1030,1,South
1051,0,East
1048,0,Loop
1034,0,North
1032,1,South
