agency_id,fare_id,price,currency_type,payment_method,transfers,transfer_duration
175,781_6056,3.65,USD,0,,7200
175,780_6026,3.05,USD,0,,7200
175,785_6093,4.85,USD,0,,7200
175,785_5985,4.85,USD,0,,7200
175,780_5999,3.05,USD,0,,7200
175,780_7455,3.05,USD,0,,7200
175,778_7467,1.85,USD,0,,7200
175,777_6142,1.25,USD,0,,7200
175,779_6153,2.45,USD,0,,7200
175,784_5977,4.25,USD,0,,7200
175,779_7469,2.45,USD,0,,7200
175,779_6046,2.45,USD,0,,7200
175,778_6147,1.85,USD,0,,7200
175,780_5967,3.05,USD,0,,7200
175,781_6027,3.65,USD,0,,7200
175,778_6066,1.85,USD,0,,7200
175,779_6062,2.45,USD,0,,7200
175,780_6139,3.05,USD,0,,7200
175,779_6021,2.45,USD,0,,7200
175,781_6057,3.65,USD,0,,7200
175,784_7450,4.25,USD,0,,7200
175,779_6128,2.45,USD,0,,7200
175,784_5978,4.25,USD,0,,7200
175,784_6108,4.25,USD,0,,7200
175,779_6073,2.45,USD,0,,7200
175,781_6115,3.65,USD,0,,7200
175,779_6022,2.45,USD,0,,7200
175,778_6151,1.85,USD,0,,7200
175,778_7567,1.85,USD,0,,7200
175,778_7569,1.85,USD,0,,7200
183,806_6737,1.25,USD,0,,
175,780_6132,3.05,USD,0,,7200
175,784_6087,4.25,USD,0,,7200
175,777_6058,1.25,USD,0,,7200
175,778_6065,1.85,USD,0,,7200
175,778_6078,1.85,USD,0,,7200
175,777_6122,1.25,USD,0,,7200
175,779_6146,2.45,USD,0,,7200
175,781_6028,3.65,USD,0,,7200
175,784_6005,4.25,USD,0,,7200
175,780_6024,3.05,USD,0,,7200
175,779_7560,2.45,USD,0,,7200
175,778_5964,1.85,USD,0,,7200
175,779_6152,2.45,USD,0,,7200
175,784_6090,4.25,USD,0,,7200
175,780_6019,3.05,USD,0,,7200
175,781_5970,3.65,USD,0,,7200
175,780_6020,3.05,USD,0,,7200
175,777_6133,1.25,USD,0,,7200
175,779_6074,2.45,USD,0,,7200
175,779_6098,2.45,USD,0,,7200
175,780_6131,3.05,USD,0,,7200
175,779_6145,2.45,USD,0,,7200
175,780_6143,3.05,USD,0,,7200
175,778_6148,1.85,USD,0,,7200
175,778_6079,1.85,USD,0,,7200
175,779_6053,2.45,USD,0,,7200
175,784_6086,4.25,USD,0,,7200
175,780_6076,3.05,USD,0,,7200
175,778_6123,1.85,USD,0,,7200
175,784_5984,4.25,USD,0,,7200
175,779_6140,2.45,USD,0,,7200
175,781_5974,3.65,USD,0,,7200
175,784_6091,4.25,USD,0,,7200
175,781_7453,3.65,USD,0,,7200
175,780_6104,3.05,USD,0,,7200
175,784_6035,4.25,USD,0,,7200
175,778_6072,1.85,USD,0,,7200
175,780_6082,3.05,USD,0,,7200
175,781_7461,3.65,USD,0,,7200
175,779_7464,2.45,USD,0,,7200
175,780_6083,3.05,USD,0,,7200
175,784_7451,4.25,USD,0,,7200
175,777_6157,1.25,USD,0,,7200
175,777_6094,1.25,USD,0,,7200
