route_id,direction_id,direction
1027,1,South
1051,0,South
1036,0,South
1048,0,South
1030,1,South
1043,1,South
1037,1,South
1029,0,South
1033,0,South
1032,0,South
1035,0,South
1050,0,South
1034,1,South
1052,1,South
1081,1,South
1028,0,South
1031,0,South
1053,1,South
1049,1,South
1080,0,South
1026,1,South
1041,0,South
1044,0,South
1080,1,South
1026,0,South
1052,0,South
1046,0,South
1049,0,South
1053,0,South
1031,1,South
1047,0,South
1042,0,South
1081,0,South
1028,1,South
1036,1,South
1050,1,South
1030,0,South
1029,1,South
1038,0,South
1079,0,South
1035,1,South
1040,0,South
1033,1,South
1032,1,South
1043,0,South
1037,0,South
1027,0,South
1051,1,South
1034,0,South
1039,0,South
1045,0,South
