stop_id,stop_name,stop_lat,stop_lon
610,Brentwood Park n Ride,37.933838,-121.698755
423,Brentwood Blvd & Village Dr,37.942007,-121.696076
422,Brentwood Blvd & Technology Wy,37.944746,-121.696033
425,Brentwood Blvd & Applewood Com,37.950374,-121.695938
427,Brentwood Blvd & Sunset Rd,37.953976,-121.696069
429,Brentwood Blvd & Lone Tree Wy,37.960499,-121.695986
remix_074a7af0-dced-4c9f-a208-c201ef6d1144,Lone Tree Wy & Medallion Dr,37.9617390148868,-121.7189052701
remix_18757c51-797c-486e-9a2c-374fe4325bf2,Lone Tree Wy & Fairview Ave,37.9617770796894,-121.725645661354
6,Lone Tree Wy & Giannini Rnch,37.961801,-121.729459
7,Lone Tree Wy & Empire Ave,37.961776,-121.733348
8,Lone Tree Wy & Slatten Ranch Rd,37.96181,-121.737865
9,Lone Tree Wy & Hwy 4,37.961827,-121.745516
10,Lone Tree Wy & Canada Valley Rd,37.96186,-121.748546
11,Lone Tree Wy & Vista Grande Dr,37.961874,-121.755946
12,Lone Tree Wy & Hillcrest Ave,37.961863,-121.761474
13,Lone Tree Wy & Prewett Prk,37.964789,-121.775868
14,Deer Valley Rd & Lone Tree Wy,37.966433,-121.779861
15,Deer Valley Rd & Country Hills Dr,37.971582,-121.782515
47,Deer Valley Rd & Asilomar Dr,37.973922,-121.78441
45,Deer Valley Rd & Rocky Point Dr,37.977328,-121.786226
44,Deer Valley Rd & Bluerock Dr,37.980548,-121.784324
41,Deer Valley Rd & Carpinteria Dr,37.98401,-121.784498
39,Deer Valley Rd & Hillcrest Tce Ct,37.987695,-121.78556
36,Hillcrest Ave & Larkspur Dr,37.995242,-121.784724
722,Antioch BART,37.995572,-121.778137
38,Deer Valley Rd & Hillcrest Tce Ct,37.988968,-121.785644
40,Deer Valley Rd & Wildflower Dr,37.98651,-121.785906
42,Deer Valley Rd & Carpinteria Dr,37.983074,-121.78424
43,Deer Valley Rd & Bluerock Dr,37.980299,-121.784949
46,Deer Valley Rd & Rocky Point Dr,37.977062,-121.786455
48,Deer Valley Rd & Asilomar Dr,37.972797,-121.783901
49,Deer Valley Rd & Country Hills Dr,37.970606,-121.781772
51,Lone Tree Wy & Deer Valley Rd,37.965423,-121.77952
53,Lone Tree Wy & Deer Valley High,37.964068,-121.774086
52,Lone Tree Wy & Sagebrush Dr,37.963572,-121.771898
54,Lone Tree Wy & Indian Hill Dr,37.961712,-121.764053
55,Lone Tree Wy & Hillcrest Ave,37.96158,-121.758896
56,Lone Tree Wy & Vista Grande Dr,37.961587,-121.754435
57,Lone Tree Wy & Canada Valley Rd,37.961497,-121.748934
58,Lone Tree Wy & Shady Willow Ln,37.96145,-121.737252
59,Lone Tree Wy & Empire Ave,37.961448,-121.731749
60,Lone Tree Wy & Giannini Rnch,37.961474,-121.729846
remix_6f6ff158-56cf-443f-8413-ee11614f2fb3,Lone Tree Wy & Fairview Ave,37.9614683312772,-121.725060939789
remix_f2e9dba5-2947-45f1-99da-5b5ce751734d,Lone Tree Wy & Gann St,37.9614429546376,-121.718425154686
430,Brentwood Blvd & Lone Tree Wy,37.961009,-121.696233
