trip_id,block_id,route_id,service_id,direction_id,shape_id
67,5,356b89a,1,0,381a_eb1
68,5,356b89a,1,1,381a_wb1
69,5,356b89a,1,0,381a_eb1
70,5,356b89a,1,1,381a_wb1
71,6,356b89a,1,1,381a_wb1
72,6,356b89a,1,0,381a_eb1
73,6,356b89a,1,1,381a_wb1
74,6,356b89a,1,0,381a_eb1
75,6,356b89a,1,1,381a_wb1
76,6,356b89a,1,0,381a_eb1
77,6,356b89a,1,1,381a_wb1
78,6,356b89a,1,0,381a_eb1
79,6,356b89a,1,1,381a_wb1
80,6,356b89a,1,0,381a_eb1
81,6,356b89a,1,1,381a_wb1
82,6,356b89a,1,0,381a_eb1
83,6,356b89a,1,1,381a_wb1
84,6,356b89a,1,0,381a_eb1
85,6,356b89a,1,1,381a_wb1
86,6,356b89a,1,0,381a_eb1
87,6,356b89a,1,1,381a_wb1
88,6,356b89a,1,0,381a_eb1
89,6,356b89a,1,1,381a_wb1
90,6,356b89a,1,0,381a_eb1
91,6,356b89a,1,1,381a_wb1
92,6,356b89a,1,0,381a_eb1
93,6,356b89a,1,1,381a_wb1
94,6,356b89a,1,0,381a_eb1
95,6,356b89a,1,1,381a_wb1
96,6,356b89a,1,0,381a_eb1
97,7,356b89a,1,0,381a_eb1
98,7,356b89a,1,1,381a_wb1
99,7,356b89a,1,0,381a_eb1
100,7,356b89a,1,0,381a_eb1
101,7,356b89a,1,1,381a_wb1
102,7,356b89a,1,0,381a_eb1
103,7,356b89a,1,1,381a_wb1
104,7,356b89a,1,0,381a_eb1
105,8,356b89a,1,1,381a_wb1
106,8,356b89a,1,0,381a_eb1
107,8,356b89a,1,1,381a_wb1
108,8,356b89a,1,1,381a_wb1
109,8,356b89a,1,0,381a_eb1
110,8,356b89a,1,1,381a_wb1
111,8,356b89a,1,0,381a_eb1
112,8,356b89a,1,1,381a_wb1
113,9,c7347cd,1,1,391a_wb1
114,9,a652b17,1,0,380a_eb1
115,9,c7f28b2,1,1,200a_wb1
116,9,c7f28b2,1,0,200a_eb1
117,9,a652b17,1,0,380a_eb1
118,9,a2c0567,1,0,300a_eb1
119,9,9016482,1,0,385a_eb1a
120,9,c7347cd,1,1,391a_wb1
121,10,a652b17,1,0,380a_ebsd1
122,10,a652b17,1,1,380a_wb1
123,10,fc4f8bf,1,1,201a_wb1
124,10,fc4f8bf,1,0,201a_eb1
125,10,c7f28b2,1,1,200a_wb1
126,10,c7f28b2,1,0,200a_eb1
127,10,3b29cf5,1,0,389a_loop1
128,10,e0c3cae,1,0,387a_eb1
129,10,a652b17,1,1,380a_wb1
130,10,fc3f6b8,1,0,390a_eb1
131,10,9016482,1,0,385a_eb1a
132,10,a2c0567,1,0,300a_eb1
133,10,a652b17,1,1,380a_wb1
134,10,2eef964,1,0,388a_eb1
135,11,a2c0567,1,1,300a_wb1
136,11,fc3f6b8,1,1,390a_wb1
137,11,c7347cd,1,0,391a_eb1
138,11,9016482,1,1,385a_wb1s
139,11,a652b17,1,1,380a_wb1
140,11,2eef964,1,0,388a_eb1
141,11,a652b17,1,1,380a_wb1
142,11,c7f28b2,1,1,200a_wb1
143,11,c7f28b2,1,0,200a_eb1
144,11,fc4f8bf,1,1,201a_wb1
145,11,fc4f8bf,1,0,201a_eb1
146,12,a652b17,1,0,380a_eblmc1
147,12,fc3f6b8,1,1,390a_wb1
148,12,9016482,1,0,385a_eb1a
149,12,c7347cd,1,1,391a_wb1
150,12,c7f28b2,1,1,200a_wb1
151,12,c7f28b2,1,0,200a_eb1
152,12,2eef964,1,0,388a_eb1
153,12,a2c0567,1,0,300a_eb1
154,12,a2c0567,1,1,300a_wb1
155,12,a652b17,1,1,380a_wb1
156,12,3b29cf5,1,0,389a_loop1
157,12,a652b17,1,0,380a_eb1
158,13,a2c0567,1,1,300a_wb1
159,13,a652b17,1,1,380a_wb1
160,13,fc4f8bf,1,1,201a_wb1
161,13,2eef964,1,0,388a_eb1
162,13,2eef964,1,1,388a_wb1
163,13,e0c3cae,1,0,387a_eb1
164,13,c7347cd,1,1,391a_wb1
165,13,fc3f6b8,1,0,390a_eb1
166,13,a2c0567,1,0,300a_eb1
167,14,3b29cf5,1,0,389a_loop1
168,14,2eef964,1,0,388a_eb1
169,14,2eef964,1,1,388a_wb1
170,14,9016482,1,1,385a_wb1a
171,14,e0c3cae,1,1,387a_wb1
172,14,a652b17,1,0,380a_eb1
173,14,a2c0567,1,0,300a_eb1
174,15,c7347cd,1,1,391a_wb1
175,15,a652b17,1,0,380a_eb1
176,15,2eef964,1,1,388a_wb1
177,15,fc4f8bf,1,1,201a_wb1
178,15,fc4f8bf,1,0,201a_eb1
179,15,c7f28b2,1,1,200a_wb1
180,15,c7f28b2,1,0,200a_eb1
181,15,fc4f8bf,1,1,201a_wb1
182,15,fc4f8bf,1,0,201a_eb1
183,15,e0c3cae,1,0,387a_eb1
184,15,a652b17,1,1,380a_wb1
185,15,2eef964,1,0,388a_eb1
186,15,c7347cd,1,0,391a_eb1
187,16,a2c0567,1,1,300a_wb1
188,16,a652b17,1,1,380a_wb1
189,16,fc4f8bf,1,1,201a_wb1
190,16,fc4f8bf,1,0,201a_eb1
191,16,c7347cd,1,1,391a_wb1
192,16,c7347cd,1,0,391a_eb1
193,16,c7347cd,1,1,391a_wb1
194,16,fc3f6b8,1,0,390a_eb1
195,16,a2c0567,1,0,300a_eb1
196,17,e0c3cae,1,1,387a_wb1
197,17,3b29cf5,1,0,389a_loop1
198,17,3b29cf5,1,0,389a_loop1
199,17,a652b17,1,0,380a_eb1
200,17,3b29cf5,1,0,389a_loop1
201,17,fc4f8bf,1,1,201a_wb1
202,17,fc4f8bf,1,0,201a_eb1
203,17,3b29cf5,1,0,389a_loop1
204,17,a652b17,1,0,380a_eb1
205,17,e0c3cae,1,1,387a_wb1
206,18,fc4f8bf,1,1,201a_wb1
207,18,fc4f8bf,1,0,201a_eb1
208,18,9016482,1,1,385a_wb1a
209,18,e0c3cae,1,1,387a_wb1
210,18,a652b17,1,0,380a_eb1
211,18,9016482,1,0,385a_eb1a
212,18,a2c0567,1,0,300a_eb1
213,18,e0c3cae,1,0,387a_eb1
214,18,a2c0567,1,0,300a_eb1
215,19,c7347cd,1,1,391a_wb1
216,19,c7347cd,1,0,391a_eb1
217,19,a2c0567,1,1,300a_wb1
218,19,a2c0567,1,0,300a_eb1
219,19,c7347cd,1,1,391a_wb1
220,19,c7f28b2,1,1,200a_wb1
221,19,c7f28b2,1,0,200a_eb1
222,19,a652b17,1,1,380a_wb1
223,19,c7347cd,1,0,391a_eb1
224,19,a2c0567,1,1,300a_wb1
225,19,e0c3cae,1,1,387a_wb1
226,20,a2c0567,1,1,300a_wb1
227,20,9016482,1,1,385a_wb1a
228,20,2eef964,1,0,388a_eb1
229,20,2eef964,1,1,388a_wb1
230,20,c7347cd,1,0,391a_eb1
231,20,c7347cd,1,1,391a_wb1
232,20,fc3f6b8,1,0,390a_eb1
233,20,2eef964,1,1,388a_wb1
234,21,fc3f6b8,1,1,390a_wb1
235,21,2eef964,1,1,388a_wb1
