route_id_original,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_raw_name,route_sort_order,min_headway_minutes,eligibility_restricted,continuous_pickup,continuous_drop_off,route_id
01,BART,,Pittsburg/Bay Point - SFIA/Millbrae,,1,http://www.bart.gov/schedules/bylineresults?route=1,ffff33,,BART_2015_8_3,,,,,,1
03,BART,,Fremont - Richmond,,1,http://www.bart.gov/schedules/bylineresults?route=3,ff9933,,BART_2015_8_3,,,,,,2
05,BART,,Fremont - Daly City,,1,http://www.bart.gov/schedules/bylineresults?route=5,339933,,BART_2015_8_3,,,,,,3
07,BART,,Richmond - Daly City/Millbrae,,1,http://www.bart.gov/schedules/bylineresults?route=7,ff0000,,BART_2015_8_3,,,,,,4
11,BART,,Dublin/Pleasanton - Daly City,,1,http://www.bart.gov/schedules/bylineresults?route=11,0099cc,,BART_2015_8_3,,,,,,5
19,BART,,Coliseum - Oakland Int'l Airport,,1,http://www.bart.gov/schedules/bylineresults?route=19,d5cfa3,,BART_2015_8_3,,,,,,6
Bu-121,,,Bullet,,2,,E31837,,Caltrain_2015_5_13,,,,,,40
Lo-121,,,Local,,2,,,,Caltrain_2015_5_13,,,,,,41
TaSj-121,,,Tamien / San Jose Diridon Caltrain Shuttle,,3,,,,Caltrain_2015_5_13,,,,,,43
SX-134,,SX,Caltrain Bus Bridge,,3,,,,Caltrain_2015_5_13,,,,,,42
4817,573,,Hollis,,3,,FF0001,FFFFFF,Emeryville_2016_10_26,0,,,,,46
4818,573,,Hollis North,,3,https://www.emerygoround.com/hollis.html,FF0001,FFFFFF,Emeryville_2016_10_26,1,,,,,47
4819,573,,Hollis South,,3,https://www.emerygoround.com/hollis.html,FFB311,000000,Emeryville_2016_10_26,2,,,,,48
4820,573,,Shellmound/Powell,,3,,5E3767,FFFFFF,Emeryville_2016_10_26,3,,,,,49
4822,573,,North Shellmound,,3,,603669,FFFFFF,Emeryville_2016_10_26,4,,,,,51
4821,573,,South Shellmound/Powell,,3,,9B6BDF,000000,Emeryville_2016_10_26,5,,,,,50
4823,573,,Watergate Express,,3,,00A1EA,000000,Emeryville_2016_10_26,6,,,,,52
3204,36,,7T-Green Valley MS,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7t/,C06B3F,FFFFFF,Fairfield_2015_10_14,0,,,,,59
3205,36,,7T-Solano Town Center,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7t/,,,Fairfield_2015_10_14,0,,,,,60
973,36,1,FTC/Walmart,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-1/,5587b3,ffffff,Fairfield_2015_10_14,0,30,,,,61
974,36,2,Solano Town Ctr/Huntington Ct,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-2/,749e4a,ffffff,Fairfield_2015_10_14,0,30,,,,62
193,36,20,Fairfield/Vacaville,,3,http://www.fasttransit.org/schedules-maps/express-intercity-route-maps-and-schedules/route-20/,b55497,ffffff,Fairfield_2015_10_14,0,60,,,,54
975,36,3,FTC/Solano Town Center/Walmart,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-3//,AA3942,ffffff,Fairfield_2015_10_14,0,30,,,,63
190,36,30,Sacramento/Davis/Fairfield,,3,http://www.fasttransit.org/schedules-maps/express-intercity-route-maps-and-schedules/route-30/,000000,ffffff,Fairfield_2015_10_14,0,180,,,,53
976,36,4,KMart/Travis Air Force Base,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-4/,353983,ffffff,Fairfield_2015_10_14,0,60,,,,64
196,36,40,WC/PH BART - Vacaville/Fairfield,,3,http://www.fasttransit.org/schedules-maps/express-intercity-route-maps-and-schedules/route-40/,165ba2,ffffff,Fairfield_2015_10_14,0,,,,,55
977,36,5,FTC/Suisun Senior Center,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-5//,50733e,ffffff,Fairfield_2015_10_14,0,60,,,,65
978,36,6,Solano Town Ctr/Suisun Senior Ctr/Montebello Dr,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-6/,2b579a,ffffff,Fairfield_2015_10_14,0,30,,,,66
979,36,7,FTC/Cordelia Library,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7/,c06b3f,ffffff,Fairfield_2015_10_14,0,30,,,,67
3202,36,7T,Rodriguez High School,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-7t/,C06B3F,FFFFFF,Fairfield_2015_10_14,0,,,,,58
980,36,8,Cordelia Library/Oakbrook Dr,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-8/,75488a,ffffff,Fairfield_2015_10_14,0,60,,,,68
2720,36,9,Suisun Senior Center/Suisun City Walmart,,3,http://www.fasttransit.org/schedules-maps/fixed-local-routes/route-9/,A55828,ffffff,Fairfield_2015_10_14,0,30,,,,57
259,36,90,FTC/El Cerrito Del Norte BART/Suisun City Amtrak,,3,http://www.fasttransit.org/schedules-maps/express-intercity-route-maps-and-schedules/route-90/,165ba2,ffffff,Fairfield_2015_10_14,0,60,,,,56
South SF-East Bay,SB,South SF-East Bay,,,4,,,,GGFerries_2017_3_18,,,,,,71
South SF-SF,SB,South SF-SF,,,4,,,,GGFerries_2017_3_18,,,,,,72
Vallejo-SF,SB,Vallejo-SF,,,4,,,,GGFerries_2017_3_18,,,,,,73
Harbor Bay-SF,SB,Harbor Bay-SF,,,4,,,,GGFerries_2017_3_18,,,,,,70
Ala-Oak-SF,SB,Ala-Oak-SF,,,4,,,,GGFerries_2017_3_18,,,,,,69
2-193,,2,Marin City - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_2.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,79
4-193,,4,Mill Valley - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_4.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,91
8-193,,8,Tiburon - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_8.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,106
10-193,,10,Strawberry - Marin City - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_10.php,3366FF,FFFFFF,GGTransit_2015_9_3,,,,,,74
17-193,,17,San Rafael - Sausalito,,3,http://marintransit.org/routes/17.html,53A946,FFFFFF,GGTransit_2015_9_3,,,,,,77
18-193,,18,College of Marin - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_18.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,78
22-193,,22,San Rafael - Marin City,,3,http://marintransit.org/routes/22.html,53A946,FFFFFF,GGTransit_2015_9_3,,,,,,80
23-193,,23,San Rafael/Canal - Fairfax/Manor,,3,http://marintransit.org/routes/23.html,53A946,FFFFFF,GGTransit_2015_9_3,,,,,,81
24-193,,24,Fairfax/Manor - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_24.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,82
25-193,,25,Fairfax/Manor - Larkspur Ferry Terminal,,3,http://goldengatetransit.org/schedules/current/route_25.php,993333,FFFFFF,GGTransit_2015_9_3,,,,,,83
27-193,,27,San Anselmo - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_27.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,84
29-193,,29,San Rafael - Fairfax/Manor,,3,http://marintransit.org/routes/29.html,53A946,FFFFFF,GGTransit_2015_9_3,,,,,,85
31-193,,31,Central San Rafael-SRTC-Larkspur Ferry,,3,http://goldengatetransit.org/schedules/current/route_31.php,993333,FFFFFF,GGTransit_2015_9_3,,,,,,86
35-193,,35,Canal - San Rafael Transit Center,,3,http://marintransit.org/routes/35.html,53A946,FFFFFF,GGTransit_2015_9_3,,,,,,87
36-193,,36,Canal - Marin City,,3,http://marintransit.org/routes/36.html,53A946,FFFFFF,GGTransit_2015_9_3,,,,,,88
37-193,,37,Smith Ranch Road P&R to LFT,,3,http://goldengatetransit.org/schedules/current/route_37.php,993333,FFFFFF,GGTransit_2015_9_3,,,,,,89
38-193,,38,Terra Linda - San Francisco,,3,http://goldengatetransit.org/schedules/current/route_38.php,CC3333,FFFFFF,GGTransit_2015_9_3,,,,,,90
40-193,,40,Del Norte BART Station - San Rafael,,3,http://goldengatetransit.org/schedules/current/route_40.php,3366FF,FFFFFF,GGTransit_2015_9_3,,,,,,92
42-193,,42,Del Norte BART Station - San Rafael,,3,http://goldengatetransit.org/schedules/current/route_40.php,3366FF,FFFFFF,GGTransit_2015_9_3,,,,,,93
