route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
4818,3903A5279,584496A3903B5279,,Loop,0,4,2,1
4820,4047A5372,595132A4047B5372,,Loop,0,5_poeve,1,1
4817,3903A5279,584483A3903B5279,,Loop,0,5,3,1
4817,4047A5369,595177A4047B5369,,Loop,0,4_holeve,3,1
4819,3903A5279,584528A3903B5279,,Loop,0,10,8,1
4820,3961A5279,584972A3961B5279,,Loop,0,27,1,1
4820,4046A5368,594794A4046B5368,,Loop,0,2_shelpofat,1,1
4820,4046A5368,594808A4046B5368,,Loop,0,4_shlepofat,1,1
4817,4047A5370,595168A4047B5370,,Loop,0,1_holeve,3,1
4820,4047A5369,595145A4047B5369,,Loop,0,6_poeve,1,1
4820,4047A5371,595132A4047B5371,,Loop,0,5_poeve,1,1
4821,3903A5279,584771A3903B5279,,South Shell/Powell – The Marina,0,20,7,1
4820,4046A5367,594828A4046B5367,,Loop,0,4_shlepofat,1,1
4817,4047A5371,595158A4047B5371,,Loop,0,3_holeve,3,1
4817,4047A5372,595156A4047B5372,,Loop,0,1_holeve,3,1
4820,4046A5368,594840A4046B5368,,Loop,0,8_shelpofat,1,1
4818,3903A5279,584522A3903B5279,,Loop,0,7,2,1
4818,3903A5279,584512A3903B5279,,Loop,0,4,2,1
4820,4046A5368,594829A4046B5368,,Loop,0,5_shelpofat,1,1
4820,4047A5371,595110A4047B5371,,Loop,0,3_poeve,1,1
4820,4046A5368,594810A4046B5368,,Loop,0,2_shelpofat,1,1
4820,4047A5369,595122A4047B5369,,Loop,0,3_poeve,1,1
4820,4047A5371,595131A4047B5371,,Loop,0,4_poeve,1,1
4817,4047A5372,595153A4047B5372,,Loop,0,1_holeve,3,1
4820,4046A5368,594801A4046B5368,,Loop,0,1_shelpofat,1,1
4819,3903A5279,584527A3903B5279,,Loop,0,9,8,1
4820,3962A5279,584998A3962B5279,,Loop,0,33,1,1
4820,4047A5371,595150A4047B5371,,Loop,0,7_poeve,1,1
4820,3962A5279,584988A3962B5279,,Loop,0,33,1,1
4817,4047A5371,595160A4047B5371,,Loop,0,2_holeve,3,1
4820,4046A5368,594822A4046B5368,,Loop,0,2_shelpofat,1,1
4823,3903A5279,584838A3903B5279,,Loop,0,35,5,1
