fare_id,rider_category_id,price
1381,6,0.75
1381,15,0.75
1381,5,0.75
1381,6,0.75
1381,2,0.75
1381,15,0.75
1381,2,0.75
1381,6,0.75
1381,4,0.75
1381,2,0.75
1381,6,0.75
1381,15,0.75
1381,5,0.75
1381,2,0.75
1381,6,0.75
1381,15,0.75
1381,5,0.75
1381,6,0.75
1381,2,0.75
1381,15,0.75
1381,2,0.75
1381,6,0.75
1381,4,0.75
1381,2,0.75
1381,6,0.75
1381,15,0.75
1381,5,0.75
1381,2,0.75
1381,6,0.75
1381,15,0.75
1381,5,0.75
1381,6,0.75
1381,2,0.75
1381,15,0.75
1381,2,0.75
1381,6,0.75
1381,4,0.75
1381,2,0.75
1381,6,0.75
1381,15,0.75
1381,5,0.75
1381,2,0.75
1382,6,2
1382,15,2
1382,5,2
1382,6,2
1382,2,2
1382,15,2
1382,2,2
1382,6,2
1382,4,2
1382,2,2
1382,6,2
1382,15,2
1382,5,2
1382,2,2
1382,6,2
1382,15,2
1382,5,2
1382,6,2
1382,2,2
1382,15,2
1382,2,2
1382,6,2
1382,4,2
1382,2,2
1382,6,2
1382,15,2
1382,5,2
1382,2,2
1382,6,2
1382,15,2
1382,5,2
1382,6,2
1382,2,2
1382,15,2
1382,2,2
1382,6,2
1382,4,2
1382,2,2
1382,6,2
1382,15,2
1382,5,2
1382,2,2
