route_id,direction_id,direction
2672,0,Northbound
2661,0,Eastbound
2702,0,Northbound
2689,0,Northbound
2668,0,Northbound
2674,0,Eastbound
2661,1,Westbound
2670,0,Northbound
2700,1,Southbound
2674,1,Westbound
2696,1,Southbound
2676,0,Northbound
2676,1,Southbound
2664,0,Eastbound
2696,0,Northbound
2659,0,Eastbound
2706,1,Westbound
2700,0,Northbound
2670,1,Southbound
2666,0,Eastbound
2664,1,Westbound
2706,0,Eastbound
2659,1,Westbound
2668,1,Southbound
2689,1,Southbound
2702,1,Southbound
2672,1,Southbound
2666,1,Westbound
