occcen1,pecas_occ
0,78
1,71
2,71
3,71
4,71
5,71
6,71
10,71
11,71
12,71
13,71
14,71
15,71
16,71
20,71
21,71
22,71
23,71
30,71
31,71
32,71
33,71
34,71
35,71
36,71
40,71
41,71
42,71
43,71
50,71
51,71
52,71
53,71
54,71
56,71
60,71
62,71
63,71
64,71
65,71
70,71
71,71
72,71
73,71
74,71
80,71
81,71
82,71
83,71
84,71
85,71
86,71
90,71
91,71
93,71
94,71
95,71
100,71
101,71
102,71
103,71
104,71
105,71
106,71
110,71
111,71
120,71
121,71
122,71
123,71
124,71
130,71
131,71
132,71
133,71
134,71
135,71
136,71
140,71
141,71
142,71
143,71
144,71
145,71
146,71
150,71
151,71
152,71
153,71
154,71
155,71
156,71
160,71
161,71
164,71
165,71
170,71
171,71
172,71
174,71
176,71
180,71
181,71
182,71
184,71
186,71
190,71
191,71
192,71
193,71
194,71
196,71
200,71
201,71
202,71
204,71
205,71
206,71
210,71
211,71
214,71
215,71
216,71
220,71
230,71
231,71
232,71
233,71
234,71
240,71
243,71
244,71
254,71
255,71
260,72
263,72
270,72
271,72
272,72
274,72
275,72
276,72
280,72
281,72
282,72
283,72
284,72
285,72
286,72
290,72
291,72
292,72
300,74
301,74
303,74
304,74
305,74
306,74
311,74
312,74
313,74
314,74
315,74
316,74
320,74
321,74
322,74
323,74
324,74
325,74
326,74
330,74
331,74
332,74
340,74
341,74
342,74
350,74
351,74
352,74
353,74
354,74
360,74
361,74
362,74
363,74
364,74
365,74
370,72
371,72
372,72
373,72
374,72
375,72
380,72
382,72
383,72
384,72
385,72
390,72
391,72
392,72
393,72
394,72
395,72
400,75
401,75
402,75
403,75
404,75
405,75
406,75
411,75
412,75
413,75
414,75
415,75
416,75
420,72
421,72
422,72
423,72
424,72
425,72
430,72
432,72
434,72
435,72
440,72
441,72
442,72
443,72
446,72
450,72
451,72
452,72
453,72
454,72
455,72
460,72
461,72
462,72
464,72
465,72
470,75
471,75
472,75
474,75
475,75
476,75
480,75
481,75
482,75
483,75
484,75
485,75
490,75
492,75
493,75
494,75
495,75
496,75
500,71
501,71
502,71
503,71
510,71
511,71
512,71
513,71
514,71
515,71
516,71
520,71
521,71
522,71
523,71
524,71
525,71
526,71
530,71
531,71
532,71
533,71
534,71
535,71
536,71
540,71
541,71
542,71
550,71
551,71
552,71
553,71
554,71
555,71
556,71
560,71
561,71
562,71
563,71
570,71
580,71
581,71
582,71
583,71
584,71
585,71
586,71
590,71
591,71
592,71
593,71
594,71
600,76
601,76
602,76
604,76
605,76
610,76
612,76
613,76
620,76
621,76
622,76
623,76
624,76
625,76
626,76
630,76
632,76
633,76
635,76
636,76
640,76
642,76
643,76
644,76
646,76
650,76
651,76
652,76
653,76
660,76
666,76
670,76
671,76
672,76
673,76
674,76
675,76
676,76
680,76
682,76
683,76
684,76
694,76
700,76
701,76
702,76
703,76
704,76
705,76
710,76
711,76
712,76
713,76
714,76
715,76
716,76
720,76
721,76
722,76
724,76
726,76
730,76
731,76
732,76
733,76
734,76
735,76
736,76
741,76
742,76
743,76
751,76
752,76
754,76
755,76
756,76
760,76
761,76
762,76
763,76
770,76
771,76
772,76
773,76
774,76
775,76
780,76
781,76
783,76
784,76
785,76
790,76
792,76
793,76
794,76
795,76
796,76
800,76
801,76
802,76
803,76
804,76
806,76
810,76
812,76
813,76
814,76
815,76
816,76
820,76
821,76
822,76
823,76
824,76
825,76
826,76
830,76
831,76
832,76
833,76
834,76
835,76
836,76
840,76
841,76
842,76
844,76
845,76
846,76
850,76
851,76
853,76
854,76
855,76
860,76
861,76
862,76
863,76
864,76
865,76
871,76
872,76
873,76
874,76
875,76
876,76
880,76
881,76
883,76
885,76
886,76
890,76
891,76
892,76
893,76
894,76
895,76
896,76
900,76
903,76
904,76
905,76
911,76
912,76
913,76
914,76
915,76
920,76
923,76
924,76
926,76
930,76
931,76
933,76
935,76
936,76
941,76
942,76
950,76
951,76
952,76
956,76
960,76
961,76
962,76
963,76
964,76
965,76
972,76
973,76
974,76
975,76
980,77
981,77
982,77
983,77
992,76
