stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
40001,40001,"Main St & Folsom St",,  37.789703,-122.392197,1
40006,40006,"Folsom St & Second St",,  37.785618,-122.396530,1
40009,40009,"Howard St & Second St",,  37.786289,-122.398956,1
40012,40012,"Fourth St & Folsom St",,  37.781784,-122.400993,1
40013,40013,"Howard St & Fourth St",,  37.783356,-122.402695,1
40017,40017,"Howard St & Sixth St",,  37.779644,-122.407387,1
40018,40018,"Folsom St & Seventh St",,  37.776634,-122.407898,1
40019,40019,"Seventh St & Market St",,  37.780727,-122.412750,1
40020,40020,"Eighth St & Mission St",,  37.777290,-122.413071,1
40021,40021,"Hyde St & McAllister St",,  37.780785,-122.415428,1
40022,40022,"McAllister St & Hyde St",,  37.780731,-122.415558,1
40023,40023,"Golden Gate Ave & Polk St-SF Civic Center",,  37.781197,-122.418610,1
40024,40024,"McAllister St & Polk St",,  37.780289,-122.418831,1
40025,40025,"Van Ness Ave & O'Farrell St",,  37.784809,-122.421402,1
40026,40026,"Van Ness Ave & Geary Blvd",,  37.785870,-122.421272,1
40027,40027,"Van Ness Ave & Sutter St",,  37.787357,-122.421906,1
40028,40028,"Van Ness Ave & Sutter St",,  37.787724,-122.421654,1
40029,40029,"Van Ness Ave & Sacramento St",,  37.791348,-122.422722,1
40030,40030,"Van Ness Ave & Clay St",,  37.792355,-122.422577,1
40031,40031,"Van Ness Ave & Union St",,  37.798622,-122.424179,1
40032,40032,"Van Ness Ave & Union St",,  37.798481,-122.423836,1
40033,40033,"Lombard St & Fillmore St",,  37.799706,-122.436157,1
40034,40034,"Lombard St & Fillmore St",,  37.799961,-122.435974,1
40035,40035,"Richardson Ave & Lyon St",,  37.800396,-122.447365,1
40036,40036,"Richardson Ave & Francisco St",,  37.800369,-122.446915,1
40037,40037,"Golden Gate Bridge Toll Plaza",,  37.807011,-122.475670,1
40038,40038,"Golden Gate Bridge Toll Plaza",,  37.807518,-122.475533,1
40039,40039,"Van Ness Ave & Chestnut St",,  37.802444,-122.424637,1
40040,40040,"Van Ness Ave & Chestnut St",,  37.802086,-122.424850,1
40041,40041,"North Point St & Hyde St",,  37.805653,-122.420486,1
40042,40042,"North Point St & Hyde St",,  37.805790,-122.420280,1
40043,40043,"North Point St & Jones St",,  37.806068,-122.417191,1
40044,40044,"North Point St & Jones St",,  37.806194,-122.417313,1
40045,40045,"North Point St & Stockton St",,  37.806900,-122.410622,1
40046,40046,"North Point St & Stockton St",,  37.807030,-122.410416,1
40047,40047,"Battery St & Filbert St",,  37.801472,-122.401718,1
40048,40048,"Sansome St & Filbert St",,  37.802330,-122.402954,1
40049,40049,"Battery St & Jackson St",,  37.796852,-122.400803,1
40050,40050,"Sansome St & Pacific St",,  37.797672,-122.402023,1
40051,40051,"Battery St & Sacramento St",,  37.794220,-122.400246,1
40052,40052,"Sansome St & Sacramento St",,  37.794266,-122.401344,1
40053,40053,"Battery St & Pine St",,  37.791977,-122.399796,1
40054,40054,"First St & Stevenson St",,  37.790485,-122.398567,1
40055,40055,"The Embarcadero & Bay St",,  37.806644,-122.406143,1
40056,40056,"North Point St & The Embarcadero",,  37.807381,-122.407669,1
40058,40058,"Battery St & Green St",,  37.800529,-122.401535,1
40060,40060,"Golden Gate Ave & Laguna St",,  37.780109,-122.427139,1
40061,40061,"McAllister St & Laguna St",,  37.779324,-122.426735,1
40063,40063,"Van Ness Ave & Chestnut St",,  37.802338,-122.424896,1
40065,40065,"North Point St & Polk St",,  37.805313,-122.423897,1
40066,40066,"Battery St & Broadway",,  37.798397,-122.401100,1
40069,40069,"Pine St & Battery St",,  37.792381,-122.399284,1
40074,40074,"Fremont St & Mission St",,  37.790421,-122.396576,1
40078,40078,"Van Ness Ave & Broadway",,  37.795910,-122.423294,1
40079,40079,"Van Ness Ave & Pacific Av",,  37.794876,-122.423416,1
