service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
15JUNE-01-WKDY-Weekday-12,1,1,1,1,1,0,0,20150902,20150911
15JUNE-01-WKDY-Weekday-12-1111100,1,1,1,1,1,0,0,20150902,20150911
15JUNE-01-SAT-Saturday-08,0,0,0,0,0,1,0,20150905,20150912
15JUNE-01-SUN-Sunday-08,0,0,0,0,0,0,1,20150906,20150907
15SEPT-01-SUN-Sunday-03,0,0,0,0,0,0,1,20150913,20151206
15SEPT-01-WKDY-Weekday-02,1,1,1,1,1,0,0,20150914,20151125
15SEPT-01-SAT-Saturday-03,0,0,0,0,0,1,0,20150919,20151212
15SEPT-01-WKDY-Weekday-03,1,1,1,1,1,0,0,20151127,20151211
