timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label
1,2668,0,20150101,20160101,0,0,0,0,0,0,0,BayView - Richmond Parkway Transit Center,Modified Holiday Service,Northbound
2,2668,0,20150101,20160101,1,1,1,1,1,0,0,BayView - Richmond Parkway Transit Center,Year Round Calendar,Northbound
3,2668,1,20150101,20160101,0,0,0,0,0,0,0,BayView - Richmond Parkway Transit Center,Modified Holiday Service,Southbound
4,2668,1,20150101,20160101,1,1,1,1,1,0,0,BayView - Richmond Parkway Transit Center,Year Round Calendar,Southbound
5,2659,0,20150101,20160101,0,0,0,0,0,0,0,Crockett - Rodeo - Hercules,Modified Holiday Service,Eastbound
6,2659,0,20150101,20160101,0,0,0,0,0,1,0,Crockett - Rodeo - Hercules,Routes 11 & 19 Saturday Service,Eastbound
7,2659,0,20150101,20160101,1,1,1,1,1,0,0,Crockett - Rodeo - Hercules,Year Round Calendar,Eastbound
8,2659,1,20150101,20160101,0,0,0,0,0,0,0,Crockett - Rodeo - Hercules,Modified Holiday Service,Westbound
9,2659,1,20150101,20160101,0,0,0,0,0,1,0,Crockett - Rodeo - Hercules,Routes 11 & 19 Saturday Service,Westbound
10,2659,1,20150101,20160101,1,1,1,1,1,0,0,Crockett - Rodeo - Hercules,Year Round Calendar,Westbound
11,2655,0,20150101,20160101,0,0,0,0,0,0,0,Gems and Birds,Modified Holiday Service,No direction
12,2655,0,20150101,20160101,1,1,1,1,1,0,0,Gems and Birds,Year Round Calendar,No direction
13,2655,0,20150824,20151218,1,1,0,1,1,0,0,Gems and Birds,School Calendar,No direction
14,2655,0,20150824,20151218,1,1,1,1,1,0,0,Gems and Birds,School Calendar,No direction
15,2655,0,20160104,20160401,1,1,0,1,1,0,0,Gems and Birds,School Calendar,No direction
16,2655,0,20160104,20160401,1,1,1,1,1,0,0,Gems and Birds,School Calendar,No direction
17,2655,0,20160411,20160608,1,1,0,1,1,0,0,Gems and Birds,School Calendar,No direction
18,2655,0,20160411,20160608,1,1,1,1,1,0,0,Gems and Birds,School Calendar,No direction
19,2672,0,20150101,20160101,0,0,0,0,0,1,0,Hercules - Pinole - Richmond Parkway Transit Center - Hilltop Mall,Routes 11 & 19 Saturday Service,Northbound
20,2672,1,20150101,20160101,0,0,0,0,0,1,0,Hercules - Pinole - Richmond Parkway Transit Center - Hilltop Mall,Routes 11 & 19 Saturday Service,Southbound
21,2700,0,20150101,20160101,0,0,0,0,0,0,0,Hercules Transit Center - El Cerrito del Norte BART,Modified Holiday Service,Northbound
22,2700,0,20150101,20160101,1,1,1,1,1,0,0,Hercules Transit Center - El Cerrito del Norte BART,JX Year Round Service,Northbound
