timetable_id,stop_id,stop_sequence,stop_name,connected_routes
1,784980,0,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
1,785008,1,Petaluma Blvd. N north of Factory Outlets,"1-No direction, 5-No direction"
1,785015,2,Petaluma Blvd. N. south of Magnolia Ave.,"1-No direction, 5-No direction"
1,784982,3,Keller Street north of Western (Petaluma Market),"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
1,784983,4,4th Street west of C St.,"11-Southbound, 1-No direction, 33T-No direction, 3S-No direction, 3T-No direction, 5-No direction"
1,784992,5,Petaluma Blvd. S south of Mtn View Ave.,"1-No direction, 5-No direction"
1,784980,6,Copeland Street Transit Mall south of Washington Street,"11-Northbound, 11-Southbound, 1-No direction, 24-No direction, 33T-No direction, 3T-No direction"
2,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
2,785088,1,N. McDowell Blvd. north of Southpoint Blvd.,2-Northbound
3,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
3,785088,1,N. McDowell Blvd. north of Southpoint Blvd.,2-Northbound
4,785023,0,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
4,785088,1,N. McDowell Blvd. north of Southpoint Blvd.,2-Northbound
5,785096,0,1367 N. McDowell Blvd. south of Redwood Way (Gateway SC),2-Southbound
5,785102,1,N. McDowell Blvd. south of Southpoint Blvd.,"2-Southbound, 33M-No direction"
5,785107,2,N. McDowell Blvd. at Petaluma Plaza S.C. North,"2-Southbound, 33M-No direction"
5,785023,3,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
6,785096,0,1367 N. McDowell Blvd. south of Redwood Way (Gateway SC),2-Southbound
6,785102,1,N. McDowell Blvd. south of Southpoint Blvd.,"2-Southbound, 33M-No direction"
6,785107,2,N. McDowell Blvd. at Petaluma Plaza S.C. North,"2-Southbound, 33M-No direction"
6,785023,3,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
7,785096,0,1367 N. McDowell Blvd. south of Redwood Way (Gateway SC),2-Southbound
7,785102,1,N. McDowell Blvd. south of Southpoint Blvd.,"2-Southbound, 33M-No direction"
7,785107,2,N. McDowell Blvd. at Petaluma Plaza S.C. North,"2-Southbound, 33M-No direction"
7,785023,3,Eastside Transit Ctr (Maria Dr.) at Washington Square SC,"11-Northbound, 11-Southbound, 2-Northbound, 2-Southbound, 33M-No direction, 33-No direction, 33T-No direction, 3-No direction, 3S-No direction, 3T-No direction"
