"fare_id","price","currency_type","payment_method","transfers","transfer_duration"
"1","2","USD","0","0",""
"2","4","USD","0","0",""
"3","2","USD","1","","7200"
"4","6","USD","0","",""
"5","12","USD","0","",""
"6","6","USD","1","",""
"7","12","USD","1","",""
"8","4","USD","1","","28800"
"9","1.25","USD","0","0",""
"10","0","USD","0","0",""
