trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type
10000,7:00:00,7:00:00,177,1,0
10000,7:00:30,7:00:30,226,2,0
10000,7:01:00,7:01:00,224,3,0
10000,7:02:00,7:02:00,238,4,0
10000,7:02:30,7:02:30,78,5,0
10000,7:03:00,7:03:00,80,6,0
10000,7:04:00,7:04:00,2,7,0
10000,7:04:30,7:04:30,95,8,0
10000,7:05:00,7:05:00,4,9,0
10000,7:05:30,7:05:30,11,10,0
10000,7:06:00,7:06:00,13,11,0
10000,7:08:00,7:08:00,153,12,0
10000,7:10:00,7:10:00,115,13,0
10000,7:16:00,7:16:00,159,14,0
10000,7:16:45,7:16:45,163,15,0
10000,7:18:00,7:18:00,255,16,0
10000,7:19:00,7:19:00,185,17,0
10000,7:19:45,7:19:45,146,18,0
10000,7:21:45,7:21:45,186,19,0
10000,7:22:30,7:22:30,187,20,0
10000,7:28:00,7:28:00,193,21,0
10000,7:28:30,7:28:30,188,22,0
10000,7:30:00,7:30:00,194,23,0
10000,7:30:45,7:30:45,195,24,0
10000,7:31:45,7:31:45,149,25,0
10000,7:32:30,7:32:30,196,26,0
10000,7:33:00,7:33:00,256,27,0
10000,7:33:30,7:33:30,199,28,0
10000,7:35:00,7:35:00,164,29,0
10000,7:37:00,7:37:00,119,30,0
10000,7:41:00,7:41:00,126,31,0
10000,7:45:00,7:45:00,12,32,0
10000,7:45:30,7:45:30,98,33,0
10000,7:46:00,7:46:00,10,34,0
10000,7:46:30,7:46:30,3,35,0
10000,7:47:00,7:47:00,1,36,0
10000,7:47:30,7:47:30,79,37,0
10000,7:48:00,7:48:00,76,38,0
10000,7:50:00,7:50:00,177,39,0
10001,7:20:00,7:20:00,177,1,0
10001,7:20:30,7:20:30,226,2,0
10001,7:21:00,7:21:00,224,3,0
10001,7:22:00,7:22:00,238,4,0
10001,7:22:30,7:22:30,78,5,0
10001,7:23:00,7:23:00,80,6,0
10001,7:24:00,7:24:00,2,7,0
10001,7:24:30,7:24:30,95,8,0
10001,7:25:00,7:25:00,4,9,0
10001,7:25:30,7:25:30,11,10,0
10001,7:26:00,7:26:00,13,11,0
10001,7:28:00,7:28:00,153,12,0
