stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
24,24,Campus @ Alvarado Row,37.422661,-122.165921,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=24
25,25,Campus @ Mayfield N,37.421532,-122.168274,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=25
26,26,Campus @ Mayfield S,37.42152,-122.168144,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=26
27,27,Tresidder West,37.42374038,-122.1705856,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=27
28,28,Tresidder East,37.423601,-122.170571,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=28
29,29,Santa Teresa @ Lomita,37.425342,-122.173242,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=29
30,30,Santa Teresa @ New Guinea,37.425259,-122.173494,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=30
31,31,Samuel Morris @ Panama,37.426324,-122.174085,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=31
35,35,Santa Teresa @ Roble F,37.42609786,-122.176918,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=35
36,36,Santa Teresa @ West Res,37.425952,-122.176686,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=36
37,37,Santa Teresa @ Governors,37.426497,-122.180534,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=37
38,38,Santa Teresa @ Arboles,37.426572,-122.180553,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=38
39,39,Olmsted @ Hoskins N,37.427126,-122.157483,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=39
40,40,Olmsted @ Hoskins S,37.427443,-122.156897,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=40
41,41,82 Olmsted  N,37.429612,-122.153819,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=41
42,42,82 Olmsted S,37.4295,-122.153442,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=42
43,43,Olmsted @ Hulme N,37.428629,-122.155575,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=43
44,44,Olmsted @ Hulme S,37.428936,-122.154857,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=44
45,45,Olmsted @ Barnes W,37.428876,-122.1519,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=45
46,46,Olmsted @ Barnes E,37.428751,-122.151584,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=46
47,47,Olmsted @ Yale E,37.426457,-122.150761,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=47
48,48,Olmsted @ Yale W,37.426409,-122.150873,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=48
54,54,Pasteur Garage to SHC,37.433624,-122.177429,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=54
56,56,Pasteur Garage to BWCC,37.433284,-122.177083,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=56
58,58,Stanford Hospital (Front),37.433647,-122.175919,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=58
59,59,Cancer Center (BW),37.435974,-122.176552,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=59
60,60,Caltrain Platform South,37.44248,-122.164335,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=60
61,61,PA HS on Embarcadero,37.437734,-122.158393,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=61
62,62,Galvez @ El Camino Real,37.437004,-122.161065,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=62
63,63,El Camino @ Town/Cntry,37.437723,-122.16033,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=63
64,64,El Camino @ PAMF SB,37.439116,-122.162419,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=64
65,65,El Camino @ PAMF NB,37.44008255,-122.162941,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=65
66,66,PATC-University Circle,37.443087,-122.164417,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=66
67,67,Lytton Ave @ Alma,37.444391,-122.165114,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=67
68,68,Emerson @ University,37.444461,-122.162536,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=68
69,69,Quarry near Falk Bld,37.435042,-122.173162,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=69
70,70,Quarry @ Psychiatry Lot,37.435811,-122.17274,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=70
71,71,Quarry @ Crate/Barrel,37.438749,-122.171541,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=71
72,72,Quarry @ Psychiatry Bld,37.438332,-122.171459,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=72
73,73,Quarry Ext @ Medical C,37.43358612,-122.1739731,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=73
74,74,Medical Center @ Quarry,37.433709,-122.17385,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=74
75,75,Quarry Ext @ Med School,37.432775,-122.174237,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=75
76,76,Serra Mall @ Via Ortega,37.430166,-122.175192,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=76
77,77,Sweet Olive Wy-Lot 1,37.440691,-122.169799,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=77
78,78,Serra Mall @ Allen Bld,37.430075,-122.175047,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=78
79,79,Serra Mall @ Gates Bld,37.429782,-122.173329,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=79
80,80,Serra Mall @ Packard,37.429587,-122.172769,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=80
81,81,Campus @ Panama,37.430775,-122.178021,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=81
82,82,Campus @ MSOB,37.430953,-122.179357,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=82
84,84,Guest House @ SLAC,37.420039,-122.20254,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=84
85,85,Sand Hill S @ Sharon Pk,37.423894,-122.194993,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=85
86,86,Sand Hill N @ Sharon Pk,37.423536,-122.195894,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=86
87,87,Stock Farm Garage W,37.431425,-122.181404,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=87
88,88,Stock Farm Lot @ Oak,37.432374,-122.180357,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=88
89,89,Stock Farm Garage E,37.431357,-122.181282,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=89
91,91,Sand Hill @ Stock Farm,37.43172,-122.186115,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=91
92,92,Sand Hill @ Oak Creek,37.430085,-122.188042,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=92
93,93,Panama @ Via Ortega,37.427611,-122.176286,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=93
95,95,Serra Mall @ Lasuen Mall,37.428612,-122.168176,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=95
96,96,Campus Oval,37.429227,-122.169004,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=96
97,97,Galvez @ Serra Mall,37.428113,-122.165378,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=97
98,98,Serra St @ GSB,37.427525,-122.162783,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=98
101,101,Quarry @ Hoover Pav,37.442178,-122.169041,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=101
102,102,Quarry @ Shopping Ctr,37.442072,-122.169487,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=102
103,103,Roth @ Quarry Ext,37.432589,-122.174132,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=103
104,104,Roth @ Cantor Arts,37.431909,-122.17074,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=104
105,105,Stanford Hospital,37.433167,-122.176879,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=105
108,108,Stanford West,37.438755,-122.178719,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=108
109,109,Oak East @ EH&S,37.429293,-122.18429,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=109
110,110,Oak West @ EH&S,37.429408,-122.184383,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=110
111,111,Stock Farm N @ Oak,37.430661,-122.183897,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=111
112,112,Stock Farm S @ Oak,37.430546,-122.183908,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=112
114,114,San Antonio Rd,37.402149,-122.112871,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=114
115,115,California Ave @ Yale,37.424287,-122.146579,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=115
116,116,Quarry @ Sweet Olive,37.440724,-122.170749,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=116
119,119,Hanover N @ Page Mill,37.417535,-122.147384,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=119
124,124,Showers Dr,37.401294,-122.108099,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=124
126,126,El Camino @ Cal Ave IB,37.425347,-122.146088,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=126
127,127,El Camino @ Cal Ave OB,37.424822,-122.145674,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=127
130,130,1101 Welch Rd,37.434993,-122.179073,http://mybus.stanford.edu/stops/stopDepartures.cfm?stopid=130
