route_id,service_id,trip_id,shape_id
28,1,10000,1050A
28,1,10001,1050A
28,1,10002,1050A
28,1,10003,1050A
28,1,10004,1050A
28,1,10005,1050A
28,1,10006,1050A
28,1,10007,1050A
28,1,10008,1050A
28,1,10009,1050A
28,1,10010,1050A
28,1,10011,1050A
28,1,10012,1050A
28,1,10013,1050A
28,1,10014,1050A
28,1,10015,1050A
28,1,10016,1050A
28,1,10017,1050A
28,1,10018,1050A
28,1,10019,1050A
28,1,10020,1050A
28,1,10021,1050A
28,1,10022,1050A
28,1,10023,1050A
28,1,10024,1050A
28,1,10025,1050A
28,1,10026,1050A
28,1,10027,1050A
28,1,10028,1050A
28,1,10029,1050A
28,1,10030,1050A
28,1,10031,1050A
28,1,10032,1050A
28,1,10033,1050A
28,1,10034,1050A
36,1,10084,AEFAM
36,1,10085,AEFAM
36,1,10086,AEFAM
36,1,10087,AEFAM
36,1,10088,AEFAM
36,1,10089,AEFAM
36,1,10090,AEFAM
36,1,11082,AEFPM
36,1,11083,AEFPM
36,1,11084,AEFPM
36,1,11085,AEFPM
36,1,11086,AEFPM
53,1,12080,BOH
53,1,12081,BOH
53,1,12082,BOH
53,1,12083,BOH
53,1,12084,BOH
53,1,12085,BOH
53,1,12086,BOH
53,1,12087,BOH
53,1,12088,BOH
53,1,12089,BOH
53,1,12090,BOH
53,1,12091,BOH
53,1,12092,BOH
53,1,12093,BOH
53,1,12094,BOH
53,1,12095,BOH
53,1,12096,BOH
53,1,13075,BOH07000748
53,1,13076,BOH07000748
53,1,14062,BOH07190826
53,1,14063,BOH07190826
53,1,14064,BOH08150845
53,1,15062,BOH08481833
53,1,15063,BOH08481833
53,1,16060,BOH16011701
53,1,17058,BOH16311731
53,1,17059,BOH16311731
53,1,18055,BOH17311816
4,1,19053,C   
4,1,19054,C   
4,1,19055,C   
4,1,19056,C   
4,1,19057,C   
4,1,19058,C   
4,1,19059,C   
4,1,19060,C   
4,1,19061,C   
4,1,19062,C   
4,1,19063,C   
4,1,19064,C   
4,1,19065,C   
4,1,19066,C   
4,1,19067,C   
4,1,19068,C   
4,1,19069,C   
4,1,19070,C   
4,1,19071,C   
4,1,19072,C   
4,1,19073,C   
4,1,19074,C   
4,1,19075,C   
4,1,19076,C   
4,1,19077,C   
4,1,19078,C   
4,1,19079,C   
4,1,19080,C   
4,1,20051,C05350648
4,1,20052,C05350648
4,1,20053,C05350648
4,1,20168,C06500728
46,1,21164,CLIM
46,1,21165,CLIM
46,1,21166,CLIM
46,1,21167,CLIM
46,1,21168,CLIM
46,1,21169,CLIM
46,1,21170,CLIM
46,1,21171,CLIM
46,1,21172,CLIM
46,1,21173,CLIM
46,1,21174,CLIM
55,1,22162,EBAM
55,1,23144,EBPM
59,1,24140,HD
59,1,24141,HD
59,1,24142,HD
59,1,24143,HD
59,1,24144,HD
59,1,24145,HD
59,1,24146,HD
59,1,24147,HD
59,1,24148,HD
59,1,24149,HD
59,1,24150,HD
59,1,24151,HD
59,1,24152,HD
59,1,24153,HD
59,1,24154,HD
59,1,24155,HD
59,1,24156,HD
59,1,24157,HD
59,1,24158,HD
59,1,24159,HD
59,1,24160,HD
59,1,24161,HD
59,1,24162,HD
59,1,24163,HD
59,1,24164,HD
59,1,24165,HD
59,1,24166,HD
59,1,24167,HD
59,1,24168,HD
59,1,24169,HD
59,1,24170,HD
59,1,24171,HD
59,1,24172,HD
59,1,24173,HD
59,1,24174,HD
59,1,24175,HD
59,1,24176,HD
59,1,24177,HD
59,1,24178,HD
59,1,24179,HD
59,1,24180,HD
59,1,24181,HD
59,1,24182,HD
59,1,24183,HD
59,1,24184,HD
59,1,24185,HD
59,1,24186,HD
59,1,24187,HD
59,1,24188,HD
59,1,24189,HD
59,1,24190,HD
59,1,24191,HD
59,1,24192,HD
59,1,24193,HD
59,1,24194,HD
59,1,24195,HD
59,1,24196,HD
59,1,24197,HD
59,1,24198,HD
59,1,24199,HD
59,1,24200,HD
59,1,24201,HD
59,1,24202,HD
59,1,24203,HD
59,1,24204,HD
59,1,24205,HD
59,1,24206,HD
59,1,24207,HD
59,1,24208,HD
59,1,24209,HD
59,1,24210,HD
59,1,24211,HD
59,1,24212,HD
59,1,24213,HD
59,1,24214,HD
59,1,24215,HD
59,1,24216,HD
59,1,24217,HD
59,1,24218,HD
59,1,24219,HD
59,1,24220,HD
59,1,24221,HD
59,1,24222,HD
59,1,24223,HD
59,1,24224,HD
59,1,24225,HD
59,1,24226,HD
59,1,24227,HD
59,1,24228,HD
59,1,24229,HD
59,1,24230,HD
59,1,24231,HD
59,1,24232,HD
59,1,24233,HD
59,1,24234,HD
59,1,24235,HD
59,1,24236,HD
59,1,24237,HD
59,1,24238,HD
59,1,24239,HD
59,1,24240,HD
59,1,24241,HD
59,1,24242,HD
59,1,24243,HD
59,1,24244,HD
59,1,24245,HD
59,1,24246,HD
59,1,24247,HD
59,1,24248,HD
59,1,24249,HD
59,1,24250,HD
59,1,24251,HD
59,1,24252,HD
59,1,24253,HD
59,1,24254,HD
59,1,24255,HD
59,1,24256,HD
59,1,24257,HD
59,1,24258,HD
59,1,24259,HD
59,1,24260,HD
59,1,24261,HD
59,1,24262,HD
59,1,24263,HD
59,1,24264,HD
59,1,24265,HD
59,1,24266,HD
59,1,24267,HD
59,1,24268,HD
59,1,24269,HD
59,1,24270,HD
59,1,24271,HD
59,1,24272,HD
59,1,24273,HD
59,1,24274,HD
59,1,24275,HD
59,1,24276,HD
59,1,24277,HD
59,1,24278,HD
59,1,24279,HD
59,1,24280,HD
59,1,24281,HD
59,1,24282,HD
22,1,24973,MCAM
22,1,24974,MCAM
22,1,24975,MCAM
22,1,24976,MCAM
22,1,24977,MCAM
22,1,24978,MCAM
22,1,24979,MCAM
22,1,24980,MCAM
22,1,24981,MCAM
22,1,24982,MCAM
22,1,24983,MCAM
22,1,24984,MCAM
22,1,24985,MCAM
22,1,24986,MCAM
22,1,24987,MCAM
22,1,24988,MCAM
22,1,24989,MCAM
22,1,24990,MCAM
22,1,24991,MCAM
22,1,24992,MCAM
22,1,24993,MCAM
22,1,24994,MCAM
50,1,25971,MCHOLIDAY
50,1,25972,MCHOLIDAY
50,1,25973,MCHOLIDAY
50,1,25974,MCHOLIDAY
50,1,25975,MCHOLIDAY
50,1,25976,MCHOLIDAY
50,1,25977,MCHOLIDAY
50,1,25978,MCHOLIDAY
50,1,25979,MCHOLIDAY
50,1,25980,MCHOLIDAY
50,1,25981,MCHOLIDAY
50,1,25982,MCHOLIDAY
50,1,25983,MCHOLIDAY
50,1,25984,MCHOLIDAY
50,1,25985,MCHOLIDAY
50,1,25986,MCHOLIDAY
50,1,25987,MCHOLIDAY
50,1,25988,MCHOLIDAY
50,1,25989,MCHOLIDAY
50,1,25990,MCHOLIDAY
50,1,25991,MCHOLIDAY
50,1,25992,MCHOLIDAY
50,1,25993,MCHOLIDAY
50,1,25994,MCHOLIDAY
50,1,25995,MCHOLIDAY
50,1,25996,MCHOLIDAY
50,1,25997,MCHOLIDAY
50,1,25998,MCHOLIDAY
50,1,25999,MCHOLIDAY
50,1,26000,MCHOLIDAY
50,1,26001,MCHOLIDAY
50,1,26002,MCHOLIDAY
50,1,26003,MCHOLIDAY
50,1,26004,MCHOLIDAY
50,1,26005,MCHOLIDAY
50,1,26006,MCHOLIDAY
50,1,26007,MCHOLIDAY
50,1,26008,MCHOLIDAY
50,1,26009,MCHOLIDAY
50,1,26010,MCHOLIDAY
50,1,26011,MCHOLIDAY
50,1,26012,MCHOLIDAY
50,1,26013,MCHOLIDAY
50,1,26014,MCHOLIDAY
50,1,26015,MCHOLIDAY
50,1,26016,MCHOLIDAY
50,1,26017,MCHOLIDAY
50,1,26018,MCHOLIDAY
50,1,26019,MCHOLIDAY
50,1,26020,MCHOLIDAY
50,1,26021,MCHOLIDAY
50,1,26022,MCHOLIDAY
50,1,26023,MCHOLIDAY
50,1,26024,MCHOLIDAY
50,1,26025,MCHOLIDAY
50,1,26026,MCHOLIDAY
50,1,26027,MCHOLIDAY
50,1,26028,MCHOLIDAY
50,1,26029,MCHOLIDAY
50,1,26030,MCHOLIDAY
50,1,26031,MCHOLIDAY
50,1,26032,MCHOLIDAY
50,1,26033,MCHOLIDAY
50,1,26034,MCHOLIDAY
22,1,26957,MCMIDDAY
22,1,26958,MCMIDDAY
22,1,26959,MCMIDDAY
22,1,26960,MCMIDDAY
22,1,26961,MCMIDDAY
22,1,26962,MCMIDDAY
22,1,26963,MCMIDDAY
22,1,26964,MCMIDDAY
22,1,26965,MCMIDDAY
22,1,26966,MCMIDDAY
22,1,26967,MCMIDDAY
22,1,27955,MCPM
22,1,27956,MCPM
22,1,27957,MCPM
22,1,27958,MCPM
22,1,27959,MCPM
22,1,27960,MCPM
22,1,27961,MCPM
22,1,27962,MCPM
22,1,27963,MCPM
22,1,27964,MCPM
22,1,27965,MCPM
22,1,27966,MCPM
22,1,27967,MCPM
22,1,27968,MCPM
22,1,27969,MCPM
22,1,27970,MCPM
22,1,27971,MCPM
22,1,27972,MCPM
22,1,27973,MCPM
22,1,27974,MCPM
22,1,27975,MCPM
9,1,28950,N   
9,1,28951,N   
9,1,28952,N   
9,1,28953,N   
9,1,28954,N   
9,1,28955,N   
9,1,28956,N   
9,1,28957,N   
9,1,29948,N01550222
9,1,30945,N20152035
43,1,31934,O   
43,1,31935,O   
43,1,31936,O   
43,1,31937,O   
43,1,31938,O   
43,1,31939,O   
43,1,31940,O   
43,1,31941,O   
43,1,32932,O02150235
43,1,33926,O20302055
56,2,34911,OCA 
56,2,34912,OCA 
56,2,34913,OCA 
56,2,34914,OCA 
56,1,34915,OCA 
56,1,34916,OCA 
56,1,34917,OCA 
56,1,34918,OCA 
56,1,34919,OCA 
56,1,34920,OCA 
56,1,34921,OCA 
56,1,34922,OCA 
56,1,34923,OCA 
56,1,34924,OCA 
56,1,34925,OCA 
56,1,35031,OCA02000210
20,2,36028,P
20,2,36029,P
20,2,36030,P
20,2,36031,P
20,2,36032,P
20,2,36033,P
20,2,36034,P
20,2,36035,P
20,2,36036,P
20,2,36037,P
20,2,36038,P
20,2,36039,P
20,2,36040,P
20,2,36041,P
20,2,36042,P
20,2,36043,P
20,2,36044,P
20,2,36045,P
20,2,36046,P
20,2,36047,P
