route_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
2,Y,Line Y,3,http://transportation.stanford.edu/marguerite/y,ED1C24,FFFFFF
3,X,Line X,3,http://transportation.stanford.edu/marguerite/x,ED1C24,FFFFFF
4,C,Line C,3,http://transportation.stanford.edu/marguerite/c,6DCFF6,FFFFFF
8,SLAC,SLAC Shuttle,3,http://transportation.stanford.edu/marguerite/slac,00A650,FFFFFF
9,N,Line N - Evenings ONLY,3,http://transportation.stanford.edu/marguerite/n,2E3092,FFFFFF
18,SE,Shopping Express,3,http://transportation.stanford.edu/marguerite/se,D174AF,FFFFFF
20,P,Line P,3,http://transportation.stanford.edu/marguerite/p,AFDBBD,000000
22,MC,Medical Center,3,http://transportation.stanford.edu/marguerite/mc,91268f,FFFFFF
28,1050A,1050 Arastradero,3,http://transportation.stanford.edu/marguerite/1050a,954A35,FFFFFF
33,S,Line S,3,http://transportation.stanford.edu/marguerite/s,666733,FFFFFF
36,AE-F,Line AE-F,3,http://transportation.stanford.edu/marguerite/awe,aaaaaa,900000
38,RP,Research Park,3,http://transportation.stanford.edu/marguerite/rp,008579,FFFFFF
43,O,Line O - Evenings ONLY,3,http://transportation.stanford.edu/marguerite/o,2E3192,FFFFFF
44,YL-AM,Line Y - Limited Service AM,3,http://transportation.stanford.edu/marguerite/y,ED1C24,FFFFFF
47,YL-PM,Line Y - Limited Service PM,3,http://transportation.stanford.edu/marguerite/y,ED1C24,FFFFFF
45,XL-AM,Line X - Limited Service AM,3,http://transportation.stanford.edu/marguerite/x,ED1C24,FFFFFF
48,XL-PM,Line X - Limited Service PM,3,http://transportation.stanford.edu/marguerite/x,ED1C24,FFFFFF
46,C-Lim,Line C Limited,3,http://transportation.stanford.edu/marguerite/c,6DCFF6,FFFFFF
50,MCH,Medical Center: Holiday,3,http://transportation.stanford.edu/marguerite/mc,91268f,FFFFFF
51,XE,Line X - Express Service,3,http://transportation.stanford.edu/marguerite/x,ED1C24,FFFFFF
52,YE,Line Y - Express Service,3,http://transportation.stanford.edu/marguerite/y,ED1C24,FFFFFF
53,BOH,Bohannon,3,http://transportation.stanford.edu/marguerite/boh,cfa92a,000000
54,TECH,SUMC - TECH Park and Ride Shuttle,3,http://transportation.stanford.edu/marguerite/tech,EEE809,000000
55,EB,East Bay Express,3,http://transportation.stanford.edu/marguerite/eb/,5674b9,FFFFFF
56,OCA,Oak Creek Apartments,3,http://transportation.stanford.edu/marguerite/oca/,73909f,FFFFFF
57,W,Line W,3,http://transportation.stanford.edu/marguerite/h/,d1489a,FFFFFF
59,HD,Hospital: Direct,3,http://transportation.stanford.edu/marguerite/hd/,2dbcb5,FFFFFF
61,VA,VA Tram,3,http://transportation.stanford.edu/marguerite/va/,F58220,FFFFFF
71,PT,Patient Tram,3,http://transportation.stanford.edu/marguerite/pt/,99ca3c,FFFFFF
