fare_id,route_id,origin_id,destination_id,contains_id
111,,SSAN,SSAN,
62,,SSAN,SBRN,
148,,SSAN,SFIA,
62,,SSAN,MLBR,
127,,SSAN,WDUB,
103,,SSAN,RICH,
98,,SSAN,DELN,
95,,SSAN,PLZA,
92,,SSAN,NBRK,
91,,SSAN,DBRK,
89,,SSAN,ASHB,
87,,SSAN,MCAR,
85,,SSAN,19TH,
85,,SSAN,12TH,
85,,SSAN,LAKE,
90,,SSAN,FTVL,
94,,SSAN,COLS,
99,,SSAN,SANL,
104,,SSAN,BAYF,
109,,SSAN,HAYW,
115,,SSAN,SHAY,
124,,SSAN,UCTY,
131,,SSAN,FRMT,
109,,SSAN,CAST,
131,,SSAN,DUBL,
139,,SSAN,PITT,
129,,SSAN,NCON,
62,,SSAN,COLM,
125,,SSAN,CONC,
117,,SSAN,PHIL,
114,,SSAN,WCRK,
107,,SSAN,LAFY,
100,,SSAN,ORIN,
89,,SSAN,ROCK,
83,,SSAN,WOAK,
76,,SSAN,EMBR,
76,,SSAN,MONT,
76,,SSAN,POWL,
76,,SSAN,CIVC,
72,,SSAN,16TH,
70,,SSAN,24TH,
66,,SSAN,GLEN,
62,,SSAN,BALB,
62,,SSAN,DALY,
214,,SSAN,OAKL,
62,,SBRN,SSAN,
111,,SBRN,SBRN,
148,,SBRN,SFIA,
62,,SBRN,MLBR,
132,,SBRN,WDUB,
108,,SBRN,RICH,
103,,SBRN,DELN,
100,,SBRN,PLZA,
97,,SBRN,NBRK,
95,,SBRN,DBRK,
94,,SBRN,ASHB,
92,,SBRN,MCAR,
90,,SBRN,19TH,
90,,SBRN,12TH,
90,,SBRN,LAKE,
95,,SBRN,FTVL,
99,,SBRN,COLS,
104,,SBRN,SANL,
109,,SBRN,BAYF,
114,,SBRN,HAYW,
120,,SBRN,SHAY,
129,,SBRN,UCTY,
136,,SBRN,FRMT,
114,,SBRN,CAST,
136,,SBRN,DUBL,
144,,SBRN,PITT,
134,,SBRN,NCON,
62,,SBRN,COLM,
130,,SBRN,CONC,
122,,SBRN,PHIL,
119,,SBRN,WCRK,
112,,SBRN,LAFY,
105,,SBRN,ORIN,
94,,SBRN,ROCK,
88,,SBRN,WOAK,
83,,SBRN,EMBR,
83,,SBRN,MONT,
83,,SBRN,POWL,
83,,SBRN,CIVC,
80,,SBRN,16TH,
78,,SBRN,24TH,
73,,SBRN,GLEN,
71,,SBRN,BALB,
62,,SBRN,DALY,
219,,SBRN,OAKL,
148,,SFIA,SSAN,
148,,SFIA,SBRN,
111,,SFIA,SFIA,
85,,SFIA,MLBR,
222,,SFIA,WDUB,
197,,SFIA,RICH,
193,,SFIA,DELN,
189,,SFIA,PLZA,
186,,SFIA,NBRK,
185,,SFIA,DBRK,
183,,SFIA,ASHB,
181,,SFIA,MCAR,
179,,SFIA,19TH,
179,,SFIA,12TH,
179,,SFIA,LAKE,
184,,SFIA,FTVL,
188,,SFIA,COLS,
193,,SFIA,SANL,
198,,SFIA,BAYF,
204,,SFIA,HAYW,
209,,SFIA,SHAY,
219,,SFIA,UCTY,
225,,SFIA,FRMT,
