service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
118-A-Weekday-50,1,1,1,1,1,0,0,20150819,20150821
118-A-Weekday-50-SDon,1,1,1,1,1,0,0,20150819,20150821
118-A-Weekday-50-SDon-1011100,1,0,1,1,1,0,0,20150819,20150821
118-A-Weekday-50-SDon-0100000,0,1,0,0,0,0,0,20150819,20150821
118-A-Saturday-50,0,0,0,0,0,1,0,20150822,20160109
118-A-Sunday-50,0,0,0,0,0,0,1,20150823,20160103
118-A-Weekday-51,1,1,1,1,1,0,0,20150824,20160108
118-A-Weekday-51-SDon,1,1,1,1,1,0,0,20150824,20160108
118-A-Weekday-51-SDon-1011100,1,0,1,1,1,0,0,20150824,20160108
118-A-Weekday-51-SDon-0100000,0,1,0,0,0,0,0,20150824,20160108
118-A-Weekday-51-SDon-1110100,1,1,1,0,1,0,0,20150824,20160108
118-A-Weekday-51-SDon-0001000,0,0,0,1,0,0,0,20150824,20160108
118-C-Weekday-50,1,1,1,1,1,0,0,20150819,20150821
118-C-Weekday-50-SDon,1,1,1,1,1,0,0,20150819,20150821
118-C-Weekday-50-SDon-1101100,1,1,0,1,1,0,0,20150819,20150821
118-C-Weekday-50-SDon-0010000,0,0,1,0,0,0,0,20150819,20150821
118-C-Saturday-50,0,0,0,0,0,1,0,20150822,20150822
118-C-Sunday-50,0,0,0,0,0,0,1,20150823,20160103
118-C-Weekday-51,1,1,1,1,1,0,0,20150824,20160108
118-C-Weekday-51-SDon,1,1,1,1,1,0,0,20150824,20160108
118-C-Weekday-51-SDon-1101100,1,1,0,1,1,0,0,20150824,20160108
118-C-Weekday-51-SDon-0010000,0,0,1,0,0,0,0,20150824,20160108
118-C-Weekday-51-SDon-1011100,1,0,1,1,1,0,0,20150824,20160108
118-C-Saturday-51,0,0,0,0,0,1,0,20150829,20160109
118-D-Weekday-50,1,1,1,1,1,0,0,20150819,20150821
118-D-Weekday-50-SDoff,1,1,1,1,1,0,0,20150819,20150821
118-D-Weekday-50-SDon,1,1,1,1,1,0,0,20150819,20150821
118-D-Weekday-50-SDon-0010000,0,0,1,0,0,0,0,20150819,20150821
118-D-Weekday-50-SDon-1101100,1,1,0,1,1,0,0,20150819,20150821
118-D-Weekday-50-SDon-0001000,0,0,0,1,0,0,0,20150819,20150821
118-D-Weekday-50-SDon-1110100,1,1,1,0,1,0,0,20150819,20150821
118-D-Weekday-50-SDon-1100100,1,1,0,0,1,0,0,20150819,20150821
118-D-Weekday-50-SDon-0100000,0,1,0,0,0,0,0,20150819,20150821
118-D-Weekday-50-SDon-1011100,1,0,1,1,1,0,0,20150819,20150821
118-D-Weekday-50-SDon-0011000,0,0,1,1,0,0,0,20150819,20150821
118-D-Saturday-50,0,0,0,0,0,1,0,20150822,20150822
118-D-Sunday-51,0,0,0,0,0,0,1,20150823,20160103
118-D-Weekday-51,1,1,1,1,1,0,0,20150824,20160108
118-D-Weekday-51-SDoff,1,1,1,1,1,0,0,20150824,20160108
118-D-Weekday-51-SDon,1,1,1,1,1,0,0,20150824,20160108
118-D-Weekday-51-SDon-0010000,0,0,1,0,0,0,0,20150824,20160108
118-D-Weekday-51-SDon-1101100,1,1,0,1,1,0,0,20150824,20160108
118-D-Weekday-51-SDon-0001000,0,0,0,1,0,0,0,20150824,20160108
118-D-Weekday-51-SDon-1110100,1,1,1,0,1,0,0,20150824,20160108
118-D-Weekday-51-SDon-1100100,1,1,0,0,1,0,0,20150824,20160108
118-D-Weekday-51-SDon-0011000,0,0,1,1,0,0,0,20150824,20160108
118-D-Weekday-51-SDon-0100000,0,1,0,0,0,0,0,20150824,20160108
118-D-Weekday-51-SDon-1011100,1,0,1,1,1,0,0,20150824,20160108
118-D-Saturday-51,0,0,0,0,0,1,0,20150829,20160109
118-S-Weekday-50,1,1,1,1,1,0,0,20150819,20160108
