route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
17-133,118-A-Weekday-50,8560862-118-A-Weekday-50,"Linda Mar Park & Ride",171016,0,,170256
17-133,118-A-Weekday-50,8560863-118-A-Weekday-50,"Linda Mar Park & Ride",171014,0,,170256
17-133,118-A-Weekday-50,8560864-118-A-Weekday-50,"Linda Mar Park & Ride",171010,0,,170256
17-133,118-A-Weekday-50,8560865-118-A-Weekday-50,"Linda Mar Park & Ride",171002,0,,170214
17-133,118-A-Weekday-50,8560866-118-A-Weekday-50,"Linda Mar Park & Ride",171006,0,,170257
17-133,118-A-Weekday-50-SDon,8560867-118-A-Weekday-50-SDon,"Linda Mar Park & Ride",171908,0,,170260
17-133,118-A-Weekday-50,8560868-118-A-Weekday-50,"Linda Mar Park & Ride",171018,0,,170256
17-133,118-A-Weekday-50,8560869-118-A-Weekday-50,"Linda Mar Park & Ride",171004,0,,170256
17-133,118-A-Weekday-50,8560870-118-A-Weekday-50,"Linda Mar Park & Ride",171026,0,,170332
17-133,118-A-Weekday-50,8560871-118-A-Weekday-50,"Linda Mar Park & Ride",171038,0,,170333
17-133,118-A-Weekday-50,8560872-118-A-Weekday-50,"Linda Mar Park & Ride",171040,0,,170332
17-133,118-A-Weekday-50,8560873-118-A-Weekday-50,"Linda Mar Park & Ride",171020,0,,170332
17-133,118-A-Weekday-50,8560874-118-A-Weekday-50,"Linda Mar Park & Ride",171034,0,,170332
17-133,118-A-Weekday-50,8560875-118-A-Weekday-50,"Moonridge Apts",171039,1,,170220
17-133,118-A-Weekday-50,8560876-118-A-Weekday-50,"Moonridge Apts",171043,1,,170220
17-133,118-A-Weekday-50,8560877-118-A-Weekday-50,"Pescadero",171037,1,,170221
17-133,118-A-Weekday-50,8560878-118-A-Weekday-50,"Moonridge Apts",171041,1,,170220
17-133,118-A-Weekday-50,8560879-118-A-Weekday-50,"Moonridge Apts",171023,1,,170220
17-133,118-A-Weekday-50,8560880-118-A-Weekday-50,"Moonridge Apts",171027,1,,170220
17-133,118-A-Weekday-50,8560881-118-A-Weekday-50,"Moonridge Apts",171033,1,,170220
17-133,118-A-Weekday-50,8560882-118-A-Weekday-50,"Moonridge Apts",171035,1,,170220
17-133,118-A-Weekday-50,8560883-118-A-Weekday-50,"Moonridge Apts",171025,1,,170220
17-133,118-A-Weekday-50-SDon,8560884-118-A-Weekday-50-SDon,"Moonridge Apts",171929,1,,170222
FLXS-133,118-A-Weekday-50,8560885-118-A-Weekday-50,"San Carlos a.m.",2211001,0,,FLXS0016
FLXS-133,118-A-Weekday-50,8560886-118-A-Weekday-50,"San Carlos a.m.",2211003,0,,FLXS0016
FLXS-133,118-A-Weekday-50,8560887-118-A-Weekday-50,"San Carlos a.m.",2211005,0,,FLXS0016
FLXS-133,118-A-Weekday-50,8560888-118-A-Weekday-50,"San Carlos a.m.",2211007,0,,FLXS0016
FLXS-133,118-A-Weekday-50,8560889-118-A-Weekday-50,"San Carlos p.m.",2211002,1,,FLXS0019
FLXS-133,118-A-Weekday-50,8560890-118-A-Weekday-50,"San Carlos p.m.",2211004,1,,FLXS0019
FLXS-133,118-A-Weekday-50,8560891-118-A-Weekday-50,"San Carlos p.m.",2211006,1,,FLXS0019
FLXS-133,118-A-Weekday-50,8560892-118-A-Weekday-50,"San Carlos p.m.",2211008,1,,FLXS0019
FLXS-133,118-A-Weekday-50,8560893-118-A-Weekday-50,"San Carlos p.m.",2211010,1,,FLXS0019
FLXP-133,118-A-Weekday-50,8560894-118-A-Weekday-50,"Pacifica",2201001,0,,FLXP0002
FLXP-133,118-A-Weekday-50,8560895-118-A-Weekday-50,"Pacifica",2201003,0,,FLXP0002
