route_id,route_short_name,route_long_name,route_desc,route_type,route_url
11-137,11,"Southgate/Lakeshire - Gateway/Hickey",,3,
14-137,14,"Linda Mar Circulator",,3,
16-137,16,"Serramonte Center - Terra Nova High",,3,
17-133,17,"Linda Mar Park & Ride - Pescadero",,3,
17-137,17,"Linda Mar Park & Ride - Pescadero",,3,
19-137,19,"Lacy School - Linda Mar Park & Ride",,3,
24-137,24,"Brisbane - Westmoor High",,3,
25-137,25,"Los Olivos/Santa Barbara - Ben Franklin School",,3,
28-137,28,"Serramonte Center - South City High",,3,
29-137,29,"Lipman School - Templeton/Brunswick",,3,
35-137,35,"El Camino High - Warwick/Christen",,3,
37-137,37,"Hillside/Grove - Alta Loma School",,3,
38-137,38,"Safe Harbor Shelter",,3,
39-137,39,"Alta Loma School - Hazelwood/Kenwood",,3,
43-137,43,"Murchison & Magnolia - San Bruno BART",,3,
46-137,46,"Burlingame School - Carolan (Burlingame Caltrain)",,3,
49-137,49,"Airport/San Bruno - Terra Nova High",,3,
53-137,53,"Peninsula/Humboldt - Borel MS",,3,
54-137,54,"Bowditch School - Hillsdale/Norfolk",,3,
55-137,55,"Clark/El Camino - Borel MS",,3,
57-137,57,"Edgewater/Beach Park - Hillsdale High",,3,
58-137,58,"Borel School - Polhemus/Paul Scannell",,3,
59-137,59,"Hillsdale/Norfolk - Aragon High",,3,
60-137,60,"Ralston School - Bridge/Bowsprit via Chula Vista",,3,
62-137,62,"Hillsdale - Alameda & Ralston",,3,
67-137,67,"Bridge/Bowsprit - Ralston School",,3,
68-137,68,"Hiller/Wessex - Ralston School",,3,
72-137,72,"Malborough/Dumbarton - Selby Lane School",,3,
73-137,73,"""G"" & Industrial - Clifford School",,3,
79-137,79,"Kennedy MS - Florence/17th",,3,
80-137,80,"Oak Knoll ES - Santa Cruz/Elder",,3,
82-137,82,"Bay/Marsh - Hillview School",,3,
83-137,83,"Bay/Menlo Oaks - Hillview School",,3,
84-137,84,"Middlefield/Lane - Hillview School",,3,
85-137,85,"Ormondale School - La Honda/Grandview",,3,
86-137,86,"Florence/17th - Indian Crossing/Alpine",,3,
87-137,87,"Woodside High - Portola Valley",,3,
88-137,88,"Bay/Marsh - Encinal School",,3,
89-137,89,"Encinal School - Santa Monica/San Andreas",,3,
95-137,95,"Redwood City Caltrain - Ralston/Alameda",,3,
110-137,110,"Daly City BART - Linda Mar Park & Ride",,3,
112-137,112,"Colma BART - Linda Mar Park & Ride",,3,
118-137,118,"Linda Mar Park & Ride - Colma BART",,3,
120-137,120,"Colma BART - Brunswick/Templeton",,3,
121-137,121,"Lowell/Hanover - Skyline College",,3,
122-137,122,"South SF BART - Stonestown/SF State",,3,
130-137,130,"Daly City BART - Colma BART",,3,
131-137,131,"Airport/Linden - Serramonte Center",,3,
133-137,133,"Airport/Linden - San Bruno BART",,3,
140-137,140,"Airtrain - West Manor/Palmetto",,3,
141-137,141,"San Bruno BART - Shelter Creek",,3,
250-137,250,"5th/El Camino - College of San Mateo",,3,
251-137,251,"Foster City - Hillsdale Mall",,3,
252-137,252,"Downtown San Mateo - North San Mateo Loop",,3,
256-137,256,"Foster City - Hillsdale Mall",,3,
260-137,260,"San Carlos Caltrain - College of San Mateo",,3,
261-137,261,"San Carlos Caltrain - Continentals/Lyall - Saturda",,3,
270-137,270,"Redwood City Caltrain - Florence/17th loop",,3,
273-137,273,"Cordilleras Ctr - Redwood City Transit Ctr",,3,
274-137,274,"Redwood City Transit Ctr - Canada College",,3,
275-137,275,"Redwood City Transit Ctr - Alameda/Woodside",,3,
276-137,276,"Redwood City Transit Ctr - Florence/17th",,3,
278-137,278,"Woodside/Alameda - Canada College - Saturday Only",,3,
280-137,280,"Purdue/Fordham - Stanford Mall",,3,
281-137,281,"Onetta Harris Ctr - Stanford Mall",,3,
286-137,286,"Ringwood/Arlington - Monte Rosa/Eastridge",,3,
292-137,292,"San Francisco - SFO - Hillsdale Mall",,3,
294-137,294,"SM Med Ctr - Hillsdale - CSM - Half Moon Bay",,3,
295-137,295,"San Mateo Caltrain - San Carlos Caltrain",,3,
296-137,296,"Redwood City Transit Cente - Bayshore/Donohoe",,3,
297-137,297,"Redwood City Transit Ctr - Palo Alto Transit Ctr",,3,
397-137,397,"San Francisco - Palo Alto Transit Ctr",,3,
398-137,398,"San Bruno BART - Redwood City Transit Ctr",,3,
ECR-137,ECR,"Daly City BART - Palo Alto Transit Ctr",,3,
FLXP-133,FLX,"Flex Route Pacifica",,3,
FLXP-137,FLX,"Flex Route Pacifica",,3,
FLXS-133,FLX,"San Carlos Flex Route",,3,
FLXS-137,FLX,"San Carlos Flex Route",,3,
KX-137,KX,"SF - SFO - Redwood City Transit Ctr EXPPRESS",,3,
SCS-137,SCS,"South SF Shuttle",,3,
