stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1-000,,AIRWAY PARK & RIDE,,37.697607,-121.800671,,,,,,
1-001,,MURRIETA & OLIVINA,,37.683326,-121.790903,,,,,,
1-002,,MURRIETA BLVD & PINE ST,,37.688216,-121.7908,,,,,,
1-003,,JACK LONDON & MURRIETA,,37.693459,-121.788315,,,,,,
1-004,,MURRIETA BLVD & PORTOLA AVE,,37.694695,-121.784947,,,,,,
1-005,,AIRWAY BLVD & PORTOLA AVE,,37.697141,-121.786338,,,,,,
1-006,,AIRWAY BLVD & SUTTER ST,,37.699287,-121.789642,,,,,,
1-007,,RUTAN CT & RICKENBACKER PL,,37.692003,-121.8005,,,,,,
1-010,,KITTYHAWK & ARMSTRONG,,37.700557,-121.812493,,,,,,
1-011,,KITTYHAWK & ARMSTRONG,,37.700605,-121.81531,,,,,,
1-012,,KITTYHAWK RD & AIRWAY BLVD,,37.700027,-121.817166,,,,,,
1-014,,NORTH CANYON PLWY & CONSTITUTION DR,,37.704568,-121.816848,,,,,,
1-015,,NORTH CANYON PKWY & INDEPENDENCE DR,,37.704232,-121.811157,,,,,,
1-016,,NORTH CANYON PKWY & TRIAD DR,,37.705753,-121.807685,,,,,,
1-017,,LAS POSITAS COLLEGE,,37.710383,-121.799763,,,,,,
1-018,,NORTH CANYON PKWY & TRIAD DR,,37.704971,-121.809999,,,,,,
1-019,,NORTH CANYON PKWY & INDEPENDENCE  DR,,37.704091,-121.813047,,,,,,
1-020,,NORTH CANYON PKWY & CONSTITUTION DR,,37.704436,-121.817936,,,,,,
1-022,,KITTYHAWK RD& AIRWAY BLVD,,37.699831,-121.817143,,,,,,
1-023,,KITTYHAWK & ARMSTRONG,,37.700586,-121.814336,,,,,,
1-024,,KITTYHAWK RD & FORD DEALER,,37.700392,-121.808875,,,,,,
1-026,,RUTAN DR & RICKENBACKER PL,,37.691985,-121.800477,,,,,,
1-027,,AIRWAY BLVD & SUTTER ST,,37.700203,-121.793819,,,,,,
1-028,,AIRWAY BLVD & VIA MATEO,,37.698027,-121.787687,,,,,,
1-029,,AIRWAY BLVD & PORTOLA AVE,,37.696364,-121.785263,,,,,,
1-030,,MURRIETA BLVD & PORTOLA AVE,,37.695114,-121.784694,,,,,,
1-031,,MURRIETA BLVD & DEL NORTE DR,,37.693833,-121.787593,,,,,,
1-032,,MURRIETA BLVD & PINE ST,,37.687868,-121.790973,,,,,,
1-033,,MURRIETA BLVD & OLIVINA AVE,,37.682318,-121.791065,,,,,,
1-034,,CHESTNUT ST & M ST,,37.684399,-121.773912,,,,,,
