route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1,LAVTA,1,E. BART - E. Dublin - E. Bart,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2155,9999FF,FFFFFF
2,LAVTA,2,E. BART - Dublin Ranch - E. BART,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3219,FFFF00,000000
3,LAVTA,3,E. BART - Mall - West Dublin - E. BART,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3582,3399FF,FFFFFF
8A,LAVTA,8A,BART - Downtown -  BART via Hopyard,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3581,CC0066,FFFFFF
8B,LAVTA,8B,BART - Downtown -  BART via Santa Rita,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3581,FF00FF,FFFFFF
9,LAVTA,9,BART - California Center - Hacienda - BART,,3,http://www.lavta.org/Modules/ShowDocument.aspx?documentID=3218,33FF99,000000
10,LAVTA,10,E. BART - Pleasanton - Livermore,,3,http://www.lavta.org/Modules/ShowDocument.aspx?documentID=3217,FF0000,FFFFFF
11,LAVTA,11,Livermore Transit Center - Greenville  - Livermore Transit Center,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3215,FFCC00,000000
12,LAVTA,12,Livermore Transit Center - E. BART via College,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3216,0000FF,FFFFFF
12X,LAVTA,12X,Livermore Transit Center - E. BART via Kittyhawk,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3580,0000FF,FFFFFF
14,LAVTA,14,Livermore Transit Center - Downtown  - Livermore Transit Center,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2676,CCCC99,000000
15,LAVTA,15,Livermore Livermore Transit Center - Springtown - Livermore Livermore Transit Center,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3579,00FFFF,FFFFFF
20,LAVTA,20,E. BART - Vasco Road - Livermore Transit Center,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=1694,00CCFF,FFFFFF
RAPID,LAVTA,RAPID,Livermore - BART -  Mall,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3211,00CC00,FFFFFF
51,LAVTA,51,Livermore Transit Center - Civic Center,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2673,6600FF,FFFFFF
53,LAVTA,53,Pleasanton ACE Station - W.BART,,3,http://www.wheelsbus.com/Modules/ShowDocument.aspx?documentID=2672,3366CC,FFFFFF
54,LAVTA,54,Pleasanton ACE Station - Hacienda Business Park - E. BART,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3578,663300,FFFFFF
70X,LAVTA,70X,E BART - Pleasant Hill BART,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3213,336600,FFFFFF
70XV,LAVTA,70XV,Pleasant Hill BART - West Pleasanton BART,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=1690,336600,FFFFFF
401,LAVTA,401,Big Trees Park Area - Livermore Transit Center,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2668,FFCC33,000000
402,LAVTA,402,Airway Park & Ride - Junction Middle School,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2667,FFCC33,000000
403,LAVTA,403,Livermore Transit Center - Granada High - Livermore Transit Center,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3590,FFCC33,000000
501,LAVTA,501,E. Dublin -Village Parkway- Dublin High,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3589,FFCC33,000000
502,LAVTA,502,Dublin Ranch Village - Village Parkway- Dublin High,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2664,FFCC33,000000
503,LAVTA,503,West BART - Dublin High School - E. BART,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2663,FFCC33,000000
601,LAVTA,601,Ruby Hill - Pleasanton Middle - Case Avenue,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2662,FFCC33,000000
602,LAVTA,602,Del Prado Park - Hopyard - Foothill High,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3588,FFCC33,000000
603,LAVTA,603,Muirwood Park - Hart Middle School - Muirwood Park,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2660,FFCC33,000000
604,LAVTA,604,Fairlands - W. Las Positas -  Foothill High,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3587,FFCC33,000000
605,LAVTA,605,Fairlands - Santa Rita - Amador Valley High,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=3212,FFCC33,000000
606,LAVTA,606,Vintage Hills - Pleasanton Middle School - Vintage Hills,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2657,FFCC33,000000
607,LAVTA,607,Laguna Oaks - W. Las Positas - Hart Middle,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2656,FFCC33,000000
608,LAVTA,608,Kamp Drive - Santa Rita -Harvest Park Middle,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2655,FFCC33,000000
609,LAVTA,609,Del Prado - Hart Middle School,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2654,FFCC33,000000
610,LAVTA,610,Fairlands - W. Las Positas - Hart Middle,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2653,FFCC33,000000
611,LAVTA,611,Ruby Hill - Vintage Hills - Vineyard - Amador Valley High,,3,http://wheelsbus.com/modules/showdocument.aspx?documentid=2652,FFCC33,000000
