route_id,direction_id,direction_name
3205,0,Northbound
980,0,Northbound
193,0,No direction
979,0,Northbound
259,0,Westbound
975,0,Northbound
977,0,Westbound
973,0,Northbound
976,0,Westbound
190,0,Westbound
974,0,Westbound
978,0,Westbound
2720,0,Westbound
196,0,Westbound
3204,1,Southbound
980,1,Southbound
979,1,Southbound
259,1,Eastbound
975,1,Southbound
977,1,Eastbound
973,1,Southbound
976,1,Eastbound
3202,1,Southbound
190,1,Eastbound
974,1,Eastbound
978,1,Eastbound
2720,1,Eastbound
196,1,Eastbound
