fare_id,price,currency_type,payment_method,transfers,transfer_duration
200927,32.00,USD,1,,
200928,32.00,USD,1,,
200929,35.00,USD,1,,
200930,39.00,USD,1,,
200931,39.00,USD,1,,
200932,42.00,USD,1,,
200933,43.00,USD,1,,
200934,11.00,USD,1,,
200935,14.00,USD,1,,
200936,20.00,USD,1,,
200937,27.00,USD,1,,
200938,31.00,USD,1,,
200939,31.00,USD,1,,
200940,32.00,USD,1,,
200941,36.00,USD,1,,
200942,32.00,USD,1,,
200943,32.00,USD,1,,
200944,35.00,USD,1,,
200945,39.00,USD,1,,
200946,39.00,USD,1,,
200947,42.00,USD,1,,
200948,43.00,USD,1,,
200949,9.00,USD,1,,
200950,16.00,USD,1,,
200951,19.00,USD,1,,
200952,27.00,USD,1,,
200953,29.00,USD,1,,
200954,29.00,USD,1,,
200955,33.00,USD,1,,
200956,29.00,USD,1,,
200957,29.00,USD,1,,
200958,31.00,USD,1,,
200959,35.00,USD,1,,
200960,35.00,USD,1,,
200961,37.00,USD,1,,
200962,40.00,USD,1,,
200963,9.00,USD,1,,
200964,16.00,USD,1,,
200965,19.00,USD,1,,
200966,27.00,USD,1,,
200967,29.00,USD,1,,
200968,29.00,USD,1,,
200969,33.00,USD,1,,
200970,29.00,USD,1,,
200971,29.00,USD,1,,
200972,31.00,USD,1,,
200973,35.00,USD,1,,
200974,35.00,USD,1,,
200975,37.00,USD,1,,
200976,40.00,USD,1,,
200977,14.00,USD,1,,
200978,16.00,USD,1,,
200979,23.00,USD,1,,
200980,24.00,USD,1,,
200981,27.00,USD,1,,
200982,31.00,USD,1,,
200983,27.00,USD,1,,
200984,27.00,USD,1,,
200985,29.00,USD,1,,
200986,31.00,USD,1,,
200987,35.00,USD,1,,
200988,35.00,USD,1,,
200989,35.00,USD,1,,
200990,14.00,USD,1,,
200991,16.00,USD,1,,
200992,23.00,USD,1,,
200993,24.00,USD,1,,
200994,27.00,USD,1,,
200995,31.00,USD,1,,
200996,27.00,USD,1,,
200997,27.00,USD,1,,
200998,29.00,USD,1,,
