stop_id,stop_name,stop_lat,stop_lon,zone_id
ARN,Auburn-Conheim,38.903831,-121.082922,56130
BKY,Berkeley,37.867439,-122.300908,56138
DAV,Davis,38.543494,-121.737758,56134
EMY,Emeryville,37.840423,-122.291808,56139
FMT,Fremont,37.559142,-122.007382,56143
GAC,Great America-Santa Clara,37.406877,-121.967132,56144
HAY,Hayward,37.665962,-122.099321,56142
MTZ,Martinez,38.019079,-122.13883,56136
OAC,Oakland Coliseum,37.752481,-122.198218,56141
OKJ,Oakland Jack London,37.793715,-122.271521,56140
RIC,Richmond,37.936766,-122.353896,56137
RLN,Rocklin,38.791051,-121.237397,56131
RSV,Roseville,38.749959,-121.286271,56132
SAC,Sacramento,38.584004,-121.500699,56133
SJC,San Jose,37.329935,-121.902496,56146
SFC,SF Transbay Temp Terminal,37.789337,-122.392478,56147
SUI,Suisun-Fairfield,38.243446,-122.041192,56135
SCC,University-Santa Clara,37.353218,-121.936453,56145
