service_id,date,exception_type
1508FA-D2-Sunday-01,20150907,1
1508FA-D2-Sunday-01,20151126,1
1508FA-D2-Sunday-01 -1,20150906,1
1508FA-D2-Sunday-01 -1,20151125,1
1508FA-D2-Weekday-01,20150907,2
1508FA-D2-Weekday-01,20151126,2
1508FA-D2-Weekday-01-0000100,20150907,2
1508FA-D2-Weekday-01-0000100,20151126,2
1508FA-D4-Sunday-01,20150907,1
1508FA-D4-Sunday-01,20151126,1
1508FA-D4-Weekday-04,20150907,2
1508FA-D4-Weekday-04,20151126,2
1508FA-D4-Weekday-04-0101000,20150907,2
1508FA-D4-Weekday-04-0101000,20151126,2
1508FA-D4-Weekday-04-1010100,20150907,2
1508FA-D4-Weekday-04-1010100,20151126,2
1508FA-D6-Sunday-03,20150907,1
1508FA-D6-Sunday-03,20151126,1
1508FA-D6-Sunday-03 -1,20150906,1
1508FA-D6-Sunday-03 -1,20151125,1
1508FA-D6-Weekday-02,20150907,2
1508FA-D6-Weekday-02,20151126,2
1508FA-D6-Weekday-02 -1,20150906,2
1508FA-D6-Weekday-02 -1,20151125,2
1508FA-DBDB1-Weekday-01,20150907,2
1508FA-DBDB1-Weekday-01,20151126,2
