service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1508FA-D2-Saturday-02,0,0,0,0,0,1,0,20150829,20151219
1508FA-D2-Saturday-02 -1,0,0,0,0,1,0,0,20150828,20151218
1508FA-D2-Sunday-01,0,0,0,0,0,0,1,20150823,20151213
1508FA-D2-Sunday-01 -1,0,0,0,0,0,1,0,20150822,20151212
1508FA-D2-Weekday-01,1,1,1,1,1,0,0,20150824,20151218
1508FA-D2-Weekday-01-0000100,0,0,0,0,1,0,0,20150824,20151218
1508FA-D4-Saturday-03,0,0,0,0,0,1,0,20150829,20151219
1508FA-D4-Sunday-01,0,0,0,0,0,0,1,20150823,20151213
1508FA-D4-Weekday-04,1,1,1,1,1,0,0,20150824,20151218
1508FA-D4-Weekday-04-0101000,0,1,0,1,0,0,0,20150824,20151218
1508FA-D4-Weekday-04-1010100,1,0,1,0,1,0,0,20150824,20151218
1508FA-D6-Saturday-04,0,0,0,0,0,1,0,20150829,20151219
1508FA-D6-Saturday-04 -1,0,0,0,0,1,0,0,20150828,20151218
1508FA-D6-Sunday-03,0,0,0,0,0,0,1,20150823,20151213
1508FA-D6-Sunday-03 -1,0,0,0,0,0,1,0,20150822,20151212
1508FA-D6-Weekday-02,1,1,1,1,1,0,0,20150824,20151218
1508FA-D6-Weekday-02 -1,1,1,1,1,0,0,1,20150823,20151217
1508FA-DBDB1-Weekday-01,1,1,1,1,1,0,0,20150824,20151218
