route_id,trip_id,service_id,trip_headsign,direction_id,block_id,shape_id
G-118,4149260-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,G SAN FRANCISCO,1,601820,G0073
G-118,4149261-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,G SAN FRANCISCO,1,601804,G0073
LA-118,4149262-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,LA HILLTOP P & R,0,601870,LA0105
LA-118,4149263-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,LA HILLTOP GREEN,0,601799,LA0106
LA-118,4149264-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,LA HILLTOP P & R,0,601873,LA0105
LA-118,4149265-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,LA HILLTOP GREEN,0,601869,LA0106
LA-118,4149266-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,LA HILLTOP GREEN,0,601868,LA0106
LA-118,4149267-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,LA HILLTOP P & R,0,601818,LA0105
LA-118,4149268-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,LA HILLTOP GREEN,0,601799,LA0106
LA-118,4149269-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,LA HILLTOP P & R,0,601809,LA0105
LA-118,4149270-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,LA SAN FRANCISCO,1,601827,LA0107
LA-118,4149271-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,LA SAN FRANCISCO,1,601827,LA0101
Z-118,4149272-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,Z WEST BERKELEY,0,601804,Z0044
Z-118,4149273-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,Z SAN FRANCISCO,1,601825,Z0048
12-118,4149277-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,12 BERKELEY BART,0,601759,120044
12-118,4149278-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,12 BERKELEY BART,0,601754,120044
12-118,4149279-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,12 BERKELEY BART,0,601758,120044
12-118,4149280-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,12 BERKELEY BART,0,601755,120044
12-118,4149281-1508FA-D2-Weekday-01,1508FA-D2-Weekday-01,12 BERKELEY BART,0,601756,120044
