agency_id,route_id,route_short_name,route_long_name,route_type
AC Transit,1-118,1,Bayfair Bart- Dtn. Berkeley,3
AC Transit,11-118,11,Piedmont - Fruitvale Ave.,3
AC Transit,12-118,12,Dtn. Oakland /Dtn. Berkeley,3
AC Transit,14-118,14,11th Jefferson - Fruitvale Bart,3
AC Transit,18-118,18,San Pablo & Monroe - Moraga & Mountain,3
AC Transit,1R-118,1R,Univ/Calif - BYBA,3
AC Transit,20-118,20,Fruitvale ave - Alameda - 11th Jefferson,3
AC Transit,200-118,200,Union City BART-Newpark Mall-Fremont BART,3
AC Transit,21-118,21,Fruitvale ave - Alameda - Oakland Airport,3
AC Transit,210-118,210,Union Landing - Frmt. Blvd. - Ohlone,3
AC Transit,212-118,212,Fremont BART-Newpark Mall-Pacific Commons,3
AC Transit,215-118,215,Fremont BART-Mission-Warm Springs-Industrial Area,3
AC Transit,216-118,216,U.C. BART- Niles -Fremont BART-Ohlone Newark,3
AC Transit,217-118,217,Frmt BART - Mission - Milpitas - Alder,3
AC Transit,22-118,22,Hayward Bart -South Hayward Bart - Chabot,3
AC Transit,232-118,232,Fremont BART-U.C. BART-Mission-Ohlone Newark,3
AC Transit,239-118,239,Fremont BART-Warm Springs,3
AC Transit,25-118,25,El Cerrito BART-Cntr & Shatt-UC Village,3
AC Transit,251-118,251,Fremont BART-Mowry-Thornton,3
AC Transit,26-118,26,Emeryville/14th Bdwy/lLakeshore,3
AC Transit,275-118,275,U.C.BART- Thornton- Lido Faire,3
AC Transit,31-118,31,Alameda Point/ W. Oakland/MACA BART,3
AC Transit,314-118,314,Alameda Senior Shuttle,3
AC Transit,32-118,32,Hayward Bart-C.V. Bart-Hwd. Bart-Cherryland,3
AC Transit,339-118,339,Fruitvale Bart - Chabot Observatory,3
AC Transit,356-118,356,Alameda Senior Shuttle,3
AC Transit,37-118,37,HWD. BART-WHITMAN-SO. HWD. BART,3
AC Transit,376-118,376,North Richmond Shuttle,3
AC Transit,386-118,386,Hayw. BART -  Winton (SS ONLY),3
AC Transit,39-118,39,Fruitvale Bart - Skyline High School,3
AC Transit,40-118,40,Dtn. Oakland - Bayfair Bart,3
AC Transit,45-118,45,Eastmont T. C. - Foothill Sq.,3
AC Transit,46-118,46,Coliseum Bart - Knowland Zoo,3
AC Transit,46L-118,46L,Coliseum BART-Mountain -Golf Links Rd-Dunkirk Ave,3
AC Transit,47-118,47,Fruitvale Bart - Maxwell Park,3
AC Transit,48-118,48,Bayfair BART- Castro Valley- Hayward bart,3
AC Transit,49-118,49,Rockridge Bart / Dwight S.P.,3
AC Transit,51A-118,51A,RockRidge to FBBA,3
AC Transit,51B-118,51B,RockRidge - 3RUN,3
AC Transit,52-118,52,U.C. Village - U.C. Campus,3
AC Transit,54-118,54,Fruitvale BART - Merritt College,3
AC Transit,57-118,57,San Pablo Ave to Foothill Sq,3
AC Transit,58L-118,58L,Eastmont T.C. - Oakland Amtrak,3
AC Transit,60-118,60,CSUEB / HAYWARD BART SHUTTLE,3
AC Transit,604-118,604,Berkeley - Oakland - H.Royce School,3
AC Transit,605-118,605,Berkeley - Oakland - H.Royce School,3
AC Transit,606-118,606,Berkeley - Oakland - H.Royce School,3
AC Transit,607-118,607,Richmond H.S. - Point Richmond,3
AC Transit,618-118,618,Montera J.H.S. - Skyline High School,3
AC Transit,62-118,62,West  Oakland - Fruitvale Bart,3
AC Transit,620-118,620,Cedar Blvd.,3
AC Transit,621-118,621,Fremont - American H.S.,3
AC Transit,623-118,623,Horner JH - P. Padre Pkwy & Mission,3
AC Transit,624-118,624,Paseo Padre - Mission S.J. High School,3
AC Transit,625-118,625,Centerville JHS - Niles & El Portal,3
AC Transit,626-118,626,Newark Blvd.,3
AC Transit,628-118,628,Cedar Blvd.,3
AC Transit,629-118,629,Cherry St.,3
AC Transit,631-118,631,Alameda - Encinal High School,3
AC Transit,638-118,638,73rd International Blvd - Skyline High,3
AC Transit,641-118,641,Fremont High- Frick Middle - 106th Bancroft,3
AC Transit,642-118,642,Montclair/Montera,3
AC Transit,643-118,643,Skyline High - Fruitvale & Montana,3
AC Transit,646-118,646,Montera -Skyline High- Coliseum Bart,3
AC Transit,648-118,648,Fruitvale Bart - Skyline High,3
AC Transit,649-118,649,Skyline High - Grass Valley,3
AC Transit,65-118,65,Spruce St. - Euclid Ave.,3
AC Transit,650-118,650,Skyline High - Montera Middle School,3
AC Transit,651-118,651,Holy Names,3
AC Transit,652-118,652,Skyline High - 90th. & International Blvd,3
AC Transit,653-118,653,Montera J.H.S. - Skyline High School,3
AC Transit,654-118,654,Fruitvale Bart - Skyline High,3
AC Transit,655-118,655,Fruitvale Bart - Montera Middle School,3
AC Transit,657-118,657,Oakland Tech. High - Coliseum Bart,3
AC Transit,658-118,658,East Oakland - Skyline,3
AC Transit,660-118,660,Montera Jr. High School,3
AC Transit,662-118,662,Skyline High School,3
AC Transit,663-118,663,Ferry Term. - Island High - Broadway Blanding,3
AC Transit,667-118,667,N.Richmond - Rich. BART - El Cerrito,3
AC Transit,668-118,668,21st & Macdonald Ave. - El Cerrito,3
AC Transit,669-118,669,CCC - DeAnza HS/Crespi MS,3
AC Transit,67-118,67,Berkeley Bart - Grizzly Peak Blvd.,3
AC Transit,671-118,671,CCC - De Anza HS/Crespi MS,3
AC Transit,672-118,672,N.Richmond - San Pablo - El Sobrante,3
AC Transit,675-118,675,21st & Macdonald Ave. - El Cerrito,3
AC Transit,676-118,676,N.Richmond - San Pablo - El Sobrante,3
AC Transit,679-118,679,Crespi MS & DeAnza High Schools,3
AC Transit,680-118,680,E. Oakland - Bishop O'Dowd H.S.,3
AC Transit,681-118,681,Rich Pkwy & W.Macd - DeJean M.S.,3
AC Transit,682-118,682,E. Oakland - Bishop O'Dowd H.S.,3
AC Transit,684-118,684,Rich. BART /El Cerrito HS,3
AC Transit,687-118,687,Bay Farm Is. / Lincoln Middle Sch.,3
AC Transit,688-118,688,ST. MARYS HIGH SCHOOL,3
AC Transit,696-118,696,Oakland Tech H.S./Skyline/Redwood,3
AC Transit,7-118,7,D.NORTE BART/BERKELEY BART,3
AC Transit,70-118,70,Richmond Pkwy. TC. - Richmond BART,3
