stop_id,stop_name,stop_lat,stop_lon,stop_code,location_type,parent_station
1021100,W MacArthur Blvd:Martin Luther King Jr Way,37.827279,-122.268868,56117,,
1021110,W MacArthur Blvd:Moss Av,37.821282,-122.254401,54822,,
1021130,W MacArthur Blvd:Piedmont Av,37.823215,-122.256381,57977,,
1021140,Wala Vista Av:#702,37.814558,-122.234959,51018,,
1021150,Wala Vista Av:Arimo Av (East Jctn),37.814594,-122.232898,51865,,
1021160,Wala Vista Av:Lake Shore Av,37.815000,-122.237792,57754,,
1021170,5th St:Washington St,37.798624,-122.276501,50466,,
1021180,West Oakland BART Station,37.804658,-122.295110,52417,,place_WOBA
1021190,West Oakland BART Station,37.804699,-122.295286,53553,,place_WOBA
1021240,Wood St:12th St,37.812027,-122.298940,58680,,
1030020,Thomas L Berkley Way (20th St):Telegragh Av,37.809432,-122.269009,55558,,
1030040,Mlk Jr Way:40th St,37.829450,-122.268628,58788,,
1030050,40th St:Mlk Jr Way,37.829572,-122.267891,59566,,
1030060,San Pablo Av:Market St,37.819684,-122.276370,59996,,
1030080,San Pablo Av:30th St,37.821247,-122.276583,56644,,
1030090,San Pablo Av:Stanford Av,37.841426,-122.283082,55335,,
1030120,14th St:Willow St,37.812679,-122.296400,50128,,
1030140,14th St:Willow St,37.812442,-122.296294,59188,,
1030150,14thst:Center St,37.810996,-122.292714,52825,,
1030170,Peralta St:12th St,37.809877,-122.295039,54535,,
1030180,Peralta St:17th St,37.813288,-122.292315,58122,,
1030190,Peralta St:24th St,37.818229,-122.288372,50280,,
1030200,Peralta St:28th St,37.821050,-122.286116,52459,,
1030210,Peralta St:Louise St,37.823215,-122.284384,52128,,
1030220,Peralta St:Louise St,37.823562,-122.284342,59288,,
1030230,Peralta St:28th St,37.820914,-122.286441,54229,,
1030250,Mandella Pkwy:W Grand Av,37.817222,-122.289669,54419,,
