route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
UCT1,WD,1001,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1002,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1005,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1009,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1013,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1019,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1023,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1030,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1038,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1045,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1052,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1059,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1066,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1073,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1080,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1082,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1091,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1095,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1101,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1105,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1112,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1115,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1121,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1124,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1130,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT1,WD,1132,UCB & Dyer - UC BART,,0,,UCT1_SHP,1,1
UCT2S,WD,1003,Kaiser - UC BART as Route 2,,0,,UCT2S_SHP,1,1
UCT2,WD,1007,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2S,WD,1010,Kaiser - UC BART as Route 2,,0,,UCT2S_SHP,1,1
UCT2,WD,1017,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2S,WD,1021,Kaiser - UC BART as Route 2,,0,,UCT2S_SHP,1,1
UCT2,WD,1027,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2S,WD,1031,Kaiser - UC BART as Route 2,,0,,UCT2S_SHP,1,1
UCT2,WD,1036,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2,WD,1043,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2,WD,1050,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2,WD,1057,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2,WD,1064,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2,WD,1071,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2,WD,1078,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2S,WD,1081,Kaiser - UC BART as Route 2,,0,,UCT2S_SHP,1,1
UCT2,WD,1089,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2S,WD,1092,Kaiser - UC BART as Route 2,,0,,UCT2S_SHP,1,1
UCT2,WD,1099,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2S,WD,1103,Kaiser - UC BART as Route 2,,0,,UCT2S_SHP,1,1
UCT2,WD,1109,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2,WD,1113,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2,WD,1122,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT2,WD,1129,Kaiser - UC BART as Route 8,,0,,UCT2_SHP,1,1
UCT3,WD,1014,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1024,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1033,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1040,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1047,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1054,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1061,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1068,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1075,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1085,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1096,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1106,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1117,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT3,WD,1125,Union Landing - UC BART as Route 4,,0,,UCT3_SHP,1,1
UCT4,WD,1016,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1026,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1035,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1042,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1049,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1056,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1063,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1070,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1077,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1087,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1098,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1108,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1119,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT4,WD,1127,Union Landing - UC BART as Route 3,,0,,UCT4_SHP,1,1
UCT5,WD,1004,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1008,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1011,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1018,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1022,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1028,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1032,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1037,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1039,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1046,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1053,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1060,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1067,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1074,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1083,UCB & Dyer - Union Landing,,0,,UCT5_SHP,1,1
UCT5,WD,1090,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1093,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1100,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
UCT5,WD,1104,UCB & Dyer - UC BART,,0,,UCT5_SHP,1,1
