stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1,79001,Union City BART Station,Terminal,37.590588,-122.017616,,,,,,1
2,79002,Union Square Mid-Block,Mid-Block,37.587308,-122.017098,,,,,,1
3,79003,Alvarado-Niles Rd & Decoto Rd,Nearside,37.587027,-122.020447,,,,,,1
4,79004,Alvarado-Niles Rd & Meyers Dr,Far Side,37.588215,-122.024424,,,,,,1
5,79005,Alvarado-Niles Rd & H St,Far Side,37.589285,-122.028333,,,,,,1
6,79006,Alvarado-Niles Rd & Hartnell St,Far Side,37.58988,-122.03044,,,,,,1
7,79007,Alvarado-Niles Rd & Western Ave,Far Side,37.591333,-122.035591,,,,,,1
8,79008,Alvarado-Niles Rd & Central Ave,Nearside,37.592257557,-122.039042936,,,,,,1
9,79009,Alvarado-Niles Rd & Dowe St,Far Side,37.593579,-122.044221,,,,,,1
10,79010,Alvarado-Niles Rd & Hop Ranch Rd,Far Side,37.594574,-122.047632,,,,,,1
11,79011,Alvarado-Niles Rd & Medallion Ave,Far Side,37.595721,-122.051912,,,,,,1
12,79012,Alvarado-Niles Rd & Almaden Bl,Nearside,37.596525,-122.054739,,,,,,1
13,79013,Union Landing Transit Center,Terminal,37.598792,-122.065656,,,,,,1
14,79014,Dyer St & San Carlos Ave,Far Side,37.59583,-122.070812,,,,,,1
15,79015,Dyer St & Santa Susana Wy,Nearside,37.593124,-122.069137,,,,,,1
16,79016,Dyer St & Alvarado Bl,Far Side,37.589460355,-122.070139005,,,,,,1
17,79017,Dyer St & Cabello St,Nearside,37.58724,-122.072054,,,,,,1
18,79018,Meteor Dr & Galaxy Dr,Far Side,37.585133,-122.069696,,,,,,1
19,79019,Meteor Dr & Chippendale Dr,Far Side,37.583357,-122.066396,,,,,,1
20,79020,Delores Dr & Muirwood Dr,Far Side,37.581242,-122.066805,,,,,,1
21,79021,Delores Dr & Laura Wy,Nearside,37.579608698,-122.068324281,,,,,,1
22,79022,Delores Dr & Deborah Dr,Far Side,37.577298,-122.070342,,,,,,1
23,79023,Delores Dr & Jean Dr,Nearside,37.575766,-122.072166,,,,,,1
24,79024,Jean Dr & Dinuba St,Nearside,37.574637034,-122.071746516,,,,,,1
25,79025,Jean Dr & Blythe St,Far Side,37.573846,-122.070154,,,,,,1
26,79026,Regents Bl & Rocklin Dr,Nearside,37.573035,-122.068778,,,,,,1
27,79027,Rocklin Dr & Danville Ave,Nearside,37.57244,-122.069078,,,,,,1
28,79028,Rocklin Dr & Antioch Loop,Far Side,37.570478,-122.071712,,,,,,1
29,79029,Rocklin Dr & Anaheim Loop,Far Side,37.569045,-122.072226,,,,,,1
30,79030,Union City Bl & Rocklin Dr,Far Side,37.568491,-122.073145,,,,,,1
31,79031,Union City Bl & Bay Colony Dr,Far Side,37.572965303,-122.078237488,,,,,,1
32,79032,Union City Bl & Rose Dr,Far Side,37.575727216,-122.079702875,,,,,,1
33,79033,Dyer St & Union City Bl,Far Side,37.577914,-122.080032,,,,,,1
34,79034,Dyer St & Jean Dr,Far Side,37.580267,-122.077817,,,,,,1
35,79035,Dyer St & Deborah Dr,Far Side,37.582395,-122.07596,,,,,,1
36,79036,Dyer St & Regents Bl,Nearside,37.583863,-122.074675,,,,,,1
37,79037,Dyer St & Meteor Dr,Far Side,37.586888821,-122.071999362,,,,,,1
38,79038,Dyer St Mid-Block,Nearside,37.588665,-122.070516,,,,,,1
39,79039,Dyer St & Alvarado Bl,Far Side,37.59035,-122.069053,,,,,,1
40,79040,Dyer St & Santa Susana Wy,Nearside,37.592801,-122.068722,,,,,,1
41,79041,Dyer St & Alvarado-Niles Rd,Nearside,37.596591,-122.070865,,,,,,1
42,79042,Alvarado-Niles Rd & Santa Maria Ave,Far Side,37.59805,-122.065844,,,,,,1
43,79043,Alvarado-Niles Rd & Almaden Bl,Far Side,37.596175,-122.054426,,,,,,1
44,79044,Alvarado-Niles Rd & Medallion Ave,Far Side,37.595327,-122.051283,,,,,,1
45,79045,Alvarado-Niles Rd & Hop Ranch Rd,Nearside,37.594313,-122.047648,,,,,,1
46,79046,Alvarado-Niles Rd & Dowe St,Nearside,37.593379,-122.044167,,,,,,1
47,79047,Alvarado-Niles Rd & Central Ave,Far Side,37.591927,-122.039136,,,,,,1
48,79048,Alvarado-Niles Rd & Western Ave,Nearside,37.590739,-122.034801,,,,,,1
49,79049,Alvarado-Niles Rd & Hartnell St,Far Side,37.589221,-122.029307,,,,,,1
50,79050,Alvarado-Niles Rd & Royal Ann Dr,Far Side,37.588737,-122.027421,,,,,,1
51,79051,Alvarado-Niles Rd & Nidus Dr,Far Side,37.587781,-122.023841,,,,,,1
52,79052,Decoto Rd & Alvarado-Niles Rd,Far Side,37.588095,-122.021178,,,,,,1
53,79053,Decoto Rd & Union Square,Far Side,37.590862981,-122.020136388,,,,,,1
54,79054,Union Square & BART Way,Far Side,37.589944854,-122.018861849,,,,,,1
55,79055,11th St & Decoto Rd,Far Side,37.593900738,-122.019569456,,,,,,1
56,79056,H St & 10th St,Nearside,37.596833581,-122.022046422,,,,,,1
57,79057,9th St & G St,Nearside,37.599004763,-122.021381519,,,,,,1
58,79058,9th St & E St,Nearside,37.600839254,-122.023522355,,,,,,1
59,79059,E St & 6th St,Nearside,37.60220097,-122.02178222,,,,,,1
60,79060,6th St & C St,Far Side,37.604474,-122.024182,,,,,,1
61,79061,Whipple Rd & Barnard White,Far Side,37.605996,-122.027914,,,,,,1
62,79062,Whipple Rd & Ithaca St,Far Side,37.606067182,-122.030470465,,,,,,1
63,79063,Whipple Rd & Central Ave,Far Side,37.606069,-122.038562,,,,,,1
64,79064,Whipple Rd & Hayman Ave,Far Side,37.60612,-122.045771,,,,,,1
65,79065,Whipple Rd & Medallion Ave,Far Side,37.606178,-122.052106,,,,,,1
66,79066,Whipple Rd & Huntwood Ave,Far Side,37.606171,-122.055306,,,,,,1
67,79067,Whipple Rd & Wiegman Ave,Nearside,37.606560964,-122.0611558,,,,,,1
68,79068,Whipple Rd & Dyer St,Far Side,37.60589,-122.069512,,,,,,1
69,79069,Whipple Rd & Ahern Ave,Far Side,37.605819,-122.077087,,,,,,1
70,79070,Whipple Rd & Kohoutek St,Nearside,37.605793,-122.07981,,,,,,1
71,79071,Kohoutek St & Whipple Rd,Far Side,37.606527,-122.080256,,,,,,1
72,79072,Kohoutek St & Mid-Block,Mid-Block,37.607894,-122.080481,,,,,,1
73,79073,Union City Bl & Kohoutek St,Far Side,37.607096,-122.082792,,,,,,1
74,79074,Union City Bl & Whipple Rd,Far Side,37.605158783,-122.082489561,,,,,,1
75,79075,Union City Bl & Bettencourt Rd,Nearside,37.59891,-122.081857,,,,,,1
76,79076,Smith St & Union City Bl,Far Side,37.596425,-122.080497,,,,,,1
77,79077,Smith St & Fredi St,Far Side,37.596423939,-122.076532945,,,,,,1
78,79078,Smith St & Dyer St,Nearside,37.596724314,-122.071378836,,,,,,1
79,79079,Almaden Bl & Trefry Dr,Nearside,37.595886,-122.055334,,,,,,1
80,79080,Almaden Bl & Los Robles Apartments,Nearside,37.594439,-122.055627,,,,,,1
81,79081,Almaden Bl & Polynesia Wy,Far Side,37.592577,-122.054609,,,,,,1
82,79082,Almaden Bl & Kawella Cir,Nearside,37.591226,-122.052731,,,,,,1
83,79083,Almaden Bl & Cumana Dr,Nearside,37.590344,-122.051099,,,,,,1
84,79084,Almaden Bl & Palm Dr,Far Side,37.588931,-122.050784,,,,,,1
85,79085,Almaden Bl & Chechester Dr,Nearside,37.59077,-122.051651,,,,,,1
86,79086,Medallion Ave & Brenda Dr,Nearside,37.593605,-122.052209,,,,,,1
87,79087,Medallion Ave & Brenda Dr,Nearside,37.593972,-122.052294,,,,,,1
88,79088,Almaden Bl & Horatio Ct,Far Side,37.592667,-122.054442,,,,,,1
89,79089,Almaden Bl & Sloccum Ct,Far Side,37.595869,-122.055217,,,,,,1
90,79090,Alvarado-Niles Rd & Dyer St,Nearside,37.597420109,-122.070225897,,,,,,1
91,79091,Smith St & Granger Ave,Far Side,37.596559,-122.075872,,,,,,1
92,79092,Union City Bl & Smith St,Far Side,37.596966,-122.080858,,,,,,1
93,79093,Union City Bl & Tara Ct,Nearside,37.599999,-122.081683,,,,,,1
94,79094,Union City Bl & Whipple Rd,Far Side,37.606122422,-122.082367324,,,,,,1
95,79095,Kohoutek St & Union City Bl,Far Side,37.608709,-122.081931,,,,,,1
96,79096,Kohoutek St & Whipple Rd,Nearside,37.607553,-122.080528,,,,,,1
97,79097,Whipple Rd & Kohoutek St,Far Side,37.605619,-122.079456,,,,,,1
98,79098,Whipple Rd & Meridien Dr,Far Side,37.605618,-122.075278,,,,,,1
99,79099,Whipple Rd & Dyer St,Nearside,37.605624785,-122.071319668,,,,,,1
100,79100,Whipple Rd & Industrial Parkway Southwest,Far Side,37.607003702,-122.064034447,,,,,,1
