stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
40090,40090,Bridgeway & Ebbtide St, ,37.870159,-122.503723, , , , 
40091,40091,Bridgeway & Gate 5 Rd, ,37.871109,-122.503891, , , , 
40092,40092,Bridgeway & Nevada St, ,37.865433,-122.499245, , , , 
40093,40093,Bridgeway & Nevada St, ,37.865299,-122.499458, , , , 
40094,40094,Bridgeway & Easterby St, ,37.861809,-122.493996, , , , 
40095,40095,Bridgeway & Easterby St, ,37.861954,-122.493629, , , , 
40096,40096,Bridgeway & Napa St, ,37.860744,-122.488686, , , , 
40097,40097,Bridgeway & Napa St, ,37.861359,-122.489571, , , , 
40098,40098,Bridgeway & Pine St, ,37.859123,-122.485092, , , , 
40099,40099,Bridgeway & Turney St, ,37.859966,-122.48661, , , , 
40100,40100,Bridgeway & Caledonia Av, ,37.85841,-122.48288, , , , 
40103,40103,Sausalito Ferry Humboldt & Anchor, ,37.857082,-122.48037, , , , 
40113,40113,Donahue & Terners Northbound, ,37.871799,-122.511215, , , , 
40119,40119,Drake Av & Donahue St, ,37.873573,-122.512428, , , , 
40121,40121,Drake Av & Buckelew St, ,37.873188,-122.515495, , , , 
40123,40123,Drake Av & Cole Dr, ,37.868507,-122.510674, , , , 
40125,40125,Drake Av & Donahue St, ,37.870155,-122.508797, , , , 
40128,40128,Shoreline Hwy & Almonte Blvd, ,37.881969,-122.525368, , , , 
40129,40129,E Blithedale Av & Tower Dr, ,37.903576,-122.519051, , , , 
40130,40130,E Blithedale Av & Kipling Dr, ,37.903496,-122.519112, , , , 
40131,40131,E Blithedale Av & Lomita Dr, ,37.900852,-122.526482, , , , 
40132,40132,E Blithedale Av & Rogue Moraes Dr, ,37.900684,-122.52655, , , , 
40133,40133,E Blithedale Av & Mesa Av, ,37.901772,-122.53257, , , , 
40134,40134,E Blithedale Av & Nelson Av, ,37.900665,-122.530022, , , , 
40135,40135,E  Blithedale Av & Alta Vista Av, ,37.903553,-122.536369, , , , 
40136,40136,E Blithedale Av & Hilarita Av, ,37.901684,-122.532593, , , , 
40137,40137,E Blithedale Av & East Dr, ,37.903816,-122.538254, , , , 
40138,40138,E Blithedale Av & Elm Av, ,37.902081,-122.533485, , , , 
40139,40139,E Blithedale Av & Mountain View Av, ,37.90519,-122.543831, , , , 
40140,40140,E Blithedale Av & Walnut Av, ,37.903755,-122.539574, , , , 
40141,40141,E Blithedale Av & Hill St, ,37.905308,-122.544151, , , , 
40142,40142,Mill Valley Depot Sunnyside Av & Miller Av, ,37.905708,-122.547432, , , , 
40143,40143,Miller Av & Una Way, ,37.901314,-122.541695, , , , 
40144,40144,Miller Av & Park Av, ,37.901661,-122.541473, , , , 
40145,40145,Miller Av & Montford Av, ,37.897324,-122.537086, , , , 
40146,40146,Miller Av & Locust Av, ,37.898491,-122.537849, , , , 
40147,40147,Miller Av & Reed St, ,37.895226,-122.534683, , , , 
40148,40148,Miller Av & Reed St, ,37.895634,-122.534538, , , , 
40149,40149,Tamalpais Hs Miller Av  & Camino Alto, ,37.892792,-122.530487, , , , 
40150,40150,Tamalpais Hs Miller Av & Camino Alto, ,37.893772,-122.531471, , , , 
40151,40151,Miller Av & Almonte Blvd, ,37.887169,-122.524834, , , , 
40152,40152,Almonte Blvd & Miller Av, ,37.887512,-122.524773, , , , 
40153,40153,Almonte Blvd & Rosemont Av, ,37.883957,-122.524857, , , , 
40154,40154,Almonte Blvd & Rosemont Av, ,37.882999,-122.524673, , , , 
40155,40155,Tam Junction Shoreline Hwy & Almonte Blvd, ,37.881496,-122.524689, , , , 
40156,40156,Tam Junction Shoreline Hwy & Almonte Blvd, ,37.881649,-122.524574, , , , 
40157,40157,Mill Valley Depot Miller Av & Sunnyside Av, ,37.905418,-122.547363, , , , 
40158,40158,Strawberry Village Reed Blvd & Belvedere Dr, ,37.898884,-122.513573, , , , 
40160,40160,Shoreline Hwy & Pine Hill Rd, ,37.879578,-122.53492, , , , 
40162,40162,Manzanita Park & Ride, ,37.879639,-122.516411, , , , 
40163,40163,Shoreline Hwy & Pine St, ,37.879524,-122.535179, , , , 
40165,40165,Shoreline Hwy & Laurel Way, ,37.87896,-122.532593, , , , 
40166,40166,Shoreline Hwy & Laurel Way, ,37.879124,-122.532867, , , , 
40167,40167,Shoreline Hwy & Ross Dr, ,37.878979,-122.529488, , , , 
40169,40169,Shoreline Hwy At Manzanita Heliport, ,37.879784,-122.515297, , , , 
40171,40171,Tiburon Blvd & Hwy 101 Northbound On Ramp, ,37.902679,-122.514801, , , , 
40172,40172,Tiburon Blvd & Hwy 101 Bus Pad, ,37.90255,-122.514107, , , , 
40173,40173,Tiburon Blvd & Bay Vista Dr, ,37.899178,-122.504539, , , , 
40175,40175,Tiburon Blvd & N Knoll Rd, ,37.902161,-122.511253, , , , 
40176,40176,Tiburon Blvd & N Knoll Rd, ,37.90221,-122.511162, , , , 
40177,40177,Tiburon Blvd & Strawberry Dr, ,37.899178,-122.504707, , , , 
40182,40182,Strawberry Village Reed Blvd & Redwood Hwy, ,37.900856,-122.5149, , , , 
