service_id,date,exception_type
20150404-MWS-WD,20150703,2
20150404-MWS-PK,20150703,1
20141214-1-STG,20150703,2
20150301-8-STG,20150703,1
20141214-1,20150907,2
20141214-8,20150907,1
20141214-1-STG,20150907,2
20150301-8-STG,20150907,1
20150404-MWS-PK,20150907,1
20150817-2,20150907,2
20150817-3,20150907,2
20150817-4,20150907,2
20150817-5,20150907,2
20150817-6,20150907,2
20141214-1-STG,20151111,2
20150301-8-STG,20151111,1
20141214-1,20151126,2
20141214-8,20151126,1
20141214-1-STG,20151126,2
20150817-2,20151126,2
20150817-3,20151126,2
20150817-4,20151126,2
20150817-5,20151126,2
20150817-6,20151126,2
20141214-1-STG,20151127,2
20150301-8-STG,20151127,1
20150817-2,20151127,2
20150817-3,20151127,2
20150817-4,20151127,2
20150817-5,20151127,2
20150817-6,20151127,2
