service_id,date,exception_type
2,20150625,1
2,20150626,1
3,20150627,1
4,20150628,1
2,20150629,1
2,20150630,1
2,20150701,1
2,20150702,1
2,20150703,1
3,20150704,1
4,20150705,1
2,20150706,1
2,20150707,1
2,20150708,1
2,20150709,1
2,20150710,1
3,20150711,1
4,20150712,1
2,20150713,1
2,20150714,1
2,20150715,1
2,20150716,1
2,20150717,1
3,20150718,1
4,20150719,1
2,20150720,1
2,20150721,1
2,20150722,1
2,20150723,1
2,20150724,1
3,20150725,1
4,20150726,1
2,20150727,1
2,20150728,1
2,20150729,1
2,20150730,1
2,20150731,1
3,20150801,1
4,20150802,1
2,20150803,1
2,20150804,1
2,20150805,1
2,20150806,1
2,20150807,1
3,20150808,1
4,20150809,1
2,20150810,1
2,20150811,1
2,20150812,1
2,20150813,1
2,20150814,1
3,20150815,1
4,20150816,1
2,20150817,1
2,20150818,1
2,20150819,1
2,20150820,1
2,20150821,1
3,20150822,1
4,20150823,1
2,20150824,1
2,20150825,1
2,20150826,1
2,20150827,1
2,20150828,1
3,20150829,1
4,20150830,1
2,20150831,1
2,20150901,1
2,20150902,1
2,20150903,1
2,20150904,1
3,20150905,1
4,20150906,1
2,20150907,1
2,20150908,1
2,20150909,1
2,20150910,1
2,20150911,1
3,20150912,1
4,20150913,1
2,20150914,1
2,20150915,1
2,20150916,1
2,20150917,1
2,20150918,1
3,20150919,1
4,20150920,1
2,20150921,1
2,20150922,1
2,20150923,1
2,20150924,1
2,20150925,1
3,20150926,1
4,20150927,1
2,20150928,1
2,20150929,1
2,20150930,1
2,20151001,1
2,20151002,1
3,20151003,1
4,20151004,1
2,20151005,1
2,20151006,1
2,20151007,1
2,20151008,1
2,20151009,1
3,20151010,1
4,20151011,1
2,20151012,1
2,20151013,1
2,20151014,1
2,20151015,1
2,20151016,1
3,20151017,1
4,20151018,1
2,20151019,1
2,20151020,1
2,20151021,1
2,20151022,1
2,20151023,1
3,20151024,1
4,20151025,1
2,20151026,1
2,20151027,1
2,20151028,1
2,20151029,1
2,20151030,1
3,20151031,1
4,20151101,1
2,20151102,1
2,20151103,1
2,20151104,1
2,20151105,1
2,20151106,1
3,20151107,1
4,20151108,1
2,20151109,1
2,20151110,1
2,20151111,1
2,20151112,1
2,20151113,1
3,20151114,1
4,20151115,1
2,20151116,1
2,20151117,1
2,20151118,1
2,20151119,1
2,20151120,1
3,20151121,1
4,20151122,1
2,20151123,1
2,20151124,1
2,20151125,1
2,20151126,1
2,20151127,1
3,20151128,1
4,20151129,1
2,20151130,1
2,20151201,1
2,20151202,1
2,20151203,1
2,20151204,1
3,20151205,1
4,20151206,1
2,20151207,1
2,20151208,1
2,20151209,1
2,20151210,1
2,20151211,1
3,20151212,1
4,20151213,1
2,20151214,1
2,20151215,1
2,20151216,1
2,20151217,1
2,20151218,1
3,20151219,1
4,20151220,1
2,20151221,1
2,20151222,1
2,20151223,1
2,20151224,1
2,20151225,1
3,20151226,1
4,20151227,1
2,20151228,1
2,20151229,1
2,20151230,1
2,20151231,1
2,20160101,1
3,20160102,1
4,20160103,1
2,20160104,1
2,20160105,1
2,20160106,1
2,20160107,1
2,20160108,1
3,20160109,1
4,20160110,1
2,20160111,1
2,20160112,1
2,20160113,1
2,20160114,1
2,20160115,1
3,20160116,1
4,20160117,1
2,20160118,1
2,20160119,1
2,20160120,1
2,20160121,1
2,20160122,1
3,20160123,1
4,20160124,1
2,20160125,1
2,20160126,1
2,20160127,1
2,20160128,1
2,20160129,1
3,20160130,1
