stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
261,267,Sebastopol Rd @ West Ave,,38.429935,-122.727699,,
23,21,Healdsburg Ave @ Tenth St,,38.444060999999998,-122.717888,,
238,242,Third St @ E St,,38.440753999999998,-122.71116600000001,,
355,365,Ventura Ave @ Administration Dr,,38.466552999999998,-122.72421300000001,,
46,44,Santa Rosa Ave @ Burt St,,38.408870999999998,-122.713684,,
215,217,Montgomery Dr @ Shortt Rd,,38.445438000000003,-122.69177999999999,,
378,389,Bellevue Ave @ Burgess Dr,,38.401992999999997,-122.733864,,
69,67,West College Ave @ Sparrow Creek St,,38.445090999999998,-122.74939000000001,,
192,193,55 Stony Point Rd,,38.442753000000003,-122.749786,,
401,412,Sebastopol Rd @ Lombardi Ct,,38.426394999999999,-122.74906900000001,,
92,90,Montgomery Dr @ Yulupa Ave,,38.449508999999999,-122.67899300000001,,
430,441,Ninth St @ Davis St,,38.442386999999997,-122.722229,,
115,113,Hwy 12 @ Boas Dr,,38.465198999999998,-122.65836299999999,,
138,137,Montecito Blvd @ Saint Mary Dr,,38.478057999999997,-122.66533699999999,,
209,211,Hahman Dr @ Patio Ct,,38.442363999999998,-122.68483000000001,,
384,395,Stony Point Rd @ Sebastopol Rd,,38.427630999999998,-122.741257,,
161,161,1350 Bennett Valley Rd-Fairgrounds,,38.433124999999997,-122.702225,,
284,292,Coffey Ln @ San Miguel Rd,,38.473930000000003,-122.746689,,
407,418,Northpoint Pkwy @ Kingfisher Wy,,38.416023000000003,-122.74408699999999,,
29,27,Sonoma Ave @ Doyle Park Dr,,38.441527999999998,-122.69821899999999,,
232,236,Montgomery Dr @ Yates Dr,,38.446190000000001,-122.689621,,
361,371,Range Ave @ Katy Ct,,38.463177000000002,-122.732727,,
278,286,Piner Rd @ Industrial Dr,,38.470863000000001,-122.740494,,
315,325,Piner Rd @ Pinercrest Dr,,38.467025999999997,-122.766434,,
169,169,Mendocino Ave @ Fountaingrove Pkwy,,38.473804000000001,-122.727631,,
175,176,West Third St @ Dutton Ave,,38.434029000000002,-122.727745,,
418,429,College Ave @ Allison Wy,,38.445205999999999,-122.70549,,
424,435,E St @ Cherry St,,38.444305,-122.711052,,
324,334,West Steele Ln @ Dorado Ct,,38.459975999999997,-122.73735000000001,,
221,223,Summerfield Rd @ Texas Ave,,38.447308,-122.66604599999999,,
470,473,Hwy 12 @ Acacia Ln,,38.462668999999998,-122.66881600000001,,
75,73,West College Ave @ Cleveland Ave,,38.445743999999998,-122.726204,,
