trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,last_stop_on_trip
t10-sl3-p2-r49,,,11,1006,,,,20803,
t10-sl3-p2-r49,,,20,1034,,,,21800,
t10-sl3-p2-r49,,,460,1081,,,,23437,
t10-sl3-p2-r49,,,13,1109,,,,24430,
t10-sl3-p2-r49,,,414,1135,,,,25342,
t10-sl3-p2-r49,,,413,1171,,,,26626,
t10-sl3-p2-r49,11:35:00,11:35:00,412,1200,,,,27619,
t10-sl3-p2-r49,,,411,1296,,,,28160,
t10-sl3-p2-r49,,,169,1491,,,,29256,
t10-sl3-p2-r49,11:42:00,11:42:00,464,1620,,,,29977,
t10-sl3-p2-r49,,,171,1682,,,,31313,
t10-sl3-p2-r49,,,17,1779,,,,33383,
t10-sl3-p2-r49,,,18,1814,,,,34137,
t10-sl3-p2-r49,,,19,1875,,,,35448,
t10-sl3-p2-r49,11:48:00,11:48:00,84,1980,,,,37687,
t10-sl3-p2-r49,,,21,2040,,,,38510,
t10-sl3-p2-r49,,,22,2118,,,,39572,
t10-sl3-p2-r49,,,23,2225,,,,41030,
t10-sl3-p2-r49,,,24,2314,,,,42249,
t10-sl3-p2-r49,11:55:00,11:55:00,26,2400,,,,43408,1
t100-sl4-p11-r70,15:10:00,15:15:00,26,0,,,,0,
t100-sl4-p11-r70,,,79,81,,,,1502,
t100-sl4-p11-r70,,,80,126,,,,2330,
t100-sl4-p11-r70,,,81,156,,,,2877,
t100-sl4-p11-r70,,,82,192,,,,3540,
t100-sl4-p11-r70,,,83,236,,,,4353,
t100-sl4-p11-r70,15:20:00,15:20:00,84,300,,,,5528,
t100-sl4-p11-r70,,,85,386,,,,7149,
t100-sl4-p11-r70,,,86,446,,,,8280,
t100-sl4-p11-r70,,,87,521,,,,9688,
t100-sl4-p11-r70,,,88,598,,,,11155,
t100-sl4-p11-r70,,,89,682,,,,12727,
t100-sl4-p11-r70,,,90,739,,,,13806,
t100-sl4-p11-r70,15:29:00,15:29:00,33,840,,,,15692,
t100-sl4-p11-r70,,,91,867,,,,16328,
t100-sl4-p11-r70,,,93,918,,,,17529,
t100-sl4-p11-r70,,,92,965,,,,18638,
t100-sl4-p11-r70,,,95,1027,,,,20090,
t100-sl4-p11-r70,,,96,1077,,,,21264,
t100-sl4-p11-r70,,,97,1140,,,,22727,
t100-sl4-p11-r70,,,98,1166,,,,23327,
t100-sl4-p11-r70,,,99,1229,,,,24808,
t100-sl4-p11-r70,,,100,1270,,,,25775,
t100-sl4-p11-r70,,,101,1297,,,,26395,
t100-sl4-p11-r70,,,102,1367,,,,28039,
t100-sl4-p11-r70,,,103,1397,,,,28757,
t100-sl4-p11-r70,15:39:00,15:39:00,104,1440,,,,29744,
t100-sl4-p11-r70,,,105,1476,,,,31183,
t100-sl4-p11-r70,,,106,1506,,,,32381,
t100-sl4-p11-r70,,,107,1531,,,,33347,
t100-sl4-p11-r70,,,109,1572,,,,34978,
t100-sl4-p11-r70,,,110,1598,,,,35974,
t100-sl4-p11-r70,,,111,1613,,,,36558,
t100-sl4-p11-r70,,,112,1629,,,,37190,
t100-sl4-p11-r70,,,113,1651,,,,38067,
t100-sl4-p11-r70,15:43:00,15:43:00,114,1680,,,,39195,
t100-sl4-p11-r70,,,115,1728,,,,40602,
t100-sl4-p11-r70,,,116,1761,,,,41543,
t100-sl4-p11-r70,,,117,1790,,,,42380,
t100-sl4-p11-r70,,,470,1837,,,,43743,
t100-sl4-p11-r70,,,118,1868,,,,44633,
t100-sl4-p11-r70,,,119,1920,,,,46119,
t100-sl4-p11-r70,,,120,1975,,,,47714,
t100-sl4-p11-r70,,,122,2109,,,,51573,
t100-sl4-p11-r70,,,123,2183,,,,53718,
t100-sl4-p11-r70,,,124,2236,,,,55249,
t100-sl4-p11-r70,,,125,2293,,,,56875,
t100-sl4-p11-r70,,,126,2330,,,,57938,
t100-sl4-p11-r70,,,127,2362,,,,58879,
t100-sl4-p11-r70,15:55:00,15:55:00,21,2400,,,,59947,
t100-sl4-p11-r70,,,22,2543,,,,61009,
t100-sl4-p11-r70,,,23,2739,,,,62467,
t100-sl4-p11-r70,,,24,2903,,,,63686,
t100-sl4-p11-r70,16:06:00,16:06:00,26,3060,,,,64845,1
t101-sl2-p12-r15,06:20:00,06:20:00,26,0,,,,0,
t101-sl2-p12-r15,,,145,83,,,,1543,
t101-sl2-p12-r15,,,146,111,,,,2049,
t101-sl2-p12-r15,,,364,156,,,,2871,
t101-sl2-p12-r15,,,365,197,,,,3636,
