service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
1_merged_381003115,20150614,20150815,1,0,0,0,0,0,0
2_merged_381003124,20150816,20151121,0,1,0,1,1,0,0
5_merged_381003125,20150816,20151121,0,0,0,0,0,0,1
6_merged_381003121,20150614,20150815,0,0,0,1,1,0,0
2_merged_381003117,20150614,20150815,0,1,0,1,1,0,0
1_merged_381003122,20150816,20151121,1,0,0,0,0,0,0
3_merged_381003123,20150816,20151121,0,0,1,0,0,0,0
7_merged_381003120,20150614,20150815,1,1,1,1,0,0,0
5_merged_381003118,20150614,20150815,0,0,0,0,0,0,1
7_merged_381003127,20150816,20151121,1,1,1,1,0,0,0
6_merged_381003128,20150816,20151121,0,0,0,1,1,0,0
3_merged_381003116,20150614,20150815,0,0,1,0,0,0,0
4_merged_381003119,20150614,20150815,0,0,0,0,0,1,0
4_merged_381003126,20150816,20151121,0,0,0,0,0,1,0
