fare_id,route_id,origin_id,destination_id,contains_id
1,4,,,
1,8,,,
1,17_merged_381003104,,,
1,29_merged_381003097,,,
1,23_merged_381003095,,,
1,1,,,
1,23_merged_381003068,,,
1,15_merged_381003075,,,
1,24_merged_381003061,,,
1,21_merged_381003093,,,
1,12_merged_381003074,,,
1,22_merged_381003067,,,
1,2,,,
1,19_merged_381003079,,,
1,11_merged_381003098,,,
1,20_merged_381003065,,,
1,21_merged_381003066,,,
1,31_merged_381003108,,,
1,15_merged_381003102,,,
1,18_merged_381003080,,,
1,7,,,
1,13_merged_381003073,,,
1,10_merged_381003099,,,
1,13_merged_381003100,,,
1,11_merged_381003071,,,
1,10_merged_381003072,,,
1,17_merged_381003077,,,
1,22_merged_381003094,,,
1,24_merged_381003088,,,
1,5,,,
1,27_merged_381003064,,,
1,9,,,
1,20_merged_381003092,,,
1,19_merged_381003106,,,
1,12_merged_381003101,,,
1,6,,,
1,29_merged_381003070,,,
1,16_merged_381003078,,,
1,16_merged_381003105,,,
1,3,,,
1,18_merged_381003107,,,
3,27_merged_381003091,,,
3,26_merged_381003063,,,
3,30_merged_381003109,,,
3,28_merged_381003069,,,
3,28_merged_381003096,,,
3,25_merged_381003062,,,
2,18_merged_381003080,,,
2,33_merged_381003113,,,
2,16_merged_381003105,,,
2,29_merged_381003070,,,
2,15_merged_381003075,,,
2,6,,,
2,16_merged_381003078,,,
2,11_merged_381003098,,,
2,20_merged_381003092,,,
2,21_merged_381003093,,,
2,32_merged_381003087,,,
2,22_merged_381003067,,,
2,24_merged_381003061,,,
2,27_merged_381003064,,,
2,38,,,
2,23_merged_381003068,,,
2,9,,,
2,34_merged_381003085,,,
2,5,,,
2,23_merged_381003095,,,
2,13_merged_381003100,,,
2,4,,,
2,10_merged_381003072,,,
2,36_merged_381003110,,,
2,11_merged_381003071,,,
2,10_merged_381003099,,,
2,34_merged_381003112,,,
2,35_merged_381003111,,,
2,30_merged_381003082,,,
2,31_merged_381003108,,,
2,20_merged_381003065,,,
2,3,,,
2,21_merged_381003066,,,
2,2,,,
2,12_merged_381003101,,,
2,37,,,
2,12_merged_381003074,,,
2,19_merged_381003106,,,
2,35_merged_381003084,,,
2,36_merged_381003083,,,
2,19_merged_381003079,,,
2,17_merged_381003104,,,
2,29_merged_381003097,,,
2,24_merged_381003088,,,
2,1,,,
2,22_merged_381003094,,,
2,31_merged_381003081,,,
2,17_merged_381003077,,,
2,33_merged_381003086,,,
2,8,,,
2,32_merged_381003114,,,
2,13_merged_381003073,,,
2,18_merged_381003107,,,
2,7,,,
2,15_merged_381003102,,,
