route_long_name,route_id,route_type,route_text_color,agency_id,route_color,route_url,route_short_name
Kirker Pass Express,34_merged_381003112,3,,,,,93X
BART Walnut Creek/Bishop Ranch,34_merged_381003085,3,,,,,96X
Creekside/BART Walnut Creek,28_merged_381003096,3,,,,,5
San Ramon/BART Dublin,26_merged_381003090,3,,,,,36
BART Walnut Creek/San Ramon,13_merged_381003100,3,,,,,21
BART North Concord/Martinez,15_merged_381003102,3,,,,,28
BART North Concord/Martinez,14_merged_381003076,3,,,,,28
Martinez AMTRAK/BART Pleasant Hill,20_merged_381003065,3,,,,,316
Rossmoor/Ygnacio Valley,15_merged_381003075,3,,,,,301
Martinez AMTRAK/BART Pleasant Hill,22_merged_381003094,3,,,,,316
DVC/BART Concord,21_merged_381003066,3,,,,,320
Kirker Pass Express,32_merged_381003087,3,,,,,93X
BART Dublin/Bishop Ranch,35_merged_381003084,3,,,,,97X
ACE Express,31_merged_381003081,3,,,,,92X
BART Concord/Monument Blvd/DVC,18_merged_381003080,3,,,,,314
BART Concord/Landana,21_merged_381003093,3,,,,,315
DVC/BART Concord,23_merged_381003095,3,,,,,320
Shadelands/BART PH,28_merged_381003069,3,,,,,7
BART Walnut Creek/San Ramon,24_merged_381003088,3,,,,,321
Rudgear/BART Walnut Creek,11_merged_381003098,3,,,,,2
Rossmoor/Shadelands,1,3,,,,,1
BART Concord/BART Pleasant Hi,3,3,,,,,11
BART Concord/Clayton,2,3,,,,,10
Treat Blvd,5,3,,,,,15
Monument Blvd,4,3,,,,,14
BART Concord/North Concord,7,3,,,,,17
AMTRAK/BART Concord,6,3,,,,,16
AMTRAK/BART Concord,9,3,,,,,19
AMTRAK/BART Pleasant Hill,8,3,,,,,18
Concord Commuter Express,30_merged_381003082,3,,,,,91X
BART Walnut Creek/Bishop Ranch,36_merged_381003110,3,,,,,96X
DVC/BART Concord,12_merged_381003101,3,,,,,20
DVC/BART Concord,11_merged_381003071,3,,,,,20
BART Lafayette/BART Walnut Creek,14_merged_381003103,3,,,,,25
San Ramon/BART Walnut Creek,33_merged_381003086,3,,,,,95X
San Ramon/BART Dublin,24_merged_381003061,3,,,,,36
DVC/BART Walnut Creek,29_merged_381003070,3,,,,,9
Martinez Community,16_merged_381003105,3,,,,,3
Clayton Rd/BART Concord,16_merged_381003078,3,,,,,310
DVC/BART Walnut Creek,31_merged_381003108,3,,,,,9
Clayton Rd/BART Concord,18_merged_381003107,3,,,,,310
BART Concord/Monument Blvd/DVC,20_merged_381003092,3,,,,,314
Martinez/BART Walnut Creek,38,3,,,,,98X
Broadway Plaza/BART Walnut Creek,27_merged_381003091,3,,,,,4
BART Concord/BART PH/BART WC,17_merged_381003077,3,,,,,311
BART WALNUT CREEK/JOHN MUIR MED CTR,10_merged_381003099,3,,,,,1M
BART Dublin/San Ramon,25_merged_381003089,3,,,,,35
BART Walnut Creek/San Ramon,22_merged_381003067,3,,,,,321
Martinez/BART Walnut Creek,36_merged_381003083,3,,,,,98X
ACE Express,33_merged_381003113,3,,,,,92X
Rossmoor/Ygnacio Valley,17_merged_381003104,3,,,,,301
Shadelands/BART PH,30_merged_381003109,3,,,,,7
Lafayette/Moraga/Orinda,29_merged_381003097,3,,,,,6
BART Dublin/Bishop Ranch,37,3,,,,,97X
Concord Commuter Express,32_merged_381003114,3,,,,,91X
BART Walnut Creek/San Ramon,12_merged_381003074,3,,,,,21
Lafayette/Moraga/Orinda,27_merged_381003064,3,,,,,6
Broadway Plaza/BART Walnut Creek,25_merged_381003062,3,,,,,4
Rudgear/BART Walnut Creek,10_merged_381003072,3,,,,,2
BART Concord/Landana,19_merged_381003079,3,,,,,315
BART Dublin/San Ramon,23_merged_381003068,3,,,,,35
BART Lafayette/BART Walnut Creek,13_merged_381003073,3,,,,,25
San Ramon/BART Walnut Creek,35_merged_381003111,3,,,,,95X
BART Concord/BART PH/BART WC,19_merged_381003106,3,,,,,311
Creekside/BART Walnut Creek,26_merged_381003063,3,,,,,5
