shape_id,shape_pt_lon,shape_pt_lat,shape_pt_sequence,shape_dist_traveled
3e0e29d8-9352-46f3-af91-8964bf889311,-122.38887,37.79896,24,10812.46871250
3e0e29d8-9352-46f3-af91-8964bf889311,-122.38904,37.79918,25,10841.11174810
3e0e29d8-9352-46f3-af91-8964bf889311,-122.39692,37.80962,26,12191.78108880
3e0e29d8-9352-46f3-af91-8964bf889311,-122.39827,37.81048,27,12344.23981510
3e0e29d8-9352-46f3-af91-8964bf889311,-122.4066,37.81313,28,13134.52480430
3e0e29d8-9352-46f3-af91-8964bf889311,-122.40921,37.81345,29,13367.07585400
3e0e29d8-9352-46f3-af91-8964bf889311,-122.40994,37.81344,30,13431.36521820
3e0e29d8-9352-46f3-af91-8964bf889311,-122.41037,37.81334,31,13470.82198010
3e0e29d8-9352-46f3-af91-8964bf889311,-122.4116,37.81271,32,13599.74105830
3e0e29d8-9352-46f3-af91-8964bf889311,-122.41268,37.8117,33,13746.74835420
3e0e29d8-9352-46f3-af91-8964bf889311,-122.41358,37.81007,34,13944.26372820
3e0e29d8-9352-46f3-af91-8964bf889311,-122.41233,37.80965,35,14063.80162330
3e0e29d8-9352-46f3-af91-8964bf889311,-122.4122803,37.80959,36,14071.76910990
4a00f820-db78-473e-8dbe-e828c68973bf,-122.3772452,37.662676,1,0.00000000
4a00f820-db78-473e-8dbe-e828c68973bf,-122.377269,37.663774,2,121.88522050
4a00f820-db78-473e-8dbe-e828c68973bf,-122.377274,37.664139,3,162.39901900
4a00f820-db78-473e-8dbe-e828c68973bf,-122.377129,37.664237,4,179.19143050
4a00f820-db78-473e-8dbe-e828c68973bf,-122.372612,37.664203,5,577.75065460
4a00f820-db78-473e-8dbe-e828c68973bf,-122.3714,37.664407,6,687.05777460
4a00f820-db78-473e-8dbe-e828c68973bf,-122.370703,37.664679,7,755.56529720
4a00f820-db78-473e-8dbe-e828c68973bf,-122.337455,37.703509,8,5968.52836400
4a00f820-db78-473e-8dbe-e828c68973bf,-122.324624,37.740247,9,10200.12923540
4a00f820-db78-473e-8dbe-e828c68973bf,-122.334926,37.773281,10,13977.35313580
4a00f820-db78-473e-8dbe-e828c68973bf,-122.339388,37.787567,11,15610.98403610
4a00f820-db78-473e-8dbe-e828c68973bf,-122.338025,37.791488,12,16062.44178360
4a00f820-db78-473e-8dbe-e828c68973bf,-122.334581,37.796043,13,16652.03272990
4a00f820-db78-473e-8dbe-e828c68973bf,-122.332861,37.797206,14,16851.05893680
4a00f820-db78-473e-8dbe-e828c68973bf,-122.331611,37.797482,15,16965.33357480
4a00f820-db78-473e-8dbe-e828c68973bf,-122.330503,37.797395,16,17063.39561500
4a00f820-db78-473e-8dbe-e828c68973bf,-122.326888,37.796441,17,17398.92942470
4a00f820-db78-473e-8dbe-e828c68973bf,-122.303844,37.791348,18,19505.84145220
4a00f820-db78-473e-8dbe-e828c68973bf,-122.300888,37.791138,19,19767.24969000
4a00f820-db78-473e-8dbe-e828c68973bf,-122.298732,37.791221,20,19957.37550340
4a00f820-db78-473e-8dbe-e828c68973bf,-122.296789,37.7915,21,20131.29541600
4a00f820-db78-473e-8dbe-e828c68973bf,-122.294466,37.791458,22,20335.95969640
4a00f820-db78-473e-8dbe-e828c68973bf,-122.294157,37.791191,23,20376.19644850
4a00f820-db78-473e-8dbe-e828c68973bf,-122.294058,37.790667,24,20435.00647300
4a00f820-db78-473e-8dbe-e828c68973bf,-122.294157,37.791191,25,20493.81649750
4a00f820-db78-473e-8dbe-e828c68973bf,-122.293404,37.791998,26,20605.27011480
4a00f820-db78-473e-8dbe-e828c68973bf,-122.286033,37.793126,27,21266.46428840
4a00f820-db78-473e-8dbe-e828c68973bf,-122.280357,37.793722,28,21770.75417720
4a00f820-db78-473e-8dbe-e828c68973bf,-122.280062,37.793923,29,21805.00075130
4a00f820-db78-473e-8dbe-e828c68973bf,-122.280051,37.794196,30,21835.31721170
4a00f820-db78-473e-8dbe-e828c68973bf,-122.280148,37.794442,31,21863.92681270
4a00f820-db78-473e-8dbe-e828c68973bf,-122.2797772,37.795032,32,21937.10406690
515f4381-fee5-497c-9128-27675b024b43,-122.2625905,38.10015,1,0.00000000
515f4381-fee5-497c-9128-27675b024b43,-122.39207,37.79592,2,35634.30995560
515f4381-fee5-497c-9128-27675b024b43,-122.39207,37.79592,3,35634.30995560
54290c8c-35c9-423b-a5a3-17709f2df717,-122.3920562,37.7959,1,0.00000000
54290c8c-35c9-423b-a5a3-17709f2df717,-122.389739,37.795917,2,204.09949550
54290c8c-35c9-423b-a5a3-17709f2df717,-122.386703,37.796036,3,471.82193210
54290c8c-35c9-423b-a5a3-17709f2df717,-122.383527,37.796011,4,751.56247660
54290c8c-35c9-423b-a5a3-17709f2df717,-122.375137,37.792713,5,1576.22479070
54290c8c-35c9-423b-a5a3-17709f2df717,-122.363904,37.7861,6,2808.18720470
54290c8c-35c9-423b-a5a3-17709f2df717,-122.304134,37.756748,7,9000.46251190
54290c8c-35c9-423b-a5a3-17709f2df717,-122.261238,37.7357,8,13444.62773180
54290c8c-35c9-423b-a5a3-17709f2df717,-122.260637,37.735539,9,13500.53665030
54290c8c-35c9-423b-a5a3-17709f2df717,-122.259983,37.735514,10,13558.25150100
54290c8c-35c9-423b-a5a3-17709f2df717,-122.25965,37.735522,11,13587.61786790
54290c8c-35c9-423b-a5a3-17709f2df717,-122.258405,37.735836,12,13702.76161690
54290c8c-35c9-423b-a5a3-17709f2df717,-122.257407,37.736235,13,13801.24992180
54290c8c-35c9-423b-a5a3-17709f2df717,-122.256966,37.736528,14,13851.93103600
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.37725,37.66267,1,0.00000000
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.37728,37.66376,2,121.00817750
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.37727,37.66414,3,163.19365380
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.37721,37.66421,4,172.59511240
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.37712,37.66423,5,180.84037040
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.37353,37.66418,6,497.63986970
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.37259,37.6642,7,580.60714600
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.37143,37.66439,8,685.10544460
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.37077,37.66459,9,747.42542640
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.36347,37.67316,10,1896.14407250
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.33749,37.70346,11,5965.65177360
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.32465,37.74023,12,10200.88733400
9241eb47-1211-4aba-84d8-89cd3b4dbee9,-122.33438,37.77153,13,13779.18098590
