trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD6919486,06:25:00,06:25:00,12030042,1
RTD6919486,06:40:00,06:40:00,12030043,2
RTD6919486,07:20:00,07:20:00,12030041,3
RTD6919488,07:30:00,07:30:00,12030042,1
RTD6919488,07:40:00,07:40:00,12030043,2
RTD6919488,08:20:00,08:20:00,12030041,3
RTD6919487,08:00:00,08:00:00,12030042,1
RTD6919487,08:10:00,08:10:00,12030043,2
RTD6919487,08:50:00,08:50:00,12030041,3
RTD6919489,17:20:00,17:20:00,12030041,1
RTD6919489,17:55:00,17:55:00,12030042,2
RTD6919489,18:00:00,18:00:00,12030043,3
RTD6919912,19:00:00,19:00:00,12030041,1
RTD6919912,19:35:00,19:35:00,12030042,2
RTD6919912,19:50:00,19:50:00,12030043,3
RTD6919491,16:20:00,16:20:00,12030041,1
RTD6919491,16:55:00,16:55:00,12030043,2
RTD6919491,17:10:00,17:10:00,12030044,3
RTD6919494,09:00:00,09:00:00,12030041,1
RTD6919494,09:30:00,09:30:00,890001,2
RTD6919495,15:30:00,15:30:00,890001,1
RTD6919495,16:00:00,16:00:00,12030041,2
WD1400,14:00:00,14:00:00,12149044,1
WD1400,15:00:00,15:00:00,12048538,2
WD1400,15:20:00,15:20:00,890001,3
WK1715,17:15:00,17:15:00,12149044,1
WK1715,18:15:00,18:15:00,12048538,2
WK1715,18:40:00,18:40:00,890001,3
WD1745,17:45:00,17:45:00,12149044,1
WD1745,18:45:00,18:45:00,12048538,2
WD1745,19:05:00,19:05:00,890001,3
WD2V1110,11:10:00,11:10:00,890001,1
WD2V1110,11:30:00,11:30:00,12048538,2
WD2V1110,12:30:00,12:30:00,12149044,3
WK2V1110,11:10:00,11:10:00,890001,1
WK2V1110,11:30:00,11:30:00,12048538,2
WK2V1110,12:30:00,12:30:00,12149044,3
WK2V1540,15:40:00,15:40:00,890001,1
WK2V1540,16:00:00,16:00:00,12048538,2
WK2V1540,17:00:00,17:00:00,12149044,3
WD2V0635,06:35:00,06:35:00,890001,1
WD2V0635,07:35:00,07:35:00,12149044,2
WD2V0715,07:15:00,07:15:00,890001,1
WD2V0715,08:25:00,08:25:00,12149044,2
WD2V0815,08:15:00,08:15:00,890001,1
WD2V0815,09:15:00,09:15:00,12149044,2
WD2V0900,09:00:00,09:00:00,890001,1
WD2V0900,10:00:00,10:00:00,12149044,2
WD2V1430,14:30:00,14:30:00,890001,1
WD2V1430,15:40:00,15:40:00,12149044,2
WD2V1630,16:30:00,16:30:00,890001,1
WD2V1630,17:30:00,17:30:00,12149044,2
WD2V1715,17:15:00,17:15:00,890001,1
WD2V1715,18:15:00,18:15:00,12149044,2
WD2V1730,17:30:00,17:30:00,890001,1
WD2V1730,18:40:00,18:40:00,12149044,2
WD2V1800,18:00:00,18:00:00,890001,1
WD2V1800,19:00:00,19:00:00,12149044,2
WD2V2015,20:15:00,20:15:00,890001,1
WD2V2015,21:25:00,21:25:00,12149044,2
WD1000,10:00:00,10:00:00,12149044,1
WD1000,11:00:00,11:00:00,890001,2
WD1000,11:20:00,11:20:00,12048538,3
WK1000,10:00:00,10:00:00,12149044,1
WK1000,11:00:00,11:00:00,890001,2
WK1000,11:20:00,11:20:00,12048538,3
WK1430,14:30:00,14:30:00,12149044,1
WK1430,15:30:00,15:30:00,890001,2
WK1430,15:50:00,15:50:00,12048538,3
WD2V1530,15:10:00,15:10:00,12048538,1
WD2V1530,15:30:00,15:30:00,890001,2
WD2V1530,16:30:00,16:30:00,12149044,3
WK2V1830,18:30:00,18:30:00,12048538,1
WK2V1830,19:00:00,19:00:00,890001,2
WK2V1830,20:00:00,20:00:00,12149044,3
WD2V1855,18:55:00,18:55:00,12048538,1
WD2V1855,19:15:00,19:15:00,890001,2
WD2V1855,20:15:00,20:15:00,12149044,3
WD0530,05:30:00,05:30:00,12149044,1
WD0530,06:30:00,06:30:00,890001,2
