trip_id,arrival_time,departure_time,stop_id,stop_sequence
1,04:20:00,04:20:00,3400001,1
1,04:39:00,04:39:00,3400002,2
1,04:51:00,04:51:00,3400003,3
1,05:20:00,05:20:00,3400004,4
1,05:25:00,05:25:00,3400005,5
1,05:33:00,05:33:00,3400006,6
1,05:55:00,05:55:00,3400007,7
1,06:13:00,06:13:00,3400008,8
1,06:20:00,06:20:00,3400009,9
1,06:32:00,06:32:00,3400010,10
3,05:35:00,05:35:00,3400001,1
3,05:54:00,05:54:00,3400002,2
3,06:06:00,06:06:00,3400003,3
3,06:35:00,06:35:00,3400004,4
3,06:40:00,06:40:00,3400005,5
3,06:48:00,06:48:00,3400006,6
3,07:10:00,07:10:00,3400007,7
3,07:28:00,07:28:00,3400008,8
3,07:35:00,07:35:00,3400009,9
3,07:47:00,07:47:00,3400010,10
5,06:40:00,06:40:00,3400001,1
5,06:59:00,06:59:00,3400002,2
5,07:11:00,07:11:00,3400003,3
5,07:40:00,07:40:00,3400004,4
5,07:45:00,07:45:00,3400005,5
5,07:53:00,07:53:00,3400006,6
5,08:15:00,08:15:00,3400007,7
5,08:33:00,08:33:00,3400008,8
5,08:40:00,08:40:00,3400009,9
5,08:52:00,08:52:00,3400010,10
7,07:05:00,07:05:00,3400001,1
7,07:24:00,07:24:00,3400002,2
7,07:36:00,07:36:00,3400003,3
7,08:05:00,08:05:00,3400004,4
7,08:10:00,08:10:00,3400005,5
7,08:18:00,08:18:00,3400006,6
7,08:40:00,08:40:00,3400007,7
7,08:58:00,08:58:00,3400008,8
7,09:05:00,09:05:00,3400009,9
7,09:17:00,09:17:00,3400010,10
4,15:35:00,15:35:00,3400010,1
4,15:40:00,15:40:00,3400009,2
4,15:49:00,15:49:00,3400008,3
4,16:05:00,16:05:00,3400007,4
4,16:28:00,16:28:00,3400006,5
4,16:37:00,16:37:00,3400005,6
4,16:42:00,16:42:00,3400004,7
4,17:11:00,17:11:00,3400003,8
4,17:23:00,17:23:00,3400002,9
4,17:47:00,17:47:00,3400001,10
6,16:35:00,16:35:00,3400010,1
6,16:40:00,16:40:00,3400009,2
6,16:49:00,16:49:00,3400008,3
6,17:05:00,17:05:00,3400007,4
6,17:28:00,17:28:00,3400006,5
6,17:37:00,17:37:00,3400005,6
6,17:42:00,17:42:00,3400004,7
6,18:11:00,18:11:00,3400003,8
6,18:23:00,18:23:00,3400002,9
6,18:47:00,18:47:00,3400001,10
8,17:35:00,17:35:00,3400010,1
8,17:40:00,17:40:00,3400009,2
8,17:49:00,17:49:00,3400008,3
8,18:05:00,18:05:00,3400007,4
8,18:28:00,18:28:00,3400006,5
8,18:37:00,18:37:00,3400005,6
8,18:42:00,18:42:00,3400004,7
8,19:11:00,19:11:00,3400003,8
8,19:23:00,19:23:00,3400002,9
8,19:47:00,19:47:00,3400001,10
10,18:38:00,18:38:00,3400010,1
10,18:43:00,18:43:00,3400009,2
10,18:52:00,18:52:00,3400008,3
10,19:08:00,19:08:00,3400007,4
10,19:31:00,19:31:00,3400006,5
10,19:40:00,19:40:00,3400005,6
10,19:45:00,19:45:00,3400004,7
10,20:14:00,20:14:00,3400003,8
10,20:26:00,20:26:00,3400002,9
10,20:50:00,20:50:00,3400001,10
