fare_id,rider_category_id,price
1267,6,0.75
1267,4,0.75
1267,2,0.75
1267,15,0.75
1267,5,0.75
1267,6,0.75
1267,2,0.75
1267,15,0.75
1267,2,0.75
1267,6,0.75
1267,4,0.75
1267,2,0.75
1267,6,0.75
1267,15,0.75
1267,6,1
1267,4,1
1267,2,1
1267,15,1
1267,5,1
1267,6,1
1267,2,1
1267,15,1
1267,2,1
1267,6,1
1267,4,1
1267,2,1
1267,6,1
1267,15,1
1267,6,0.75
1267,4,0.75
1267,2,0.75
1267,15,0.75
1267,5,0.75
1267,6,0.75
1267,2,0.75
1267,15,0.75
1267,2,0.75
1267,6,0.75
1267,4,0.75
1267,2,0.75
1267,6,0.75
1267,15,0.75
