timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_label,service_notes,direction_label
1,2034,0,20150101,20170101,1,1,1,1,1,1,0,,Yearly Service,No direction
2,2036,0,20150101,20170101,0,0,0,0,0,0,1,,Yearly Service,Northbound
3,2036,0,20150101,20170101,0,0,0,0,0,1,0,,Yearly Service,Northbound
4,2036,0,20150101,20170101,1,1,1,1,1,0,0,,Yearly Service,Northbound
5,2036,1,20150101,20170101,0,0,0,0,0,0,1,,Yearly Service,Southbound
6,2036,1,20150101,20170101,0,0,0,0,0,1,0,,Yearly Service,Southbound
7,2036,1,20150101,20170101,1,1,1,1,1,0,0,,Yearly Service,Southbound
8,2037,0,20150101,20170101,1,1,1,1,1,0,0,,Yearly Service,No direction
9,2038,0,20150101,20170101,0,0,0,0,0,0,1,,Yearly Service,No direction
10,2038,0,20150101,20170101,0,0,0,0,0,1,0,,Yearly Service,No direction
11,2038,0,20150101,20170101,1,1,1,1,1,0,0,,Yearly Service,No direction
12,2039,0,20150101,20170101,0,0,0,0,0,0,1,,Yearly Service,Northbound
13,2039,0,20150101,20170101,0,0,0,0,0,1,0,,Yearly Service,Northbound
14,2039,0,20150101,20170101,1,1,1,1,1,0,0,,Yearly Service,Northbound
15,2039,1,20150101,20170101,0,0,0,0,0,0,1,,Yearly Service,Southbound
16,2039,1,20150101,20170101,0,0,0,0,0,1,0,,Yearly Service,Southbound
17,2039,1,20150101,20170101,1,1,1,1,1,0,0,,Yearly Service,Southbound
18,2040,0,20150101,20170101,0,0,0,0,0,1,0,,Yearly Service,No direction
19,2040,0,20150101,20170101,1,1,1,1,1,0,0,,Yearly Service,No direction
20,2035,0,20150819,20151122,0,0,1,0,0,0,0,,School Days,No direction
21,2035,0,20150819,20151122,1,1,0,1,1,0,0,,School Days,No direction
22,2035,0,20150819,20151122,1,1,1,1,1,0,0,,School Days,No direction
23,2048,0,20150819,20151122,0,0,1,0,0,0,0,,School Days,No direction
24,2048,0,20150819,20151122,1,1,0,1,1,0,0,,School Days,No direction
25,2048,0,20150819,20151122,1,1,1,1,1,0,0,,School Days,No direction
26,2049,0,20150819,20151122,0,0,1,0,0,0,0,,School Days,No direction
27,2049,0,20150819,20151122,1,1,0,1,1,0,0,,School Days,No direction
28,2051,0,20150819,20151122,0,0,1,0,0,0,0,,School Days,No direction
29,2051,0,20150819,20151122,1,1,0,1,1,0,0,,School Days,No direction
30,2051,0,20150819,20151122,1,1,1,1,1,0,0,,School Days,No direction
31,2052,0,20150819,20151122,0,0,1,0,0,0,0,,School Days,No direction
32,2052,0,20150819,20151122,1,1,0,1,1,0,0,,School Days,No direction
33,2035,0,20151123,20151127,1,1,1,1,1,0,0,,Non-School Days,No direction
34,2035,0,20151128,20151221,0,0,1,0,0,0,0,,School Days,No direction
35,2035,0,20151128,20151221,1,1,0,1,1,0,0,,School Days,No direction
36,2035,0,20151128,20151221,1,1,1,1,1,0,0,,School Days,No direction
37,2048,0,20151128,20151221,0,0,1,0,0,0,0,,School Days,No direction
38,2048,0,20151128,20151221,1,1,0,1,1,0,0,,School Days,No direction
39,2048,0,20151128,20151221,1,1,1,1,1,0,0,,School Days,No direction
40,2049,0,20151128,20151221,0,0,1,0,0,0,0,,School Days,No direction
41,2049,0,20151128,20151221,1,1,0,1,1,0,0,,School Days,No direction
42,2051,0,20151128,20151221,0,0,1,0,0,0,0,,School Days,No direction
43,2051,0,20151128,20151221,1,1,0,1,1,0,0,,School Days,No direction
44,2051,0,20151128,20151221,1,1,1,1,1,0,0,,School Days,No direction
45,2052,0,20151128,20151221,0,0,1,0,0,0,0,,School Days,No direction
46,2052,0,20151128,20151221,1,1,0,1,1,0,0,,School Days,No direction
47,2035,0,20151222,20160104,1,1,1,1,1,0,0,,Non-School Days,No direction
48,2035,0,20160105,20160317,0,0,1,0,0,0,0,,School Days,No direction
49,2035,0,20160105,20160317,1,1,0,1,1,0,0,,School Days,No direction
50,2035,0,20160105,20160317,1,1,1,1,1,0,0,,School Days,No direction
51,2048,0,20160105,20160317,0,0,1,0,0,0,0,,School Days,No direction
52,2048,0,20160105,20160317,1,1,0,1,1,0,0,,School Days,No direction
53,2048,0,20160105,20160317,1,1,1,1,1,0,0,,School Days,No direction
54,2049,0,20160105,20160317,0,0,1,0,0,0,0,,School Days,No direction
55,2049,0,20160105,20160317,1,1,0,1,1,0,0,,School Days,No direction
56,2051,0,20160105,20160317,0,0,1,0,0,0,0,,School Days,No direction
57,2051,0,20160105,20160317,1,1,0,1,1,0,0,,School Days,No direction
58,2051,0,20160105,20160317,1,1,1,1,1,0,0,,School Days,No direction
59,2052,0,20160105,20160317,0,0,1,0,0,0,0,,School Days,No direction
60,2052,0,20160105,20160317,1,1,0,1,1,0,0,,School Days,No direction
61,2035,0,20160318,20160327,1,1,1,1,1,0,0,,Non-School Days,No direction
62,2035,0,20160328,20160603,0,0,1,0,0,0,0,,School Days,No direction
63,2035,0,20160328,20160603,1,1,0,1,1,0,0,,School Days,No direction
64,2035,0,20160328,20160603,1,1,1,1,1,0,0,,School Days,No direction
65,2048,0,20160328,20160603,0,0,1,0,0,0,0,,School Days,No direction
66,2048,0,20160328,20160603,1,1,0,1,1,0,0,,School Days,No direction
67,2048,0,20160328,20160603,1,1,1,1,1,0,0,,School Days,No direction
68,2049,0,20160328,20160603,0,0,1,0,0,0,0,,School Days,No direction
69,2049,0,20160328,20160603,1,1,0,1,1,0,0,,School Days,No direction
