service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4598,1,1,1,1,1,0,0,20141111,20241112
4599,0,0,0,0,0,1,0,20141111,20241112
4600,0,0,0,0,0,0,1,20141111,20241112
4601,0,0,0,0,0,1,1,20141111,20241112
9021,1,1,1,1,1,1,0,20141111,20241112
9022,1,1,1,1,1,1,1,20141111,20241112
9023,1,1,0,1,1,0,1,20141111,20241112
9024,0,1,0,1,0,1,0,20141111,20241112
9025,1,0,1,0,1,0,1,20141111,20241112
9026,1,1,1,1,1,0,0,20141111,20241112
9027,1,1,1,1,1,0,0,20141111,20241112
