stop_id,stop_name,stop_lat,stop_lon,zone_id
12009992,Administration Dr & County Center Dr,38.464124597,-122.7257874474,
12009993,Agilent,38.4824373311,-122.7105653117,
12009994,Aston Ave at Hendley St,38.4258228489,-122.7025747886,
12009995,Aston Ave at Whitesgate Apts,38.4247604477,-122.7055763683,
12009996,B St & Macys,38.4411632079,-122.7167565608,
12009997,Bellevue Ave & Elsie Allen High School,38.4018575913,-122.7346909494,
12009998,Bennett Valley Rd & Gordon Ln,38.4336107017,-122.6959356466,
12009999,Bennett Valley Rd & Temple Ave,38.431694206,-122.7067619984,
12010000,Bennett Valley Road & Senior Center,38.4306417254,-122.71048237,
12010001,Bethards and Yulupa Ave,38.426078509,-122.6668381924,
12010002,Bethards Dr & Tachevah Dr,38.4282088595,-122.6639892713,
12010003,Bicentennial Wy at Kaiser Hopsital,38.4702084554,-122.7253832405,
12010004,Brown St & Charles St,38.4357284402,-122.7096243755,
12010005,Brown St & Mill St,38.434188571,-122.7093177845,
12010006,Brown St & Oak St,38.4326366289,-122.7089893381,
12010007,Bryden Ln & Austin Wy (Proctor Terrace School),38.4511707513,-122.6982222614,
12010008,Bryden Ln & Grosse Ave (Proctor Terace School),38.4512173813,-122.6981967981,
12010009,Calistoga Rd & Beaumont Wy,38.4798482154,-122.6568020362,
12010010,Calistoga Rd & Dupont Dr,38.4693330062,-122.6538648819,
12010011,Calistoga Rd & Dupont Dr,38.4693330062,-122.6539201742,
12010012,Calistoga Rd & Highway 12 (St. Francis Shopping Center),38.4652716843,-122.6534244098,
12010013,Calistoga Rd & Marit Dr,38.4663971254,-122.6535254519,
12010015,Calistoga Rd & Monte Verde Dr,38.4720432185,-122.6542344599,
12010014,Calistoga Rd & Monte Verde Dr,38.4721380052,-122.6542028643,
12010016,Calistoga Rd & Parkhurst M.H.P.,38.478306538,-122.6557233062,
12010018,Calistoga Rd & San Luis Ave,38.4752093059,-122.6545853325,
12010017,Calistoga Rd & San Luis Ave,38.4751540136,-122.654624827,
12010019,Calistoga Rd & Yerba Buena Rd,38.4733390837,-122.654400277,
12010020,3336 Chanate Rd,38.4689998413,-122.7043380174,
12010021,Chanate Rd & Terra Linda Dr,38.4676438021,-122.7123673538,
12010022,Chanate Rd at Sutter Hospital Turnout,38.4686090075,-122.7069120386,
12010023,Cleveland Ave & Industrial Dr (K-Mart),38.4780611021,-122.7330550814,
12010024,Coddingtown at JC Penneys,38.4570892057,-122.7325426676,
12010025,Coddingtown at JC Penneys,38.4570892057,-122.7325426676,
12010026,COFFEE & GUERNEVILLE,38.4570433346,-122.7369501207,
12010027,COFFEY & STEELE,38.4594355958,-122.7397258502,
12010028,COFFEY & TERRY,38.4637566917,-122.7415704427,
12010029,COFFEY & TERRY,38.463427865,-122.7418106008,
12010030,COFFEY LN & BLUEBELL,38.4657121315,-122.7415881964,
12010031,COFFEY LN & BLUEBELL,38.4657172653,-122.7417744816,
12010032,Coffey Ln & Dogwood Dr,38.47680003,-122.7470839015,
12010033,Coffey Ln & Empire Industrial Ct,38.4700867306,-122.7453039793,
12010034,COFFEY LN & GURNEVILLE,38.4567293901,-122.7367071439,
12010035,COFFEY LN & PINER,38.4676708119,-122.7443035054,
12010036,COFFEY LN & PINER,38.4676487464,-122.7445468483,
12010037,Coffey Ln & San Miguel Ave,38.4742189211,-122.7469043248,
12010038,Colgan Ave & Vintage Park Apartments,38.4213530785,-122.7121605988,
12010039,College Ave & Allison Wy,38.4453044304,-122.7055938331,
12010040,College Ave & E St,38.4454576849,-122.7109156698,
12010041,College Ave & Glenn St,38.445706413,-122.7204851628,
12010042,College Ave & King St,38.4454892805,-122.7107971864,
12010043,College Ave & Mendocino Ave,38.445659923,-122.7176422328,
12010044,College Ave & North St,38.4453838364,-122.7081392417,
12010046,College Ave & Orchard St,38.4455230509,-122.713465392,
12010045,College Ave & Orchard St,38.4455546465,-122.7135522799,
12010047,College Ave & Stewart St,38.4453672567,-122.7070263562,
12010048,Corby Ave & Baker Ave,38.4211440283,-122.7173768109,
12010049,Corby Ave & Barham Ave,38.4267038609,-122.717857703,
12010050,Corby Ave & Cottonwood Dr,38.4172746403,-122.7175176093,
12010051,Corby Ave & Myrtlewood Dr,38.4231100612,-122.7174059164,
12010053,Corporate Center Pkwy & Circadian Wy,38.4196393203,-122.7531638121,
12010054,Corporate Center Pkwy & Corporate Center Ct.,38.4167365764,-122.7541071781,
12010056,CORPORATE CENTER PKWY & NORTHPOINT PKWY,38.4157666002,-122.7539801408,
12010057,Corporate Center Pkwy & Sebastopol Rd/Challenger Wy,38.4248138995,-122.7532910284,
12010058,County Center Dr & Professional Dr (North),38.4630949903,-122.7259481676,
12010059,County Center Dr & Professional Dr (South),38.4610096822,-122.7251424804,
12010060,494   COURT ST,38.406715311,-122.7128953553,
12010061,COURT STREET,38.4055162936,-122.7118029129,
12010062,Delport & West,38.4255226818,-122.7597990124,
12010063,Delport Ave & McMinn Ave,38.4236006718,-122.7312495469,
12010064,Donahue St & 9th St,38.441685528,-122.7254265485,
12010065,Dutton Ave & 3rd St,38.43453535,-122.726837315,
12010066,Dutton Ave & Apple Creek Apts,38.434756519,-122.7271058774,
12010067,Dutton Ave & Decker/9th,38.4408956123,-122.7288921781,
12010068,Dutton Ave & Hewett St,38.4377700105,-122.7287012201,
12010069,Dutton Ave & Hewitt St,38.4377226171,-122.7286459278,
12010070,Dutton Ave & Kingwood St,38.4445572317,-122.7305552872,
12010071,Dutton Ave & W 8th St,38.4392655738,-122.7288265496,
12010072,Dutton Ave & W 9th St,38.4418193659,-122.72901389,
12010073,Dutton Meadow & Bellevue Ave,38.401858173,-122.7299099284,
12010074,Dutton Meadow & Cass Rd,38.4080247428,-122.729446469,
12010075,Dutton Meadow & Meadow View Scholol,38.4120249237,-122.729326177,
12010076,E St & 3rd St (Library),38.4412906406,-122.7102457928,
12010077,E St & Cherry St (SR Junior High),38.4444547913,-122.7109338172,
12010078,Earle St & Corby Ave,38.429362223,-122.7183866935,
12010081,Fairgrounds at Main Pavilion,38.4326907539,-122.7024953367,
12010082,Farmers Lane & Farmers Lane Plaza,38.4343140962,-122.6879300935,
12010083,Farmers Ln & Neotomas Ave,38.4338163513,-122.6882410009,
12088346,Finley Ave & Leddy Ave,38.420051,-122.766064,
12010084,Finley Ave & Wright Rd,38.4198060422,-122.7688600996,
12010085,Finley Center,38.4452083157,-122.7476450997,
12010086,Fountaingrove Pkwy & Thomas Lake Harris Dr,38.4797926531,-122.7200515273,
12010087,Fourth St & Farmers Ln,38.4496764882,-122.6884469305,
12010088,Fourth St & Rodgers Wy,38.4501969613,-122.6926130462,
12010089,Franklin Ave & Lewis Rd,38.4626821052,-122.712405657,
12010091,Fresno Ave & Sebastopol Rd,38.4252146249,-122.7595936412,
12010092,Fulton Rd & Appletree Dr,38.4553620767,-122.7696063674,
12010093,Fulton Rd & Chatham Dr,38.4439479118,-122.7695872047,
12010094,Fulton Rd & Guerneville Rd,38.4526612329,-122.7695876481,
12010095,Fulton Rd & Piner H.S.,38.4611449896,-122.7696506932,
12010096,Fulton Rd & Piner Rd,38.4661449896,-122.7696822888,
12010097,Fulton Rd & Placer Dr,38.4406437923,-122.7695880828,
12010098,Fulton Rd & Quail Hollow Dr,38.4637121753,-122.7696730859,
12010099,Greyhound Depot,38.4337771129,-122.7117670118,
12010100,Guerneville Rd & Burgundy Pl,38.4525822833,-122.7598921724,
12010101,Guerneville Rd & Coffey Ln,38.4568830898,-122.7357176462,
12010102,Guerneville Rd & Gamay St,38.4525863534,-122.7567427699,
12010103,Guerneville Rd & Lance Dr,38.4546818883,-122.7391280089,
12010104,Guerneville Rd & Marlow Rd,38.4526070924,-122.7518393161,
12010105,Guerneville Rd & Peterson Ln,38.4525727952,-122.7641660833,
12010106,GUERNEVILLE RD & RIDLEY AV,38.4525693496,-122.7462265813,
12010107,Guerneville Rd & Ridley Ave,38.4526307856,-122.7445012233,
12010108,Hahman Dr & Hoen Ave,38.4387020609,-122.6854520954,
12010109,Hahman Dr & Midway Dr,38.4465693598,-122.6862007992,
12010110,Hahman Dr & Montgomery HS,38.4398143978,-122.6853496841,
12010111,Hahman Dr & Patio Ct,38.4421250609,-122.6849879921,
12010112,Hahman Dr & Patio Ct.,38.442038173,-122.6850985766,
12010113,Healdsburg Ave & 10th St,38.4439720657,-122.7178246997,
12010114,Hearn & Corby / DMV,38.4143607724,-122.7174574135,
12010115,Hearn & Dutton,38.4143560529,-122.7234356329,
12010116,Hearn & West,38.414291673,-122.7269765263,
12010117,Hearn Ave & Arrowhead Dr,38.4125562016,-122.7380882327,
12010118,Hearn Ave & Corby Ave (DMV),38.4143721052,-122.7176496826,
12010119,Hearn Ave & Dowd Dr,38.4143977612,-122.7198431008,
12010121,Hearn Ave & Stony Point/Old Stony Point,38.4121795126,-122.7401570167,
12088350,Hearn Ave & Victoria Dr.,38.414362,-122.722371,
12010123,Hendley St & ML King Jr Park,38.4288429248,-122.7038025315,
12010124,Highway 12 & Boas Dr,38.4650667262,-122.6579412718,
12010125,Highway 12 & Jack London Dr (Whitehead),38.4646978538,-122.6613790324,
12010126,Highway 12 & Maria Ln,38.4648007814,-122.6605330878,
12010127,Highway 12 & Middle Rincon Rd,38.4638243621,-122.6650465951,
12010128,Highway 12 & Mission Blvd,38.4586230383,-122.6746411205,
12010129,Highway 12 & Redwing,38.4612296734,-122.6705494934,
12010130,Highway 12 & Redwing Dr,38.4611691311,-122.6705564742,
12010131,Highway 12 & S Boas Dr,38.4649956362,-122.6577674961,
12010132,Highway 12 & Santa Rosa Village M.H.P.,38.4558247911,-122.6791247699,
12010133,hoen & yulupa,38.4396878609,-122.6710634141,
12010134,Hoen Ave & Camden Ct,38.4383923274,-122.6750576688,
12010135,Hoen Ave & Cypress Way,38.4376395162,-122.6816210983,
12010136,Hoen Ave & Cypress/Woodward Way,38.4386821702,-122.6740776544,
12010137,Hoen Ave & Franquette Ave,38.4376084043,-122.6790016227,
12010138,Hoen Ave & Hillard Ct,38.4391852281,-122.6726918895,
12010139,Hoen Ave & Hoen Frontage Rd,38.4376895215,-122.6816762962,
12010140,Hoen Ave & Mariposa Dr,38.440506672,-122.6689564079,
12010141,Hoen Ave & Moore Rd,38.4375858758,-122.6776924717,
12010142,Hoen Ave & Summerfield RD,38.4429974124,-122.6629138936,
12010143,Hoen Ave at Warrack Hospital,38.4420021518,-122.6647069425,
12010144,4650 Hoen Ave.,38.4418795664,-122.6647736361,
12010145,Hopper Ave & Airway Dr,38.4796746008,-122.7378871305,
12010146,Hopper Ave & Banyon Pl,38.4796868748,-122.741366146,
12010147,Hopper Ave & Coffey Ln,38.4796723463,-122.7467357361,
12010148,Hwy 12 & Middle Rincon Rd,38.4637602102,-122.6650060694,
12010149,Kawana Springs Rd & Meadow Way,38.4164327166,-122.708391309,
12010150,Kawana Springs Rd & Meadow Way,38.4164643121,-122.7084781968,
12010151,Kawana Springs Rd & Petaluma Hill Rd,38.4165168787,-122.7050382665,
12010152,Kawana Springs Rd & Santa Rosa Ave,38.4164374644,-122.7124796326,
