service_id,date,exception_type
4600,20121111,2
4598,20090412,2
6355,20090412,1
4598,20090525,2
6355,20090525,1
4598,20090907,2
6355,20090907,1
4598,20091126,2
6355,20091126,1
4598,20091225,2
6355,20091225,1
4598,20100101,2
6355,20100101,1
4599,20090704,2
6355,20090704,1
4598,20091127,2
4598,20091224,2
5384,20091224,1
4598,20091231,2
5384,20091231,1
4598,20090703,2
4598,20130121,2
4598,20100215,2
4598,20110704,2
6355,20110704,1
4598,20110905,2
6355,20110905,1
4598,20111111,2
4598,20111124,2
6355,20111124,1
4598,20111125,2
4599,20111224,2
4600,20111225,2
6355,20111225,1
4598,20111226,2
4599,20111231,2
4600,20120101,2
6355,20120101,1
4598,20120102,2
4598,20120116,2
4598,20100531,2
6355,20100531,1
4598,20100704,2
6355,20100704,1
4598,20100906,2
6355,20100906,1
4598,20101111,2
4598,20101125,2
24287,20101125,1
4598,20121123,2
4599,20101225,2
6355,20101225,1
4599,20110101,2
6355,20110101,1
4598,20101224,2
4598,20101231,2
4598,20110117,2
4598,20110221,2
4598,20110530,2
6355,20110530,1
4598,20120528,2
6355,20120528,1
4598,20120704,2
6355,20120704,1
4598,20121231,2
4598,20130101,2
6355,20130101,1
4598,20131226,2
4598,20140120,2
4598,20130902,2
6355,20130902,1
4598,20140217,2
4598,20130218,2
4598,20131128,2
6355,20131128,1
4598,20131129,2
4598,20131224,2
4598,20130704,2
6355,20130704,1
4598,20131111,2
4598,20131225,2
6355,20131225,1
4598,20131231,2
4598,20140101,2
6355,20140101,1
4598,20120220,2
4598,20120903,2
6355,20120903,1
4598,20121112,2
4598,20121122,2
6355,20121122,1
4598,20121224,2
4598,20121225,2
6355,20121225,1
4598,20130527,2
6355,20130527,1
4600,20140420,2
6355,20140420,1
4598,20140526,2
6355,20140526,1
4598,20140901,2
6355,20140901,1
4598,20140704,2
6355,20140704,1
4598,20141127,2
6355,20141127,1
4598,20141128,2
