route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
8,SR,8,,3,,
9,SR,9,,3,,
14,SR,14,,3,,
6,SR,6,,3,,
1,SR,1,,3,,
17,SR,17,,3,,
18,SR,18,,3,,
19,SR,19,,3,,
2,SR,2,,3,,
3,SR,3,,3,,
4,SR,4,,3,,
5,SR,5,,3,,
7,SR,7,,3,,
15,SR,15,,3,,
11,SR,11,,3,,
10,SR,10,,3,,
12,SR,12,,3,,
