trip_id,stop_id
3568,89004
3568,89006
3568,89015
3568,89001
3568,89296
3568,89013
3569,89004
3569,89006
3569,89015
3569,89001
3569,89296
3569,89013
3570,89004
3570,89006
3570,89015
3570,89001
3570,89296
3570,89013
3571,89004
3571,89006
3571,89015
3571,89001
3571,89296
3571,89013
3572,89004
3572,89006
3572,89015
3572,89001
3572,89296
3572,89013
3573,89004
3573,89006
3573,89015
3573,89001
3573,89296
3573,89013
3574,89004
3574,89006
3574,89015
3574,89001
3574,89296
3574,89013
3575,89004
3575,89006
3575,89015
3575,89001
3575,89296
3575,89013
3576,89004
3576,89006
3576,89015
3576,89001
3576,89296
3576,89013
3577,89004
3577,89006
3577,89015
3577,89001
3577,89296
3577,89013
3578,89004
3578,89006
3578,89015
3578,89001
3578,89296
3578,89013
3579,89004
3579,89006
3579,89015
3579,89001
3579,89296
3579,89013
3580,89004
3580,89006
3580,89015
3580,89001
3580,89296
3580,89013
3581,89004
3581,89006
3581,89015
3581,89001
3581,89296
3581,89013
3582,89004
3582,89006
3582,89015
3582,89001
3582,89296
3582,89013
3583,89175
3583,89166
3583,89160
3583,89248
3583,89001
3583,89258
3583,89262
3583,89252
3583,89250
3583,89113
3583,89251
3583,89238
3583,89183
3584,89175
3584,89166
3584,89160
3584,89248
3584,89001
3584,89258
3584,89262
3584,89252
3584,89250
3584,89113
3584,89251
3584,89238
3584,89183
3585,89175
3585,89166
3585,89160
3585,89248
3585,89001
3585,89258
3585,89262
3585,89252
3585,89250
3585,89113
3585,89251
3585,89238
3585,89183
3586,89175
3586,89166
3586,89160
3586,89248
3586,89001
3586,89258
3586,89262
3586,89252
3586,89250
3586,89113
3586,89251
3586,89238
3586,89183
3587,89175
3587,89166
3587,89160
3587,89248
3587,89001
3587,89258
3587,89262
3587,89252
3587,89250
3587,89113
3587,89251
3587,89238
3587,89183
3588,89195
3588,89175
3588,89166
3588,89160
3588,89248
3588,89001
3588,89258
3588,89262
3588,89252
3588,89250
3588,89113
3588,89251
3588,89076
3588,89238
3588,89183
3589,89195
3589,89175
3589,89166
3589,89160
3589,89248
3589,89001
3589,89258
3589,89262
3589,89252
3589,89250
3589,89113
3589,89251
3589,89076
3589,89238
3589,89183
3590,89195
3590,89175
3590,89166
3590,89160
3590,89248
3590,89001
3590,89258
3590,89262
3590,89252
3590,89250
3590,89113
3590,89251
3590,89076
3590,89238
3590,89183
3591,89195
3591,89175
3591,89166
3591,89160
3591,89248
3591,89001
3591,89258
3591,89262
3591,89252
3591,89250
3591,89113
3591,89251
3591,89076
3591,89238
3591,89183
3592,89195
3592,89001
3592,89113
3592,89076
3592,89238
3592,89183
3593,89195
3593,89175
3593,89166
3593,89160
3593,89248
3593,89001
3593,89258
3593,89262
3593,89252
3593,89250
3593,89113
3593,89251
3593,89076
3593,89238
3593,89183
3594,89195
3594,89175
3594,89166
3594,89160
3594,89248
3594,89001
3594,89258
3594,89262
3594,89252
3594,89250
3594,89113
3594,89251
3594,89076
3594,89238
3594,89183
3595,89195
3595,89001
3595,89113
3595,89076
3595,89238
3595,89183
3596,89195
3596,89175
3596,89166
3596,89160
3596,89248
3596,89001
3596,89258
3596,89262
3596,89252
3596,89250
3596,89113
3596,89251
3596,89076
3596,89238
3596,89183
3597,89195
3597,89175
3597,89166
3597,89160
3597,89248
3597,89001
3597,89258
3597,89262
3597,89252
3597,89250
3597,89113
3597,89251
3597,89076
3597,89238
3597,89183
3598,89195
3598,89175
3598,89166
3598,89160
3598,89248
3598,89001
3598,89258
3598,89262
3598,89252
3598,89250
3598,89113
3598,89251
3598,89076
3598,89238
3598,89183
3599,89195
3599,89175
3599,89166
3599,89160
3599,89248
3599,89001
3599,89258
3599,89262
3599,89252
3599,89250
3599,89113
3599,89251
3599,89076
3599,89238
3599,89183
3600,89195
3600,89175
3600,89166
3600,89160
3600,89248
3600,89001
3600,89258
3600,89262
3600,89252
3600,89250
3600,89113
3600,89251
3600,89076
3600,89238
3600,89183
3601,89195
3601,89175
3601,89166
3601,89160
3601,89248
3601,89001
3601,89258
3601,89262
3601,89252
3601,89250
3601,89113
3601,89251
3601,89076
3601,89238
3601,89183
3602,89195
3602,89175
3602,89166
3602,89160
3602,89248
3602,89001
3602,89258
3602,89262
3602,89252
3602,89250
3602,89113
3602,89251
3602,89076
3602,89238
3602,89183
3603,89195
3603,89175
3603,89166
3603,89160
3603,89248
3603,89001
3603,89258
3603,89262
3603,89252
3603,89250
3603,89113
3603,89251
3603,89076
3603,89238
3603,89183
3604,89195
3604,89175
3604,89166
3604,89160
3604,89248
3604,89001
3604,89258
3604,89262
3604,89252
3604,89250
3604,89113
3604,89251
3604,89076
3604,89238
3604,89183
3605,89195
3605,89175
3605,89166
3605,89160
3605,89248
