trip_id,stop_id,realtime_stop_id
3568,89004,89004
3568,89006,89006
3568,89015,89015
3568,89001,89001
3568,89014,89014
3568,89005,89005
3568,89002,89002
3568,89003,89003
3568,89016,89016
3568,89017,89017
3568,89010,89010
3568,89011,89011
3568,89007,89007
3568,89297,89297
3568,89294,89294
3568,89296,89296
3568,89300,89300
3568,89299,89299
3568,89013,89013
3568,89295,89295
3568,89304,89304
3568,89298,89298
3569,89004,89004
3569,89006,89006
3569,89015,89015
3569,89001,89001
3569,89014,89014
3569,89005,89005
3569,89002,89002
3569,89003,89003
3569,89016,89016
3569,89017,89017
3569,89010,89010
3569,89011,89011
3569,89007,89007
3569,89297,89297
3569,89294,89294
3569,89296,89296
3569,89300,89300
3569,89299,89299
3569,89013,89013
3569,89295,89295
3569,89304,89304
3569,89298,89298
3570,89004,89004
3570,89006,89006
3570,89015,89015
3570,89001,89001
3570,89014,89014
3570,89005,89005
3570,89002,89002
3570,89003,89003
3570,89016,89016
3570,89017,89017
3570,89010,89010
3570,89011,89011
3570,89007,89007
3570,89297,89297
3570,89294,89294
3570,89296,89296
3570,89300,89300
3570,89299,89299
3570,89013,89013
3570,89295,89295
3570,89304,89304
3570,89298,89298
3571,89004,89004
3571,89006,89006
3571,89015,89015
3571,89001,89001
3571,89014,89014
3571,89005,89005
3571,89002,89002
3571,89003,89003
3571,89016,89016
3571,89017,89017
3571,89010,89010
3571,89011,89011
3571,89007,89007
3571,89297,89297
3571,89294,89294
3571,89296,89296
3571,89300,89300
3571,89299,89299
3571,89013,89013
3571,89295,89295
3571,89304,89304
3571,89298,89298
3572,89004,89004
3572,89006,89006
3572,89015,89015
3572,89001,89001
3572,89014,89014
3572,89005,89005
3572,89002,89002
3572,89003,89003
3572,89016,89016
3572,89017,89017
3572,89010,89010
3572,89011,89011
3572,89007,89007
3572,89297,89297
3572,89294,89294
3572,89296,89296
3572,89300,89300
3572,89299,89299
3572,89013,89013
3572,89295,89295
3572,89304,89304
3572,89298,89298
3573,89004,89004
3573,89006,89006
3573,89015,89015
3573,89001,89001
3573,89014,89014
3573,89005,89005
3573,89002,89002
3573,89003,89003
3573,89016,89016
3573,89017,89017
3573,89010,89010
3573,89011,89011
3573,89007,89007
3573,89297,89297
3573,89294,89294
3573,89296,89296
3573,89300,89300
3573,89299,89299
3573,89013,89013
3573,89295,89295
3573,89304,89304
3573,89298,89298
3574,89004,89004
3574,89006,89006
3574,89015,89015
3574,89001,89001
3574,89014,89014
3574,89005,89005
3574,89002,89002
3574,89003,89003
3574,89016,89016
3574,89017,89017
3574,89010,89010
3574,89011,89011
3574,89007,89007
3574,89297,89297
3574,89294,89294
3574,89296,89296
3574,89300,89300
3574,89299,89299
3574,89013,89013
3574,89295,89295
3574,89304,89304
3574,89298,89298
3575,89004,89004
3575,89006,89006
3575,89015,89015
3575,89001,89001
3575,89014,89014
3575,89005,89005
3575,89002,89002
3575,89003,89003
3575,89016,89016
3575,89017,89017
3575,89010,89010
3575,89011,89011
3575,89007,89007
3575,89297,89297
3575,89294,89294
3575,89296,89296
3575,89300,89300
3575,89299,89299
3575,89013,89013
3575,89295,89295
3575,89304,89304
3575,89298,89298
3576,89004,89004
3576,89006,89006
3576,89015,89015
3576,89001,89001
3576,89014,89014
3576,89005,89005
3576,89002,89002
3576,89003,89003
3576,89016,89016
3576,89017,89017
3576,89010,89010
3576,89011,89011
3576,89007,89007
3576,89297,89297
3576,89294,89294
3576,89296,89296
3576,89300,89300
3576,89299,89299
3576,89013,89013
3576,89295,89295
3576,89304,89304
3576,89298,89298
3577,89004,89004
3577,89006,89006
3577,89015,89015
3577,89001,89001
3577,89014,89014
3577,89005,89005
3577,89002,89002
3577,89003,89003
3577,89016,89016
3577,89017,89017
3577,89010,89010
3577,89011,89011
3577,89007,89007
3577,89297,89297
3577,89294,89294
3577,89296,89296
3577,89300,89300
3577,89299,89299
3577,89013,89013
3577,89295,89295
3577,89304,89304
3577,89298,89298
3578,89004,89004
3578,89006,89006
3578,89015,89015
3578,89001,89001
3578,89014,89014
3578,89005,89005
3578,89002,89002
3578,89003,89003
3578,89016,89016
3578,89017,89017
3578,89010,89010
3578,89011,89011
3578,89007,89007
3578,89297,89297
3578,89294,89294
3578,89296,89296
3578,89300,89300
3578,89299,89299
3578,89013,89013
3578,89295,89295
3578,89304,89304
3578,89298,89298
3579,89004,89004
3579,89006,89006
3579,89015,89015
3579,89001,89001
3579,89014,89014
3579,89005,89005
3579,89002,89002
3579,89003,89003
3579,89016,89016
3579,89017,89017
3579,89010,89010
3579,89011,89011
3579,89007,89007
3579,89297,89297
3579,89294,89294
3579,89296,89296
3579,89300,89300
3579,89299,89299
3579,89013,89013
3579,89295,89295
3579,89304,89304
3579,89298,89298
3580,89004,89004
3580,89006,89006
3580,89015,89015
3580,89001,89001
3580,89014,89014
3580,89005,89005
3580,89002,89002
3580,89003,89003
3580,89016,89016
3580,89017,89017
3580,89010,89010
3580,89011,89011
3580,89007,89007
3580,89297,89297
3580,89294,89294
3580,89296,89296
