route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7,362,1,Route  1,,3,,,
9,362,2,Route  2,,3,,,
10,362,3,Route  3,,3,,,
11,362,4,Route  4,,3,,,
12,362,5,Route  5,,3,,,
13,362,6,Route  6,,3,,,
14,362,7,Route  7,,3,,,
2,362,8,Route  8,,3,,,
1,362,10,Route 10,,3,,,
6,362,11,Route 11,,3,,,
15,362,21,Route 21,,3,,,
4,362,25,Route 25,,3,,,
3,362,29,Route 29,,3,,,
