trip_id,arrival_time,departure_time,stop_id,stop_sequence
WKDY-AI-N-01,09:50:00,09:50:00,1091724,1
WKDY-AI-N-01,10:15:00,10:15:00,1091722,2
WKND-AI-N-01,09:50:00,09:50:00,1091724,1
WKND-AI-N-01,10:15:00,10:15:00,1091722,2
WKDY-AI-N-02,11:20:00,11:20:00,1091724,1
WKDY-AI-N-02,11:50:00,11:50:00,1091722,2
WKND-AI-N-02,11:20:00,11:20:00,1091724,1
WKND-AI-N-02,11:50:00,11:50:00,1091722,2
WKDY-AI-S-01,10:25:00,10:25:00,1091722,1
WKDY-AI-S-01,11:10:00,11:10:00,1091724,2
WKND-AI-S-01,10:25:00,10:25:00,1091722,1
WKND-AI-S-01,11:10:00,11:10:00,1091724,2
WKDY-AI-S-02,11:55:00,11:55:00,1091722,1
WKDY-AI-S-02,13:10:00,13:10:00,1091724,2
WKND-AI-S-02,11:55:00,11:55:00,1091722,1
WKND-AI-S-02,13:10:00,13:10:00,1091724,2
WKDY-AI-S-03,13:55:00,13:55:00,1091722,1
WKDY-AI-S-03,15:05:00,15:05:00,1091724,2
WKND-AI-S-03,13:55:00,13:55:00,1091722,1
WKND-AI-S-03,15:05:00,15:05:00,1091724,2
WKDY-AI-S-04,16:25:00,16:25:00,1091722,1
WKDY-AI-S-04,16:55:00,16:55:00,1091724,2
WKND-AI-S-04,16:25:00,16:25:00,1091722,1
WKND-AI-S-04,17:20:00,17:20:00,1091724,2
WKDY-SA-N-01,11:20:00,11:20:00,1091724,1
WKDY-SA-N-01,12:25:00,12:25:00,1091727,2
WKND-SA-N-01,11:20:00,11:20:00,1091724,1
WKND-SA-N-01,12:05:00,12:05:00,1091727,2
WKDY-SA-N-02,13:25:00,13:25:00,1091724,1
WKDY-SA-N-02,14:25:00,14:25:00,1091727,2
WKND-SA-N-02,13:25:00,13:25:00,1091724,1
WKND-SA-N-02,14:30:00,14:30:00,1091727,2
WKND-SA-N-03,14:25:00,14:25:00,1091724,1
WKND-SA-N-03,14:55:00,14:55:00,1091727,2
WKDY-SA-N-03,15:15:00,15:15:00,1091724,1
WKDY-SA-N-03,15:45:00,15:45:00,1091727,2
WKND-SA-N-04,16:00:00,16:00:00,1091724,1
WKND-SA-N-04,16:30:00,16:30:00,1091727,2
WKDY-SA-N-04,17:00:00,17:00:00,1091724,1
WKDY-SA-N-04,17:30:00,17:30:00,1091727,2
WKND-SA-N-05,18:30:00,18:30:00,1091724,1
WKND-SA-N-05,19:20:00,19:20:00,1091727,2
WKND-SA-S-01,12:20:00,12:20:00,1091727,1
WKND-SA-S-01,13:10:00,13:10:00,1091724,2
WKDY-SA-S-01,12:40:00,12:40:00,1091727,1
WKDY-SA-S-01,13:10:00,13:10:00,1091724,2
WKDY-SA-S-02,14:35:00,14:35:00,1091727,1
WKDY-SA-S-02,15:05:00,15:05:00,1091724,2
