route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name
Angel Island,72771,WKDY-AI-N-01,Angel Island,0,,,
Angel Island,72772,WKND-AI-N-01,Angel Island,0,,,
Angel Island,72771,WKDY-AI-N-02,Angel Island,0,,,
Angel Island,72772,WKND-AI-N-02,Angel Island,0,,,
Angel Island,72771,WKDY-AI-S-01,Pier 41,1,,,
Angel Island,72772,WKND-AI-S-01,Pier 41,1,,,
Angel Island,72771,WKDY-AI-S-02,Pier 41,1,,,
Angel Island,72772,WKND-AI-S-02,Pier 41,1,,,
Angel Island,72771,WKDY-AI-S-03,Pier 41,1,,,
Angel Island,72772,WKND-AI-S-03,Pier 41,1,,,
Angel Island,72771,WKDY-AI-S-04,Pier 41,1,,,
Angel Island,72772,WKND-AI-S-04,Pier 41,1,,,
Sausalito,72771,WKDY-SA-N-01,Sausalito via Angel Island & Tiburon,0,,,
Sausalito,72772,WKND-SA-N-01,Sausalito via Angel Island & Tiburon,0,,,
Sausalito,72771,WKDY-SA-N-02,Sausalito via Angel Island & Tiburon,0,,,
Sausalito,72772,WKND-SA-N-02,Sausalito via Angel Island & Tiburon,0,,,
Sausalito,72772,WKND-SA-N-03,Sausalito via Angel Island & Tiburon,0,,,
Sausalito,72771,WKDY-SA-N-03,Sausalito via Angel Island & Tiburon,0,,,
Sausalito,72772,WKND-SA-N-04,Sausalito via Angel Island & Tiburon,0,,,
Sausalito,72771,WKDY-SA-N-04,Sausalito via Angel Island & Tiburon,0,,,
Sausalito,72772,WKND-SA-N-05,Sausalito via Angel Island & Tiburon,0,,,
Sausalito,72772,WKND-SA-S-01,Pier 41,1,,,
Sausalito,72771,WKDY-SA-S-01,Pier 41,1,,,
Sausalito,72771,WKDY-SA-S-02,Pier 41,1,,,
Sausalito,72772,WKND-SA-S-02,Pier 41,1,,,
Sausalito,72772,WKND-SA-S-03,Pier 41,1,,,
Sausalito,72771,WKDY-SA-S-03,Pier 41,1,,,
Sausalito,72772,WKND-SA-S-04,Pier 41,1,,,
Sausalito,72771,WKDY-SA-S-04,Pier 41,1,,,
Sausalito,72772,WKND-SA-S-05,Pier 41,1,,,
Tiburon,72773,WKDY-TI-N-01,Tiburon via Angel Island,0,,,
Tiburon,72774,WKDY-TI-N-05,Tiburon via Angel Island,0,,,
Tiburon,72772,WKND-TI-N-01,Tiburon via Angel Island,0,,,
Tiburon,72773,WKDY-TI-N-02,Tiburon via Angel Island,0,,,
Tiburon,72774,WKDY-TI-N-06,Tiburon via Angel Island,0,,,
Tiburon,72772,WKND-TI-N-02,Tiburon via Angel Island,0,,,
Tiburon,72773,WKDY-TI-N-03,Tiburon via Angel Island,0,,,
Tiburon,72774,WKDY-TI-N-07,Tiburon via Angel Island,0,,,
Tiburon,72772,WKND-TI-N-03,Tiburon via Angel Island,0,,,
Tiburon,72772,WKND-TI-N-04,Tiburon via Angel Island,0,,,
Tiburon,72773,WKDY-TI-N-04,Tiburon via Angel Island,0,,,
Tiburon,72774,WKDY-TI-N-08,Tiburon via Angel Island,0,,,
Tiburon,72772,WKND-TI-N-05,Tiburon via Angel Island,0,,,
Tiburon,72772,WKND-TI-N-06,Tiburon via Angel Island,0,,,
Tiburon,72774,WKDY-TI-N-09,Tiburon via Angel Island,0,,,
Tiburon,72772,WKND-TI-N-07,Tiburon via Angel Island,0,,,
Tiburon,72774,WKDY-TI-N-10,Tiburon via Angel Island,0,,,
Tiburon,72772,WKND-TI-N-08,Tiburon via Angel Island,0,,,
Tiburon,72773,WKDY-TI-S-01,Pier 41,1,,,
Tiburon,72774,WKDY-TI-S-05,Pier 41,1,,,
Tiburon,72772,WKND-TI-S-01,Pier 41,1,,,
Tiburon,72773,WKDY-TI-S-02,Pier 41,1,,,
Tiburon,72774,WKDY-TI-S-06,Pier 41,1,,,
Tiburon,72772,WKND-TI-S-02,Pier 41,1,,,
Tiburon,72773,WKDY-TI-S-03,Pier 41,1,,,
Tiburon,72774,WKDY-TI-S-07,Pier 41,1,,,
Tiburon,72772,WKND-TI-S-03,Pier 41,1,,,
Tiburon,72772,WKND-TI-S-04,Pier 41,1,,,
Tiburon,72773,WKDY-TI-S-04,Pier 41,1,,,
Tiburon,72774,WKDY-TI-S-08,Pier 41,1,,,
Tiburon,72772,WKND-TI-S-05,Pier 41,1,,,
Tiburon,72772,WKND-TI-S-06,Pier 41,1,,,
Tiburon,72774,WKDY-TI-S-09,Pier 41,1,,,
Tiburon,72772,WKND-TI-S-07,Pier 41,1,,,
Tiburon,72774,WKDY-TI-S-10,Pier 41,1,,,
Tiburon,72772,WKND-TI-S-08,Pier 41,1,,,
